Datetime,LVNTA
2017-11-06 14:30:00,59.31999969482422
2017-11-06 15:30:00,58.900001525878906
2017-11-06 16:30:00,58.77000045776367
2017-11-06 17:30:00,58.36000061035156
2017-11-06 18:30:00,58.52000045776367
2017-11-06 19:30:00,58.439998626708984
2017-11-06 20:30:00,58.38999938964844
2017-11-07 14:30:00,58.04999923706055
2017-11-07 15:30:00,57.709999084472656
2017-11-07 16:30:00,57.4900016784668
2017-11-07 17:30:00,57.400001525878906
2017-11-07 18:30:00,57.31999969482422
2017-11-07 19:30:00,57.18000030517578
2017-11-07 20:30:00,57.41999816894531
2017-11-08 14:30:00,56.79999923706055
2017-11-08 15:30:00,56.650001525878906
2017-11-08 16:30:00,56.43000030517578
2017-11-08 17:30:00,56.63100051879883
2017-11-08 18:30:00,56.599998474121094
2017-11-08 19:30:00,56.5099983215332
2017-11-08 20:30:00,56.36000061035156
2017-11-09 14:30:00,56.20000076293945
2017-11-09 15:30:00,56.52000045776367
2017-11-09 16:30:00,55.689998626708984
2017-11-09 17:30:00,56.060001373291016
2017-11-09 18:30:00,56.11000061035156
2017-11-09 19:30:00,56.36000061035156
2017-11-09 20:30:00,56.29999923706055
2017-11-10 14:30:00,56.55500030517578
2017-11-10 15:30:00,56.29999923706055
2017-11-10 16:30:00,56.5
2017-11-10 17:30:00,56.560001373291016
2017-11-10 18:30:00,56.654998779296875
2017-11-10 19:30:00,56.4900016784668
2017-11-10 20:30:00,56.570098876953125
2017-11-13 14:30:00,56.619998931884766
2017-11-13 15:30:00,56.599998474121094
2017-11-13 16:30:00,56.630001068115234
2017-11-13 17:30:00,56.56999969482422
2017-11-13 18:30:00,56.630001068115234
2017-11-13 19:30:00,56.810001373291016
2017-11-13 20:30:00,56.70000076293945
2017-11-14 14:30:00,56.0099983215332
2017-11-14 15:30:00,56.02000045776367
2017-11-14 16:30:00,55.88999938964844
2017-11-14 17:30:00,55.849998474121094
2017-11-14 18:30:00,56.0099983215332
2017-11-14 19:30:00,56.130001068115234
2017-11-14 20:30:00,56.15999984741211
2017-11-15 14:30:00,55.56999969482422
2017-11-15 15:30:00,55.84000015258789
2017-11-15 16:30:00,55.720001220703125
2017-11-15 17:30:00,55.88999938964844
2017-11-15 18:30:00,55.84120178222656
2017-11-15 19:30:00,55.92499923706055
2017-11-15 20:30:00,55.95000076293945
2017-11-16 14:30:00,56.40999984741211
2017-11-16 15:30:00,56.83000183105469
2017-11-16 16:30:00,57.220001220703125
2017-11-16 17:30:00,57.150001525878906
2017-11-16 18:30:00,57.29999923706055
2017-11-16 19:30:00,57.380001068115234
2017-11-16 20:30:00,57.04999923706055
2017-11-17 14:30:00,57.95500183105469
2017-11-17 15:30:00,58.2599983215332
2017-11-17 16:30:00,57.83000183105469
2017-11-17 17:30:00,58.099998474121094
2017-11-17 18:30:00,58.099998474121094
2017-11-17 19:30:00,57.959999084472656
2017-11-17 20:30:00,57.630001068115234
2017-11-20 14:30:00,58.029998779296875
2017-11-20 15:30:00,58.29999923706055
2017-11-20 16:30:00,57.970001220703125
2017-11-20 17:30:00,58.130001068115234
2017-11-20 18:30:00,58.15999984741211
2017-11-20 19:30:00,57.650001525878906
2017-11-20 20:30:00,57.61000061035156
2017-11-21 14:30:00,58.540000915527344
