Datetime,MNST
2017-11-06 14:30:00,57.560001373291016
2017-11-06 15:30:00,57.75
2017-11-06 16:30:00,57.40999984741211
2017-11-06 17:30:00,57.459999084472656
2017-11-06 18:30:00,57.48030090332031
2017-11-06 19:30:00,57.529998779296875
2017-11-06 20:30:00,57.52000045776367
2017-11-07 14:30:00,57.665000915527344
2017-11-07 15:30:00,57.58000183105469
2017-11-07 16:30:00,57.70000076293945
2017-11-07 17:30:00,57.790000915527344
2017-11-07 18:30:00,57.4900016784668
2017-11-07 19:30:00,57.63999938964844
2017-11-07 20:30:00,57.91999816894531
2017-11-08 14:30:00,57.91999816894531
2017-11-08 15:30:00,57.90999984741211
2017-11-08 16:30:00,58.0099983215332
2017-11-08 17:30:00,57.9900016784668
2017-11-08 18:30:00,57.880001068115234
2017-11-08 19:30:00,57.967498779296875
2017-11-08 20:30:00,57.95479965209961
2017-11-09 14:30:00,58.16999816894531
2017-11-09 15:30:00,58.27000045776367
2017-11-09 16:30:00,58.22999954223633
2017-11-09 17:30:00,58.02000045776367
2017-11-09 18:30:00,58.27000045776367
2017-11-09 19:30:00,58.689998626708984
2017-11-09 20:30:00,58.68000030517578
2017-11-10 14:30:00,60.0
2017-11-10 15:30:00,60.107200622558594
2017-11-10 16:30:00,60.20000076293945
2017-11-10 17:30:00,60.5099983215332
2017-11-10 18:30:00,61.060001373291016
2017-11-10 19:30:00,60.93000030517578
2017-11-10 20:30:00,61.15999984741211
2017-11-13 14:30:00,61.92900085449219
2017-11-13 15:30:00,61.93000030517578
2017-11-13 16:30:00,62.20000076293945
2017-11-13 17:30:00,62.36000061035156
2017-11-13 18:30:00,62.16999816894531
2017-11-13 19:30:00,62.09000015258789
2017-11-13 20:30:00,62.20000076293945
2017-11-14 14:30:00,61.900001525878906
2017-11-14 15:30:00,62.0099983215332
2017-11-14 16:30:00,62.22999954223633
2017-11-14 17:30:00,61.91999816894531
2017-11-14 18:30:00,62.39899826049805
2017-11-14 19:30:00,62.52000045776367
2017-11-14 20:30:00,62.66999816894531
2017-11-15 14:30:00,62.540000915527344
2017-11-15 15:30:00,62.31999969482422
2017-11-15 16:30:00,62.029998779296875
2017-11-15 17:30:00,61.630001068115234
2017-11-15 18:30:00,61.4900016784668
2017-11-15 19:30:00,61.52000045776367
2017-11-15 20:30:00,61.61000061035156
2017-11-16 14:30:00,62.349998474121094
2017-11-16 15:30:00,61.97999954223633
2017-11-16 16:30:00,62.334999084472656
2017-11-16 17:30:00,62.5
2017-11-16 18:30:00,62.459999084472656
2017-11-16 19:30:00,62.040000915527344
2017-11-16 20:30:00,61.9900016784668
2017-11-17 14:30:00,62.40999984741211
2017-11-17 15:30:00,62.4900016784668
2017-11-17 16:30:00,62.290000915527344
2017-11-17 17:30:00,62.349998474121094
2017-11-17 18:30:00,62.209999084472656
2017-11-17 19:30:00,62.13999938964844
2017-11-17 20:30:00,62.150001525878906
2017-11-20 14:30:00,61.470001220703125
2017-11-20 15:30:00,61.59000015258789
2017-11-20 16:30:00,61.4390983581543
2017-11-20 17:30:00,61.310001373291016
2017-11-20 18:30:00,61.27000045776367
2017-11-20 19:30:00,61.2400016784668
2017-11-20 20:30:00,61.165000915527344
2017-11-21 14:30:00,61.56999969482422
2017-11-21 15:30:00,61.21500015258789
2017-11-21 16:30:00,61.345001220703125
2017-11-21 17:30:00,61.31999969482422
2017-11-21 18:30:00,61.27000045776367
2017-11-21 19:30:00,61.130001068115234
2017-11-21 20:30:00,61.2599983215332
2017-11-22 14:30:00,61.08000183105469
2017-11-22 15:30:00,61.08000183105469
2017-11-22 16:30:00,61.130001068115234
2017-11-22 17:30:00,61.02000045776367
2017-11-22 18:30:00,61.2599983215332
2017-11-22 19:30:00,61.224998474121094
2017-11-22 20:30:00,61.27000045776367
2017-11-24 14:30:00,61.77000045776367
2017-11-24 15:30:00,61.65999984741211
2017-11-24 16:30:00,61.72999954223633
2017-11-24 18:00:00,61.63520050048828
2017-11-27 14:30:00,61.79999923706055
2017-11-27 15:30:00,61.45000076293945
2017-11-27 16:30:00,61.939998626708984
2017-11-27 17:30:00,61.790000915527344
2017-11-27 18:30:00,61.77000045776367
2017-11-27 19:30:00,61.84000015258789
2017-11-27 20:30:00,61.77000045776367
2017-11-28 14:30:00,62.380001068115234
2017-11-28 15:30:00,61.97119903564453
2017-11-28 16:30:00,62.13999938964844
2017-11-28 17:30:00,61.81999969482422
2017-11-28 18:30:00,61.72999954223633
2017-11-28 19:30:00,62.04999923706055
2017-11-28 20:30:00,62.09000015258789
2017-11-29 14:30:00,61.939998626708984
2017-11-29 15:30:00,61.540000915527344
2017-11-29 16:30:00,62.029998779296875
2017-11-29 17:30:00,61.900001525878906
2017-11-29 18:30:00,61.869998931884766
2017-11-29 19:30:00,61.77000045776367
2017-11-29 20:30:00,61.900001525878906
2017-11-30 14:30:00,62.400001525878906
2017-11-30 15:30:00,62.349998474121094
2017-11-30 16:30:00,62.34000015258789
2017-11-30 17:30:00,62.52000045776367
2017-11-30 18:30:00,62.529998779296875
2017-11-30 19:30:00,62.5099983215332
2017-11-30 20:30:00,62.66999816894531
2017-12-01 14:30:00,62.22999954223633
2017-12-01 15:30:00,62.08000183105469
2017-12-01 16:30:00,62.529998779296875
2017-12-01 17:30:00,62.65999984741211
2017-12-01 18:30:00,62.720001220703125
2017-12-01 19:30:00,62.79999923706055
2017-12-01 20:30:00,62.90999984741211
2017-12-04 14:30:00,63.18000030517578
2017-12-04 15:30:00,63.20000076293945
2017-12-04 16:30:00,62.959999084472656
