Datetime,VIAB
2017-11-06 14:30:00,23.459999084472656
2017-11-06 15:30:00,23.479999542236328
2017-11-06 16:30:00,23.479999542236328
2017-11-06 17:30:00,23.665000915527344
2017-11-06 18:30:00,24.389999389648438
2017-11-06 19:30:00,24.420000076293945
2017-11-06 20:30:00,24.170000076293945
2017-11-07 14:30:00,24.700000762939453
2017-11-07 15:30:00,24.924999237060547
2017-11-07 16:30:00,24.950000762939453
2017-11-07 17:30:00,24.93000030517578
2017-11-07 18:30:00,24.770000457763672
2017-11-07 19:30:00,24.75
2017-11-07 20:30:00,24.790000915527344
2017-11-08 14:30:00,24.860000610351562
2017-11-08 15:30:00,24.704999923706055
2017-11-08 16:30:00,24.670000076293945
2017-11-08 17:30:00,24.533899307250977
2017-11-08 18:30:00,24.43000030517578
2017-11-08 19:30:00,24.239999771118164
2017-11-08 20:30:00,24.295000076293945
2017-11-09 14:30:00,25.09000015258789
2017-11-09 15:30:00,25.1299991607666
2017-11-09 16:30:00,24.799999237060547
2017-11-09 17:30:00,25.135000228881836
2017-11-09 18:30:00,25.010000228881836
2017-11-09 19:30:00,24.885000228881836
2017-11-09 20:30:00,24.790000915527344
2017-11-10 14:30:00,25.020000457763672
2017-11-10 15:30:00,25.125
2017-11-10 16:30:00,24.929899215698242
2017-11-10 17:30:00,24.760000228881836
2017-11-10 18:30:00,24.739999771118164
2017-11-10 19:30:00,24.809999465942383
2017-11-10 20:30:00,24.889999389648438
2017-11-13 14:30:00,24.5
2017-11-13 15:30:00,24.329999923706055
2017-11-13 16:30:00,24.229999542236328
2017-11-13 17:30:00,24.31999969482422
2017-11-13 18:30:00,24.415000915527344
2017-11-13 19:30:00,24.559999465942383
2017-11-13 20:30:00,24.709999084472656
2017-11-14 14:30:00,24.290000915527344
2017-11-14 15:30:00,24.059999465942383
2017-11-14 16:30:00,24.18000030517578
2017-11-14 17:30:00,24.145000457763672
2017-11-14 18:30:00,24.350000381469727
2017-11-14 19:30:00,24.520000457763672
2017-11-14 20:30:00,24.549999237060547
2017-11-15 14:30:00,24.350000381469727
2017-11-15 15:30:00,24.5
2017-11-15 16:30:00,24.479999542236328
2017-11-15 17:30:00,24.450000762939453
2017-11-15 18:30:00,24.40999984741211
2017-11-15 19:30:00,24.424999237060547
2017-11-15 20:30:00,24.610000610351562
2017-11-16 14:30:00,23.290000915527344
2017-11-16 15:30:00,23.600000381469727
2017-11-16 16:30:00,23.450000762939453
2017-11-16 17:30:00,23.709999084472656
2017-11-16 18:30:00,23.575000762939453
2017-11-16 19:30:00,23.780000686645508
2017-11-16 20:30:00,23.684999465942383
2017-11-17 14:30:00,25.469999313354492
2017-11-17 15:30:00,25.1200008392334
2017-11-17 16:30:00,25.860000610351562
2017-11-17 17:30:00,25.989999771118164
2017-11-17 18:30:00,26.1072998046875
2017-11-17 19:30:00,26.200000762939453
2017-11-17 20:30:00,26.139999389648438
2017-11-20 14:30:00,26.209999084472656
2017-11-20 15:30:00,26.059999465942383
2017-11-20 16:30:00,26.06999969482422
2017-11-20 17:30:00,26.209999084472656
2017-11-20 18:30:00,26.450000762939453
2017-11-20 19:30:00,26.149999618530273
2017-11-20 20:30:00,26.170000076293945
2017-11-21 14:30:00,26.479999542236328
2017-11-21 15:30:00,26.709999084472656
2017-11-21 16:30:00,26.860000610351562
2017-11-21 17:30:00,27.030000686645508
2017-11-21 18:30:00,27.405000686645508
2017-11-21 19:30:00,27.40999984741211
