Datetime,CHKP
2017-11-06 14:30:00,105.44999694824219
2017-11-06 15:30:00,106.02999877929688
2017-11-06 16:30:00,105.58000183105469
2017-11-06 17:30:00,105.48100280761719
2017-11-06 18:30:00,105.05000305175781
2017-11-06 19:30:00,105.44000244140625
2017-11-06 20:30:00,105.20999908447266
2017-11-07 14:30:00,105.9000015258789
2017-11-07 15:30:00,105.44999694824219
2017-11-07 16:30:00,104.81999969482422
2017-11-07 17:30:00,104.94999694824219
2017-11-07 18:30:00,104.62000274658203
2017-11-07 19:30:00,104.76000213623047
2017-11-07 20:30:00,104.97000122070312
2017-11-08 14:30:00,105.66999816894531
2017-11-08 15:30:00,105.51000213623047
2017-11-08 16:30:00,105.0999984741211
2017-11-08 17:30:00,105.3499984741211
2017-11-08 18:30:00,105.2699966430664
2017-11-08 19:30:00,105.34339904785156
2017-11-08 20:30:00,105.3499984741211
2017-11-09 14:30:00,104.16000366210938
2017-11-09 15:30:00,103.16999816894531
2017-11-09 16:30:00,103.18499755859375
2017-11-09 17:30:00,103.0156021118164
2017-11-09 18:30:00,103.44999694824219
2017-11-09 19:30:00,103.44000244140625
2017-11-09 20:30:00,103.61000061035156
2017-11-10 14:30:00,103.0
2017-11-10 15:30:00,102.75
2017-11-10 16:30:00,103.16000366210938
2017-11-10 17:30:00,102.86000061035156
2017-11-10 18:30:00,102.73999786376953
2017-11-10 19:30:00,102.47000122070312
2017-11-10 20:30:00,102.4800033569336
2017-11-13 14:30:00,102.0999984741211
2017-11-13 15:30:00,102.0
2017-11-13 16:30:00,102.5
2017-11-13 17:30:00,102.3499984741211
2017-11-13 18:30:00,102.48719787597656
2017-11-13 19:30:00,102.77999877929688
2017-11-13 20:30:00,102.79000091552734
2017-11-14 14:30:00,102.41000366210938
2017-11-14 15:30:00,102.2699966430664
2017-11-14 16:30:00,102.5199966430664
2017-11-14 17:30:00,102.11000061035156
2017-11-14 18:30:00,102.27999877929688
2017-11-14 19:30:00,102.375
2017-11-14 20:30:00,102.4000015258789
2017-11-15 14:30:00,102.93499755859375
2017-11-15 15:30:00,102.81999969482422
2017-11-15 16:30:00,103.08999633789062
2017-11-15 17:30:00,102.98500061035156
2017-11-15 18:30:00,103.01000213623047
2017-11-15 19:30:00,103.05000305175781
2017-11-15 20:30:00,103.05000305175781
2017-11-16 14:30:00,103.40499877929688
2017-11-16 15:30:00,103.8499984741211
2017-11-16 16:30:00,103.75
2017-11-16 17:30:00,103.62000274658203
2017-11-16 18:30:00,103.38999938964844
2017-11-16 19:30:00,103.36499786376953
2017-11-16 20:30:00,103.0
2017-11-17 14:30:00,102.62999725341797
2017-11-17 15:30:00,102.55999755859375
2017-11-17 16:30:00,102.88999938964844
2017-11-17 17:30:00,102.63999938964844
2017-11-17 18:30:00,102.44999694824219
2017-11-17 19:30:00,102.09500122070312
2017-11-17 20:30:00,102.16500091552734
2017-11-20 14:30:00,102.87000274658203
2017-11-20 15:30:00,103.66000366210938
2017-11-20 16:30:00,103.43000030517578
2017-11-20 17:30:00,103.36000061035156
2017-11-20 18:30:00,103.04000091552734
2017-11-20 19:30:00,102.98999786376953
2017-11-20 20:30:00,102.94000244140625
2017-11-21 14:30:00,104.02999877929688
2017-11-21 15:30:00,104.16999816894531
2017-11-21 16:30:00,104.02999877929688
2017-11-21 17:30:00,104.11000061035156
2017-11-21 18:30:00,104.16000366210938
2017-11-21 19:30:00,104.01499938964844
2017-11-21 20:30:00,103.87999725341797
2017-11-22 14:30:00,103.69000244140625
2017-11-22 15:30:00,103.76000213623047
2017-11-22 16:30:00,104.0
2017-11-22 17:30:00,103.76000213623047
2017-11-22 18:30:00,103.70999908447266
2017-11-22 19:30:00,103.66999816894531
2017-11-22 20:30:00,103.62999725341797
2017-11-24 14:30:00,103.80999755859375
2017-11-24 15:30:00,104.0
2017-11-24 16:30:00,104.06999969482422
2017-11-24 18:00:00,104.02339935302734
2017-11-27 14:30:00,104.29000091552734
2017-11-27 15:30:00,104.45390319824219
2017-11-27 16:30:00,104.56999969482422
2017-11-27 17:30:00,104.48999786376953
2017-11-27 18:30:00,104.46829986572266
2017-11-27 19:30:00,104.71749877929688
2017-11-27 20:30:00,104.7699966430664
2017-11-28 14:30:00,104.75
2017-11-28 15:30:00,104.76000213623047
2017-11-28 16:30:00,105.0
2017-11-28 17:30:00,104.33999633789062
2017-11-28 18:30:00,104.51000213623047
2017-11-28 19:30:00,104.5199966430664
2017-11-28 20:30:00,104.22000122070312
2017-11-29 14:30:00,102.5999984741211
2017-11-29 15:30:00,102.00499725341797
2017-11-29 16:30:00,102.0199966430664
2017-11-29 17:30:00,102.33000183105469
2017-11-29 18:30:00,102.125
2017-11-29 19:30:00,102.2699966430664
2017-11-29 20:30:00,102.05999755859375
2017-11-30 14:30:00,103.98999786376953
2017-11-30 15:30:00,103.9000015258789
2017-11-30 16:30:00,104.33999633789062
2017-11-30 17:30:00,104.22000122070312
2017-11-30 18:30:00,104.18000030517578
2017-11-30 19:30:00,104.2699966430664
2017-11-30 20:30:00,104.26000213623047
2017-12-01 14:30:00,104.0530014038086
2017-12-01 15:30:00,102.87000274658203
2017-12-01 16:30:00,103.63999938964844
2017-12-01 17:30:00,104.01000213623047
2017-12-01 18:30:00,104.57499694824219
2017-12-01 19:30:00,104.29000091552734
2017-12-01 20:30:00,104.30000305175781
2017-12-04 14:30:00,102.94999694824219
2017-12-04 15:30:00,102.73999786376953
2017-12-04 16:30:00,102.7300033569336
2017-12-04 17:30:00,103.33390045166016
2017-12-04 18:30:00,102.70999908447266
