Datetime,ADP
2017-11-06 14:30:00,111.18000030517578
2017-11-06 15:30:00,110.91999816894531
2017-11-06 16:30:00,110.98999786376953
2017-11-06 17:30:00,110.94999694824219
2017-11-06 18:30:00,111.2300033569336
2017-11-06 19:30:00,111.3499984741211
2017-11-06 20:30:00,111.33999633789062
2017-11-07 14:30:00,110.98999786376953
2017-11-07 15:30:00,112.16999816894531
2017-11-07 16:30:00,112.2300033569336
2017-11-07 17:30:00,112.0199966430664
2017-11-07 18:30:00,112.08999633789062
2017-11-07 19:30:00,112.61499786376953
2017-11-07 20:30:00,112.73999786376953
2017-11-08 14:30:00,113.30000305175781
2017-11-08 15:30:00,112.8499984741211
2017-11-08 16:30:00,112.91000366210938
2017-11-08 17:30:00,112.91000366210938
2017-11-08 18:30:00,113.0199966430664
2017-11-08 19:30:00,112.76000213623047
2017-11-08 20:30:00,112.58999633789062
2017-11-09 14:30:00,112.0999984741211
2017-11-09 15:30:00,111.9000015258789
2017-11-09 16:30:00,111.63999938964844
2017-11-09 17:30:00,111.68000030517578
2017-11-09 18:30:00,112.20120239257812
2017-11-09 19:30:00,111.88999938964844
2017-11-09 20:30:00,111.95999908447266
2017-11-10 14:30:00,111.68000030517578
2017-11-10 15:30:00,111.26000213623047
2017-11-10 16:30:00,111.41999816894531
2017-11-10 17:30:00,111.01000213623047
2017-11-10 18:30:00,111.30999755859375
2017-11-10 19:30:00,111.24669647216797
2017-11-10 20:30:00,111.08999633789062
2017-11-13 14:30:00,111.75
2017-11-13 15:30:00,111.4800033569336
2017-11-13 16:30:00,111.4800033569336
2017-11-13 17:30:00,111.5250015258789
2017-11-13 18:30:00,111.5199966430664
2017-11-13 19:30:00,111.51000213623047
2017-11-13 20:30:00,111.52999877929688
2017-11-14 14:30:00,111.29000091552734
2017-11-14 15:30:00,111.33989715576172
2017-11-14 16:30:00,111.4000015258789
2017-11-14 17:30:00,111.47000122070312
2017-11-14 18:30:00,112.20999908447266
2017-11-14 19:30:00,112.03990173339844
2017-11-14 20:30:00,112.06999969482422
2017-11-15 14:30:00,110.66999816894531
2017-11-15 15:30:00,111.20999908447266
2017-11-15 16:30:00,111.19000244140625
2017-11-15 17:30:00,111.1709976196289
2017-11-15 18:30:00,111.22899627685547
2017-11-15 19:30:00,110.82499694824219
2017-11-15 20:30:00,110.6500015258789
2017-11-16 14:30:00,110.92250061035156
2017-11-16 15:30:00,111.2300033569336
2017-11-16 16:30:00,111.14219665527344
2017-11-16 17:30:00,111.13999938964844
2017-11-16 18:30:00,111.07499694824219
2017-11-16 19:30:00,110.98999786376953
2017-11-16 20:30:00,111.02999877929688
2017-11-17 14:30:00,110.87000274658203
2017-11-17 15:30:00,110.38999938964844
2017-11-17 16:30:00,110.53179931640625
2017-11-17 17:30:00,110.83000183105469
2017-11-17 18:30:00,110.83999633789062
2017-11-17 19:30:00,111.0
2017-11-17 20:30:00,111.08000183105469
2017-11-20 14:30:00,110.94010162353516
2017-11-20 15:30:00,110.9000015258789
2017-11-20 16:30:00,110.45500183105469
2017-11-20 17:30:00,110.66999816894531
2017-11-20 18:30:00,110.62000274658203
2017-11-20 19:30:00,110.6449966430664
2017-11-20 20:30:00,110.54000091552734
2017-11-21 14:30:00,110.98999786376953
2017-11-21 15:30:00,110.80000305175781
2017-11-21 16:30:00,110.54000091552734
2017-11-21 17:30:00,110.6500015258789
2017-11-21 18:30:00,110.52999877929688
2017-11-21 19:30:00,110.47480010986328
2017-11-21 20:30:00,110.55000305175781
2017-11-22 14:30:00,110.41000366210938
2017-11-22 15:30:00,110.0999984741211
2017-11-22 16:30:00,110.05999755859375
2017-11-22 17:30:00,109.9749984741211
2017-11-22 18:30:00,109.90499877929688
2017-11-22 19:30:00,110.05999755859375
2017-11-22 20:30:00,110.19999694824219
2017-11-24 14:30:00,109.72000122070312
2017-11-24 15:30:00,110.08999633789062
2017-11-24 16:30:00,110.20999908447266
2017-11-24 18:00:00,110.0199966430664
2017-11-27 14:30:00,110.13999938964844
2017-11-27 15:30:00,110.3499984741211
2017-11-27 16:30:00,110.4000015258789
2017-11-27 17:30:00,110.18499755859375
2017-11-27 18:30:00,109.98999786376953
2017-11-27 19:30:00,110.14969635009766
2017-11-27 20:30:00,110.1500015258789
2017-11-28 14:30:00,111.31999969482422
2017-11-28 15:30:00,110.93000030517578
2017-11-28 16:30:00,111.19000244140625
2017-11-28 17:30:00,111.04000091552734
2017-11-28 18:30:00,110.91320037841797
2017-11-28 19:30:00,111.06999969482422
2017-11-28 20:30:00,111.20999908447266
2017-11-29 14:30:00,113.8499984741211
2017-11-29 15:30:00,113.7699966430664
2017-11-29 16:30:00,113.76000213623047
2017-11-29 17:30:00,113.4800033569336
2017-11-29 18:30:00,113.47000122070312
2017-11-29 19:30:00,113.37000274658203
2017-11-29 20:30:00,113.33999633789062
2017-11-30 14:30:00,114.02040100097656
2017-11-30 15:30:00,114.18000030517578
2017-11-30 16:30:00,114.54000091552734
2017-11-30 17:30:00,114.62999725341797
2017-11-30 18:30:00,114.5
2017-11-30 19:30:00,114.58999633789062
2017-11-30 20:30:00,114.45999908447266
2017-12-01 14:30:00,114.58000183105469
2017-12-01 15:30:00,112.68000030517578
2017-12-01 16:30:00,113.81999969482422
2017-12-01 17:30:00,114.12999725341797
2017-12-01 18:30:00,114.2249984741211
2017-12-01 19:30:00,113.73999786376953
2017-12-01 20:30:00,113.76000213623047
2017-12-04 14:30:00,116.4000015258789
2017-12-04 15:30:00,115.87999725341797
2017-12-04 16:30:00,115.5199966430664
