Datetime,REGN
2017-12-04 18:30:00,378.44000244140625
2017-12-04 19:30:00,378.1000061035156
2017-12-04 20:30:00,378.4100036621094
2017-12-05 14:30:00,378.6600036621094
2017-12-05 15:30:00,376.7200012207031
2017-12-05 16:30:00,378.2850036621094
2017-12-05 17:30:00,377.82501220703125
2017-12-05 18:30:00,377.260009765625
2017-12-05 19:30:00,372.69000244140625
2017-12-05 20:30:00,372.3399963378906
2017-12-06 14:30:00,369.03009033203125
2017-12-06 15:30:00,368.1700134277344
2017-12-06 16:30:00,368.1400146484375
2017-12-06 17:30:00,370.1400146484375
2017-12-06 18:30:00,373.70001220703125
2017-12-06 19:30:00,375.7900085449219
2017-12-06 20:30:00,375.2799987792969
2017-12-07 14:30:00,375.95001220703125
2017-12-07 15:30:00,377.44000244140625
2017-12-07 16:30:00,377.44000244140625
2017-12-07 17:30:00,373.739990234375
2017-12-07 18:30:00,373.70001220703125
2017-12-07 19:30:00,374.1300048828125
2017-12-07 20:30:00,373.6099853515625
2017-12-08 14:30:00,381.9599914550781
2017-12-08 15:30:00,380.4150085449219
2017-12-08 16:30:00,381.8999938964844
2017-12-08 17:30:00,380.2200012207031
2017-12-08 18:30:00,381.7099914550781
2017-12-08 19:30:00,380.30999755859375
2017-12-08 20:30:00,380.760009765625
2017-12-11 14:30:00,379.2300109863281
2017-12-11 15:30:00,380.5450134277344
2017-12-11 16:30:00,382.1000061035156
2017-12-11 17:30:00,382.29998779296875
2017-12-11 18:30:00,381.55999755859375
2017-12-11 19:30:00,380.239990234375
2017-12-11 20:30:00,381.2900085449219
2017-12-12 14:30:00,376.1099853515625
2017-12-12 15:30:00,377.0174865722656
2017-12-12 16:30:00,378.3699951171875
2017-12-12 17:30:00,376.80999755859375
2017-12-12 18:30:00,378.80499267578125
2017-12-12 19:30:00,381.4649963378906
2017-12-12 20:30:00,381.8299865722656
2017-12-13 14:30:00,382.0299987792969
2017-12-13 15:30:00,384.44000244140625
2017-12-13 16:30:00,383.7112121582031
2017-12-13 17:30:00,385.3999938964844
2017-12-13 18:30:00,387.75
