Datetime,DISH
2017-11-06 14:30:00,50.790000915527344
2017-11-06 15:30:00,50.83000183105469
2017-11-06 16:30:00,50.439998626708984
2017-11-06 17:30:00,50.470001220703125
2017-11-06 18:30:00,51.53499984741211
2017-11-06 19:30:00,50.77000045776367
2017-11-06 20:30:00,50.83000183105469
2017-11-07 14:30:00,50.72999954223633
2017-11-07 15:30:00,50.31999969482422
2017-11-07 16:30:00,49.95000076293945
2017-11-07 17:30:00,49.849998474121094
2017-11-07 18:30:00,49.97999954223633
2017-11-07 19:30:00,49.814998626708984
2017-11-07 20:30:00,50.060001373291016
2017-11-08 14:30:00,49.94499969482422
2017-11-08 15:30:00,49.83000183105469
2017-11-08 16:30:00,49.625
2017-11-08 17:30:00,49.09000015258789
2017-11-08 18:30:00,48.97999954223633
2017-11-08 19:30:00,48.560001373291016
2017-11-08 20:30:00,48.720001220703125
2017-11-09 14:30:00,51.060001373291016
2017-11-09 15:30:00,51.0099983215332
2017-11-09 16:30:00,50.70000076293945
2017-11-09 17:30:00,50.54999923706055
2017-11-09 18:30:00,50.63999938964844
2017-11-09 19:30:00,50.5099983215332
2017-11-09 20:30:00,50.279998779296875
2017-11-10 14:30:00,50.2400016784668
2017-11-10 15:30:00,50.310001373291016
2017-11-10 16:30:00,50.400001525878906
2017-11-10 17:30:00,50.540000915527344
2017-11-10 18:30:00,50.880001068115234
2017-11-10 19:30:00,50.75
2017-11-10 20:30:00,50.810001373291016
2017-11-13 14:30:00,50.25
2017-11-13 15:30:00,50.18000030517578
2017-11-13 16:30:00,50.11000061035156
2017-11-13 17:30:00,50.36000061035156
2017-11-13 18:30:00,50.34000015258789
2017-11-13 19:30:00,50.439998626708984
2017-11-13 20:30:00,50.84000015258789
2017-11-14 14:30:00,50.5099983215332
2017-11-14 15:30:00,50.47999954223633
2017-11-14 16:30:00,50.36000061035156
2017-11-14 17:30:00,50.16999816894531
2017-11-14 18:30:00,50.380001068115234
2017-11-14 19:30:00,50.49250030517578
2017-11-14 20:30:00,50.529998779296875
2017-11-15 14:30:00,49.959999084472656
2017-11-15 15:30:00,50.70000076293945
2017-11-15 16:30:00,50.63999938964844
2017-11-15 17:30:00,50.41999816894531
2017-11-15 18:30:00,50.63999938964844
2017-11-15 19:30:00,50.66999816894531
2017-11-15 20:30:00,50.61000061035156
2017-11-16 14:30:00,50.85499954223633
2017-11-16 15:30:00,50.61000061035156
2017-11-16 16:30:00,50.435001373291016
2017-11-16 17:30:00,50.41999816894531
2017-11-16 18:30:00,50.72999954223633
2017-11-16 19:30:00,50.59000015258789
2017-11-16 20:30:00,50.4900016784668
2017-11-17 14:30:00,50.43000030517578
2017-11-17 15:30:00,50.40999984741211
2017-11-17 16:30:00,50.540000915527344
2017-11-17 17:30:00,50.380001068115234
2017-11-17 18:30:00,50.429500579833984
2017-11-17 19:30:00,50.54999923706055
2017-11-17 20:30:00,50.63999938964844
2017-11-20 14:30:00,49.959999084472656
2017-11-20 15:30:00,49.7599983215332
2017-11-20 16:30:00,49.68000030517578
2017-11-20 17:30:00,49.709999084472656
2017-11-20 18:30:00,49.939998626708984
2017-11-20 19:30:00,49.82500076293945
2017-11-20 20:30:00,50.029998779296875
2017-11-21 14:30:00,50.040000915527344
2017-11-21 15:30:00,49.9900016784668
2017-11-21 16:30:00,50.02000045776367
2017-11-21 17:30:00,49.819000244140625
2017-11-21 18:30:00,49.88999938964844
2017-11-21 19:30:00,49.85499954223633
2017-11-21 20:30:00,50.040000915527344
2017-11-22 14:30:00,50.15999984741211
2017-11-22 15:30:00,50.7599983215332
2017-11-22 16:30:00,50.5
2017-11-22 17:30:00,50.20000076293945
2017-11-22 18:30:00,50.349998474121094
2017-11-22 19:30:00,50.47999954223633
2017-11-22 20:30:00,50.45000076293945
2017-11-24 14:30:00,49.849998474121094
2017-11-24 15:30:00,49.722999572753906
2017-11-24 16:30:00,49.880001068115234
2017-11-24 17:30:00,49.86000061035156
2017-11-27 14:30:00,49.439998626708984
2017-11-27 15:30:00,49.18000030517578
2017-11-27 16:30:00,49.290000915527344
2017-11-27 17:30:00,49.22999954223633
2017-11-27 18:30:00,49.36000061035156
2017-11-27 19:30:00,49.560001373291016
2017-11-27 20:30:00,49.63999938964844
2017-11-28 14:30:00,49.650001525878906
2017-11-28 15:30:00,49.77000045776367
2017-11-28 16:30:00,49.959999084472656
2017-11-28 17:30:00,49.872501373291016
2017-11-28 18:30:00,50.0
2017-11-28 19:30:00,50.33000183105469
2017-11-28 20:30:00,50.40999984741211
2017-11-29 14:30:00,51.099998474121094
2017-11-29 15:30:00,51.349998474121094
2017-11-29 16:30:00,50.834999084472656
2017-11-29 17:30:00,51.06999969482422
2017-11-29 18:30:00,51.290000915527344
2017-11-29 19:30:00,51.20000076293945
2017-11-29 20:30:00,51.290000915527344
2017-11-30 14:30:00,50.76499938964844
2017-11-30 15:30:00,50.61000061035156
2017-11-30 16:30:00,50.52000045776367
2017-11-30 17:30:00,50.2599983215332
2017-11-30 18:30:00,50.45000076293945
2017-11-30 19:30:00,50.52000045776367
2017-11-30 20:30:00,50.66999816894531
2017-12-01 14:30:00,50.630001068115234
2017-12-01 15:30:00,50.16999816894531
2017-12-01 16:30:00,50.470001220703125
2017-12-01 17:30:00,50.77000045776367
2017-12-01 18:30:00,50.630001068115234
2017-12-01 19:30:00,50.619998931884766
2017-12-01 20:30:00,50.31999969482422
2017-12-04 14:30:00,51.58000183105469
2017-12-04 15:30:00,51.34000015258789
2017-12-04 16:30:00,51.33000183105469
