Datetime,TRIP
2017-11-06 14:30:00,39.029998779296875
2017-11-06 15:30:00,39.0
2017-11-06 16:30:00,39.06999969482422
2017-11-06 17:30:00,39.18000030517578
2017-11-06 18:30:00,39.35499954223633
2017-11-06 19:30:00,39.56999969482422
2017-11-06 20:30:00,39.529998779296875
2017-11-07 14:30:00,32.2599983215332
2017-11-07 15:30:00,32.36000061035156
2017-11-07 16:30:00,31.52989959716797
2017-11-07 17:30:00,31.924999237060547
2017-11-07 18:30:00,31.163999557495117
2017-11-07 19:30:00,31.225000381469727
2017-11-07 20:30:00,30.21500015258789
2017-11-08 14:30:00,30.149999618530273
2017-11-08 15:30:00,29.889999389648438
2017-11-08 16:30:00,31.059999465942383
2017-11-08 17:30:00,31.100000381469727
2017-11-08 18:30:00,32.060001373291016
2017-11-08 19:30:00,31.920000076293945
2017-11-08 20:30:00,31.65999984741211
2017-11-09 14:30:00,31.8799991607666
2017-11-09 15:30:00,31.735200881958008
2017-11-09 16:30:00,31.63129997253418
2017-11-09 17:30:00,31.68000030517578
2017-11-09 18:30:00,31.670000076293945
2017-11-09 19:30:00,31.58989906311035
2017-11-09 20:30:00,31.559999465942383
2017-11-10 14:30:00,31.3799991607666
2017-11-10 15:30:00,31.219999313354492
2017-11-10 16:30:00,31.350000381469727
2017-11-10 17:30:00,31.25
2017-11-10 18:30:00,31.239999771118164
2017-11-10 19:30:00,31.040000915527344
2017-11-10 20:30:00,31.190000534057617
2017-11-13 14:30:00,31.06999969482422
2017-11-13 15:30:00,31.009899139404297
2017-11-13 16:30:00,30.920000076293945
2017-11-13 17:30:00,30.725000381469727
2017-11-13 18:30:00,30.760000228881836
2017-11-13 19:30:00,30.739999771118164
2017-11-13 20:30:00,30.739999771118164
2017-11-14 14:30:00,30.350000381469727
2017-11-14 15:30:00,30.389999389648438
2017-11-14 16:30:00,30.360000610351562
2017-11-14 17:30:00,30.18000030517578
2017-11-14 18:30:00,30.489999771118164
2017-11-14 19:30:00,30.229999542236328
2017-11-14 20:30:00,30.040000915527344
2017-11-15 14:30:00,30.270000457763672
2017-11-15 15:30:00,30.565000534057617
2017-11-15 16:30:00,30.440000534057617
2017-11-15 17:30:00,30.479999542236328
2017-11-15 18:30:00,30.479999542236328
2017-11-15 19:30:00,30.549999237060547
2017-11-15 20:30:00,30.530000686645508
2017-11-16 14:30:00,30.489999771118164
2017-11-16 15:30:00,30.469999313354492
2017-11-16 16:30:00,30.100000381469727
2017-11-16 17:30:00,30.100000381469727
2017-11-16 18:30:00,30.270000457763672
2017-11-16 19:30:00,30.360000610351562
2017-11-16 20:30:00,30.329999923706055
2017-11-17 14:30:00,30.059999465942383
2017-11-17 15:30:00,30.21500015258789
2017-11-17 16:30:00,30.204200744628906
2017-11-17 17:30:00,30.190000534057617
2017-11-17 18:30:00,30.4950008392334
2017-11-17 19:30:00,30.59000015258789
2017-11-17 20:30:00,30.600000381469727
2017-11-20 14:30:00,30.520099639892578
2017-11-20 15:30:00,30.40999984741211
2017-11-20 16:30:00,30.219999313354492
2017-11-20 17:30:00,30.270000457763672
2017-11-20 18:30:00,30.25
2017-11-20 19:30:00,30.489999771118164
2017-11-20 20:30:00,30.489999771118164
2017-11-21 14:30:00,31.559999465942383
2017-11-21 15:30:00,31.920000076293945
2017-11-21 16:30:00,32.111000061035156
2017-11-21 17:30:00,32.35219955444336
2017-11-21 18:30:00,32.43000030517578
2017-11-21 19:30:00,32.68000030517578
2017-11-21 20:30:00,32.83000183105469
2017-11-22 14:30:00,33.16999816894531
2017-11-22 15:30:00,33.66999816894531
2017-11-22 16:30:00,34.369998931884766
2017-11-22 17:30:00,33.94499969482422
2017-11-22 18:30:00,34.0099983215332
2017-11-22 19:30:00,34.25
2017-11-22 20:30:00,34.209999084472656
2017-11-24 14:30:00,33.709999084472656
2017-11-24 15:30:00,34.0099983215332
2017-11-24 16:30:00,33.959999084472656
2017-11-24 18:00:00,34.220001220703125
2017-11-27 14:30:00,35.060001373291016
2017-11-27 15:30:00,34.689998626708984
2017-11-27 16:30:00,34.439998626708984
2017-11-27 17:30:00,34.349998474121094
2017-11-27 18:30:00,34.45000076293945
2017-11-27 19:30:00,34.4900016784668
2017-11-27 20:30:00,34.40999984741211
2017-11-28 14:30:00,34.369998931884766
2017-11-28 15:30:00,34.56999969482422
2017-11-28 16:30:00,34.529998779296875
2017-11-28 17:30:00,34.630001068115234
2017-11-28 18:30:00,34.400001525878906
2017-11-28 19:30:00,34.599998474121094
2017-11-28 20:30:00,34.71500015258789
2017-11-29 14:30:00,34.689998626708984
2017-11-29 15:30:00,34.65999984741211
2017-11-29 16:30:00,34.584999084472656
2017-11-29 17:30:00,35.02000045776367
2017-11-29 18:30:00,34.84000015258789
2017-11-29 19:30:00,34.47010040283203
2017-11-29 20:30:00,34.59000015258789
2017-11-30 14:30:00,34.85599899291992
2017-11-30 15:30:00,34.68000030517578
2017-11-30 16:30:00,34.849998474121094
2017-11-30 17:30:00,34.709999084472656
2017-11-30 18:30:00,34.540000915527344
2017-11-30 19:30:00,34.4900016784668
2017-11-30 20:30:00,34.61000061035156
2017-12-01 14:30:00,34.400001525878906
2017-12-01 15:30:00,34.209999084472656
2017-12-01 16:30:00,34.36750030517578
2017-12-01 17:30:00,34.380001068115234
2017-12-01 18:30:00,34.38999938964844
2017-12-01 19:30:00,34.35499954223633
2017-12-01 20:30:00,34.29499816894531
2017-12-04 14:30:00,34.630001068115234
2017-12-04 15:30:00,34.720001220703125
2017-12-04 16:30:00,34.70000076293945
