Datetime,CHTR
2017-12-04 18:30:00,335.2900085449219
2017-12-04 19:30:00,334.95001220703125
2017-12-04 20:30:00,334.1099853515625
2017-12-05 14:30:00,338.3599853515625
2017-12-05 15:30:00,334.68499755859375
2017-12-05 16:30:00,335.7749938964844
2017-12-05 17:30:00,334.54998779296875
2017-12-05 18:30:00,333.70001220703125
2017-12-05 19:30:00,332.44000244140625
2017-12-05 20:30:00,331.0299987792969
2017-12-06 14:30:00,328.1449890136719
2017-12-06 15:30:00,326.9100036621094
2017-12-06 16:30:00,323.0450134277344
2017-12-06 17:30:00,322.6449890136719
2017-12-06 18:30:00,322.1400146484375
2017-12-06 19:30:00,322.8500061035156
2017-12-06 20:30:00,322.75
2017-12-07 14:30:00,328.3299865722656
2017-12-07 15:30:00,327.20001220703125
2017-12-07 16:30:00,325.94000244140625
2017-12-07 17:30:00,327.44500732421875
2017-12-07 18:30:00,324.9700012207031
2017-12-07 19:30:00,324.4200134277344
2017-12-07 20:30:00,325.3500061035156
2017-12-08 14:30:00,324.1400146484375
2017-12-08 15:30:00,321.2799987792969
2017-12-08 16:30:00,323.4100036621094
2017-12-08 17:30:00,324.8999938964844
2017-12-08 18:30:00,324.3500061035156
2017-12-08 19:30:00,324.3399963378906
2017-12-08 20:30:00,324.6700134277344
2017-12-11 14:30:00,326.989990234375
2017-12-11 15:30:00,329.4700012207031
2017-12-11 16:30:00,331.9700012207031
2017-12-11 17:30:00,331.20001220703125
2017-12-11 18:30:00,331.6099853515625
2017-12-11 19:30:00,331.0899963378906
2017-12-11 20:30:00,331.489990234375
2017-12-12 14:30:00,328.8299865722656
2017-12-12 15:30:00,327.9599914550781
2017-12-12 16:30:00,327.69000244140625
2017-12-12 17:30:00,327.989990234375
2017-12-12 18:30:00,327.2200012207031
2017-12-12 19:30:00,329.875
2017-12-12 20:30:00,329.989990234375
2017-12-13 14:30:00,323.95001220703125
2017-12-13 15:30:00,327.9649963378906
2017-12-13 16:30:00,328.3500061035156
2017-12-13 17:30:00,330.1700134277344
2017-12-13 18:30:00,327.69000244140625
2017-12-13 19:30:00,327.239990234375
2017-12-13 20:30:00,328.8699951171875
2017-12-14 14:30:00,325.2850036621094
2017-12-14 15:30:00,325.9849853515625
2017-12-14 16:30:00,325.6199951171875
2017-12-14 17:30:00,325.635009765625
2017-12-14 18:30:00,330.1700134277344
2017-12-14 19:30:00,329.489990234375
2017-12-14 20:30:00,328.75
2017-12-15 14:30:00,322.7049865722656
2017-12-15 15:30:00,322.0799865722656
2017-12-15 16:30:00,322.94000244140625
2017-12-15 17:30:00,322.7650146484375
2017-12-15 18:30:00,322.70001220703125
2017-12-15 19:30:00,321.7749938964844
2017-12-15 20:30:00,322.04998779296875
2017-12-18 14:30:00,323.4599914550781
2017-12-18 15:30:00,323.2799987792969
2017-12-18 16:30:00,326.17999267578125
2017-12-18 17:30:00,326.29998779296875
2017-12-18 18:30:00,325.04998779296875
2017-12-18 19:30:00,323.6400146484375
2017-12-18 20:30:00,323.3999938964844
2017-12-19 14:30:00,319.6099853515625
2017-12-19 15:30:00,318.9949951171875
2017-12-19 16:30:00,317.79998779296875
2017-12-19 17:30:00,317.42999267578125
2017-12-19 18:30:00,317.2699890136719
2017-12-19 19:30:00,317.17999267578125
2017-12-19 20:30:00,316.9700012207031
2017-12-20 14:30:00,314.1700134277344
2017-12-20 15:30:00,313.57501220703125
2017-12-20 16:30:00,313.17999267578125
2017-12-20 17:30:00,315.0
2017-12-20 18:30:00,315.4800109863281
2017-12-20 19:30:00,316.3999938964844
2017-12-20 20:30:00,316.42999267578125
2017-12-21 14:30:00,324.2650146484375
2017-12-21 15:30:00,327.2099914550781
2017-12-21 16:30:00,329.51361083984375
2017-12-21 17:30:00,333.65899658203125
2017-12-21 18:30:00,335.1400146484375
2017-12-21 19:30:00,334.54998779296875
2017-12-21 20:30:00,332.739990234375
2017-12-22 14:30:00,335.6300048828125
2017-12-22 15:30:00,335.2200012207031
2017-12-22 16:30:00,336.989990234375
2017-12-22 17:30:00,340.1099853515625
2017-12-22 18:30:00,337.6300048828125
2017-12-22 19:30:00,339.010009765625
2017-12-22 20:30:00,338.19000244140625
2017-12-26 14:30:00,337.1700134277344
2017-12-26 15:30:00,339.0
2017-12-26 16:30:00,338.5450134277344
2017-12-26 17:30:00,340.0199890136719
2017-12-26 18:30:00,340.2300109863281
2017-12-26 19:30:00,339.17999267578125
2017-12-26 20:30:00,340.4800109863281
2017-12-27 14:30:00,337.19000244140625
2017-12-27 15:30:00,336.7200012207031
2017-12-27 16:30:00,334.5
2017-12-27 17:30:00,335.1675109863281
2017-12-27 18:30:00,334.9599914550781
2017-12-27 19:30:00,332.42999267578125
2017-12-27 20:30:00,333.2900085449219
2017-12-28 14:30:00,336.4849853515625
2017-12-28 15:30:00,338.1400146484375
2017-12-28 16:30:00,338.8500061035156
2017-12-28 17:30:00,338.30499267578125
2017-12-28 18:30:00,336.8800048828125
2017-12-28 19:30:00,337.3399963378906
2017-12-28 20:30:00,337.989990234375
2017-12-29 14:30:00,337.989990234375
2017-12-29 15:30:00,335.45001220703125
2017-12-29 16:30:00,335.79998779296875
2017-12-29 17:30:00,336.44000244140625
2017-12-29 18:30:00,335.989990234375
2017-12-29 19:30:00,337.3299865722656
2017-12-29 20:30:00,336.239990234375
2018-01-02 14:30:00,345.6401062011719
2018-01-02 15:30:00,346.6000061035156
2018-01-02 16:30:00,347.8367919921875
2018-01-02 17:30:00,350.20001220703125
2018-01-02 18:30:00,351.9549865722656
2018-01-02 19:30:00,348.9849853515625
2018-01-02 20:30:00,348.95001220703125
2018-01-03 14:30:00,351.989990234375
2018-01-03 15:30:00,354.9200134277344
2018-01-03 16:30:00,353.0
2018-01-03 17:30:00,352.69000244140625
