Datetime,CELG
2017-11-06 14:30:00,100.16000366210938
2017-11-06 15:30:00,101.41999816894531
2017-11-06 16:30:00,101.25980377197266
2017-11-06 17:30:00,101.16999816894531
2017-11-06 18:30:00,101.55000305175781
2017-11-06 19:30:00,102.16999816894531
2017-11-06 20:30:00,101.66999816894531
2017-11-07 14:30:00,102.1449966430664
2017-11-07 15:30:00,102.1449966430664
2017-11-07 16:30:00,101.94000244140625
2017-11-07 17:30:00,101.7938003540039
2017-11-07 18:30:00,102.23899841308594
2017-11-07 19:30:00,101.69999694824219
2017-11-07 20:30:00,102.33999633789062
2017-11-08 14:30:00,102.12000274658203
2017-11-08 15:30:00,101.40499877929688
2017-11-08 16:30:00,101.87999725341797
2017-11-08 17:30:00,102.09500122070312
2017-11-08 18:30:00,102.0792007446289
2017-11-08 19:30:00,101.9800033569336
2017-11-08 20:30:00,101.69000244140625
2017-11-09 14:30:00,102.5999984741211
2017-11-09 15:30:00,102.13999938964844
2017-11-09 16:30:00,102.29000091552734
2017-11-09 17:30:00,102.52999877929688
2017-11-09 18:30:00,102.55999755859375
2017-11-09 19:30:00,102.38999938964844
2017-11-09 20:30:00,102.44999694824219
2017-11-10 14:30:00,101.11000061035156
2017-11-10 15:30:00,101.69999694824219
2017-11-10 16:30:00,102.0
2017-11-10 17:30:00,102.20999908447266
2017-11-10 18:30:00,102.2699966430664
2017-11-10 19:30:00,102.37000274658203
2017-11-10 20:30:00,102.33000183105469
2017-11-13 14:30:00,101.88999938964844
2017-11-13 15:30:00,101.91510009765625
2017-11-13 16:30:00,101.73500061035156
2017-11-13 17:30:00,101.23999786376953
2017-11-13 18:30:00,101.30999755859375
2017-11-13 19:30:00,101.58000183105469
2017-11-13 20:30:00,101.16999816894531
2017-11-14 14:30:00,100.30000305175781
2017-11-14 15:30:00,100.33000183105469
2017-11-14 16:30:00,99.98500061035156
2017-11-14 17:30:00,99.30000305175781
2017-11-14 18:30:00,99.44000244140625
2017-11-14 19:30:00,98.95999908447266
2017-11-14 20:30:00,98.87000274658203
2017-11-15 14:30:00,99.58999633789062
2017-11-15 15:30:00,100.55999755859375
2017-11-15 16:30:00,100.4800033569336
2017-11-15 17:30:00,100.37000274658203
2017-11-15 18:30:00,101.02999877929688
2017-11-15 19:30:00,100.70099639892578
2017-11-15 20:30:00,100.37999725341797
2017-11-16 14:30:00,101.98750305175781
2017-11-16 15:30:00,102.72000122070312
2017-11-16 16:30:00,103.08499908447266
2017-11-16 17:30:00,103.01000213623047
2017-11-16 18:30:00,103.47000122070312
2017-11-16 19:30:00,103.8198013305664
2017-11-16 20:30:00,103.37000274658203
2017-11-17 14:30:00,103.7699966430664
2017-11-17 15:30:00,103.94000244140625
2017-11-17 16:30:00,104.18000030517578
2017-11-17 17:30:00,104.28500366210938
2017-11-17 18:30:00,103.81999969482422
2017-11-17 19:30:00,103.78990173339844
2017-11-17 20:30:00,104.11000061035156
2017-11-20 14:30:00,102.78800201416016
2017-11-20 15:30:00,103.13999938964844
2017-11-20 16:30:00,103.05000305175781
2017-11-20 17:30:00,103.30999755859375
2017-11-20 18:30:00,103.44000244140625
2017-11-20 19:30:00,103.23480224609375
2017-11-20 20:30:00,103.16000366210938
2017-11-21 14:30:00,105.25070190429688
2017-11-21 15:30:00,105.21379852294922
2017-11-21 16:30:00,105.52999877929688
2017-11-21 17:30:00,105.5
2017-11-21 18:30:00,105.12000274658203
2017-11-21 19:30:00,104.5999984741211
2017-11-21 20:30:00,104.4800033569336
2017-11-22 14:30:00,105.58999633789062
2017-11-22 15:30:00,105.56430053710938
2017-11-22 16:30:00,105.38999938964844
2017-11-22 17:30:00,105.12000274658203
2017-11-22 18:30:00,105.17749786376953
2017-11-22 19:30:00,105.20999908447266
2017-11-22 20:30:00,105.16999816894531
2017-11-24 14:30:00,105.02999877929688
2017-11-24 15:30:00,105.08000183105469
2017-11-24 16:30:00,104.41999816894531
2017-11-24 18:00:00,104.4000015258789
2017-11-27 14:30:00,104.125
2017-11-27 15:30:00,103.83000183105469
2017-11-27 16:30:00,103.22000122070312
2017-11-27 17:30:00,103.2300033569336
2017-11-27 18:30:00,103.31999969482422
2017-11-27 19:30:00,103.48999786376953
2017-11-27 20:30:00,103.33000183105469
2017-11-28 14:30:00,103.43000030517578
2017-11-28 15:30:00,104.30999755859375
2017-11-28 16:30:00,104.25
2017-11-28 17:30:00,104.19999694824219
2017-11-28 18:30:00,104.193603515625
2017-11-28 19:30:00,104.0999984741211
2017-11-28 20:30:00,104.02999877929688
2017-11-29 14:30:00,105.05999755859375
2017-11-29 15:30:00,104.48999786376953
2017-11-29 16:30:00,103.94000244140625
2017-11-29 17:30:00,103.44999694824219
2017-11-29 18:30:00,103.62999725341797
2017-11-29 19:30:00,102.88999938964844
2017-11-29 20:30:00,103.12000274658203
2017-11-30 14:30:00,101.1500015258789
2017-11-30 15:30:00,101.56999969482422
2017-11-30 16:30:00,101.56999969482422
2017-11-30 17:30:00,101.0999984741211
2017-11-30 18:30:00,101.26000213623047
2017-11-30 19:30:00,100.91999816894531
2017-11-30 20:30:00,100.70999908447266
2017-12-01 14:30:00,102.0999984741211
2017-12-01 15:30:00,100.12999725341797
2017-12-01 16:30:00,101.27999877929688
2017-12-01 17:30:00,101.63999938964844
2017-12-01 18:30:00,102.0
2017-12-01 19:30:00,102.12999725341797
2017-12-01 20:30:00,102.11000061035156
2017-12-04 14:30:00,103.66000366210938
2017-12-04 15:30:00,103.12999725341797
2017-12-04 16:30:00,103.51499938964844
