Datetime,FB
2017-11-06 14:30:00,179.14999389648438
2017-11-06 15:30:00,179.25999450683594
2017-11-06 16:30:00,179.5399932861328
2017-11-06 17:30:00,179.53500366210938
2017-11-06 18:30:00,179.9600067138672
2017-11-06 19:30:00,180.38009643554688
2017-11-06 20:30:00,180.1699981689453
2017-11-07 14:30:00,180.02330017089844
2017-11-07 15:30:00,179.11000061035156
2017-11-07 16:30:00,179.83900451660156
2017-11-07 17:30:00,180.1300048828125
2017-11-07 18:30:00,179.97999572753906
2017-11-07 19:30:00,179.99000549316406
2017-11-07 20:30:00,180.25999450683594
2017-11-08 14:30:00,179.77999877929688
2017-11-08 15:30:00,179.8800048828125
2017-11-08 16:30:00,179.84100341796875
2017-11-08 17:30:00,179.83999633789062
2017-11-08 18:30:00,179.79849243164062
2017-11-08 19:30:00,179.77000427246094
2017-11-08 20:30:00,179.5399932861328
2017-11-09 14:30:00,178.4199981689453
2017-11-09 15:30:00,178.48599243164062
2017-11-09 16:30:00,177.58999633789062
2017-11-09 17:30:00,177.77000427246094
2017-11-09 18:30:00,178.36000061035156
2017-11-09 19:30:00,178.76730346679688
2017-11-09 20:30:00,179.3000030517578
2017-11-10 14:30:00,178.5800018310547
2017-11-10 15:30:00,178.07000732421875
2017-11-10 16:30:00,178.60000610351562
2017-11-10 17:30:00,178.63999938964844
2017-11-10 18:30:00,178.6199951171875
2017-11-10 19:30:00,178.52000427246094
2017-11-10 20:30:00,178.4600067138672
2017-11-13 14:30:00,178.61000061035156
2017-11-13 15:30:00,178.7899932861328
2017-11-13 16:30:00,178.72000122070312
2017-11-13 17:30:00,178.75
2017-11-13 18:30:00,178.89999389648438
2017-11-13 19:30:00,178.6533966064453
2017-11-13 20:30:00,178.77999877929688
2017-11-14 14:30:00,178.02000427246094
2017-11-14 15:30:00,178.32000732421875
2017-11-14 16:30:00,178.5157928466797
2017-11-14 17:30:00,178.19000244140625
2017-11-14 18:30:00,178.33999633789062
2017-11-14 19:30:00,178.35000610351562
2017-11-14 20:30:00,178.05999755859375
2017-11-15 14:30:00,177.42999267578125
2017-11-15 15:30:00,178.38999938964844
2017-11-15 16:30:00,178.30999755859375
2017-11-15 17:30:00,178.25999450683594
2017-11-15 18:30:00,178.10000610351562
2017-11-15 19:30:00,178.10499572753906
2017-11-15 20:30:00,177.9550018310547
2017-11-16 14:30:00,179.0399932861328
2017-11-16 15:30:00,179.3695068359375
2017-11-16 16:30:00,179.6999969482422
2017-11-16 17:30:00,179.36000061035156
2017-11-16 18:30:00,179.60000610351562
2017-11-16 19:30:00,179.39999389648438
2017-11-16 20:30:00,179.5850067138672
2017-11-17 14:30:00,179.36000061035156
2017-11-17 15:30:00,179.8300018310547
2017-11-17 16:30:00,179.86000061035156
2017-11-17 17:30:00,179.64999389648438
2017-11-17 18:30:00,179.65499877929688
2017-11-17 19:30:00,179.1699981689453
2017-11-17 20:30:00,178.97000122070312
2017-11-20 14:30:00,179.10000610351562
2017-11-20 15:30:00,178.8249969482422
2017-11-20 16:30:00,178.8699951171875
2017-11-20 17:30:00,178.80999755859375
2017-11-20 18:30:00,178.7100067138672
2017-11-20 19:30:00,178.2100067138672
2017-11-20 20:30:00,178.7100067138672
2017-11-21 14:30:00,180.8249969482422
2017-11-21 15:30:00,181.3300018310547
2017-11-21 16:30:00,181.3699951171875
2017-11-21 17:30:00,181.5
2017-11-21 18:30:00,181.39999389648438
2017-11-21 19:30:00,181.3800048828125
2017-11-21 20:30:00,181.83999633789062
2017-11-22 14:30:00,181.03880310058594
2017-11-22 15:30:00,180.989501953125
2017-11-22 16:30:00,180.63999938964844
2017-11-22 17:30:00,180.56500244140625
2017-11-22 18:30:00,180.75
2017-11-22 19:30:00,180.75999450683594
2017-11-22 20:30:00,180.85000610351562
2017-11-24 14:30:00,182.14999389648438
2017-11-24 15:30:00,182.89100646972656
2017-11-24 16:30:00,183.08999633789062
2017-11-24 18:00:00,182.7581024169922
2017-11-27 14:30:00,183.3800048828125
2017-11-27 15:30:00,182.04249572753906
2017-11-27 16:30:00,182.7899932861328
2017-11-27 17:30:00,182.94000244140625
2017-11-27 18:30:00,182.7899932861328
2017-11-27 19:30:00,183.1800994873047
2017-11-27 20:30:00,183.02000427246094
2017-11-28 14:30:00,183.83999633789062
2017-11-28 15:30:00,183.60000610351562
2017-11-28 16:30:00,183.52000427246094
2017-11-28 17:30:00,183.25999450683594
2017-11-28 18:30:00,182.92999267578125
2017-11-28 19:30:00,182.3699951171875
2017-11-28 20:30:00,182.41000366210938
2017-11-29 14:30:00,175.27940368652344
2017-11-29 15:30:00,174.99000549316406
2017-11-29 16:30:00,175.1999969482422
2017-11-29 17:30:00,176.89999389648438
2017-11-29 18:30:00,175.05999755859375
2017-11-29 19:30:00,175.02999877929688
2017-11-29 20:30:00,175.1199951171875
2017-11-30 14:30:00,177.3000030517578
2017-11-30 15:30:00,176.75
2017-11-30 16:30:00,177.30999755859375
2017-11-30 17:30:00,176.39999389648438
2017-11-30 18:30:00,176.63150024414062
2017-11-30 19:30:00,176.2100067138672
2017-11-30 20:30:00,177.17999267578125
2017-12-01 14:30:00,177.24000549316406
2017-12-01 15:30:00,174.55999755859375
2017-12-01 16:30:00,174.85000610351562
2017-12-01 17:30:00,175.2097930908203
2017-12-01 18:30:00,175.7899932861328
2017-12-01 19:30:00,175.05999755859375
2017-12-01 20:30:00,174.99000549316406
2017-12-04 14:30:00,173.42999267578125
2017-12-04 15:30:00,171.75
2017-12-04 16:30:00,172.72000122070312
