Datetime,INCY
2017-11-06 14:30:00,104.29000091552734
2017-11-06 15:30:00,105.20999908447266
2017-11-06 16:30:00,104.6500015258789
2017-11-06 17:30:00,104.6500015258789
2017-11-06 18:30:00,106.16000366210938
2017-11-06 19:30:00,106.01000213623047
2017-11-06 20:30:00,105.43000030517578
2017-11-07 14:30:00,108.9000015258789
2017-11-07 15:30:00,109.5199966430664
2017-11-07 16:30:00,107.31999969482422
2017-11-07 17:30:00,107.55000305175781
2017-11-07 18:30:00,107.68000030517578
2017-11-07 19:30:00,108.0199966430664
2017-11-07 20:30:00,108.13999938964844
2017-11-08 14:30:00,107.59010314941406
2017-11-08 15:30:00,106.55999755859375
2017-11-08 16:30:00,105.55999755859375
2017-11-08 17:30:00,105.29000091552734
2017-11-08 18:30:00,105.22000122070312
2017-11-08 19:30:00,105.1500015258789
2017-11-08 20:30:00,104.98999786376953
2017-11-09 14:30:00,102.91999816894531
2017-11-09 15:30:00,102.30000305175781
2017-11-09 16:30:00,101.98999786376953
2017-11-09 17:30:00,102.66000366210938
2017-11-09 18:30:00,102.9000015258789
2017-11-09 19:30:00,102.6500015258789
2017-11-09 20:30:00,102.98999786376953
2017-11-10 14:30:00,101.69999694824219
2017-11-10 15:30:00,102.12000274658203
2017-11-10 16:30:00,102.91500091552734
2017-11-10 17:30:00,103.88500213623047
2017-11-10 18:30:00,102.9800033569336
2017-11-10 19:30:00,103.55000305175781
2017-11-10 20:30:00,104.79000091552734
2017-11-13 14:30:00,105.29850006103516
2017-11-13 15:30:00,106.87999725341797
2017-11-13 16:30:00,107.75
2017-11-13 17:30:00,106.9000015258789
2017-11-13 18:30:00,107.26000213623047
2017-11-13 19:30:00,107.33999633789062
2017-11-13 20:30:00,107.16999816894531
2017-11-14 14:30:00,106.19000244140625
2017-11-14 15:30:00,105.05599975585938
2017-11-14 16:30:00,104.31999969482422
2017-11-14 17:30:00,104.0199966430664
2017-11-14 18:30:00,104.25769805908203
2017-11-14 19:30:00,105.11000061035156
2017-11-14 20:30:00,105.12000274658203
2017-11-15 14:30:00,105.20500183105469
2017-11-15 15:30:00,105.48999786376953
2017-11-15 16:30:00,104.4749984741211
2017-11-15 17:30:00,104.40499877929688
2017-11-15 18:30:00,105.43000030517578
2017-11-15 19:30:00,105.19000244140625
2017-11-15 20:30:00,105.2699966430664
2017-11-16 14:30:00,106.55000305175781
2017-11-16 15:30:00,107.13999938964844
2017-11-16 16:30:00,106.7699966430664
2017-11-16 17:30:00,106.76850128173828
2017-11-16 18:30:00,106.41999816894531
2017-11-16 19:30:00,106.47000122070312
2017-11-16 20:30:00,106.4800033569336
2017-11-17 14:30:00,106.63999938964844
2017-11-17 15:30:00,106.5739974975586
2017-11-17 16:30:00,106.7699966430664
2017-11-17 17:30:00,106.4800033569336
2017-11-17 18:30:00,105.95999908447266
2017-11-17 19:30:00,105.58999633789062
2017-11-17 20:30:00,105.48999786376953
2017-11-20 14:30:00,101.54000091552734
2017-11-20 15:30:00,100.9844970703125
2017-11-20 16:30:00,100.73999786376953
2017-11-20 17:30:00,100.79000091552734
2017-11-20 18:30:00,100.52999877929688
2017-11-20 19:30:00,99.02999877929688
2017-11-20 20:30:00,98.94000244140625
2017-11-21 14:30:00,97.94999694824219
2017-11-21 15:30:00,98.66000366210938
2017-11-21 16:30:00,98.33000183105469
2017-11-21 17:30:00,98.5999984741211
2017-11-21 18:30:00,98.77999877929688
2017-11-21 19:30:00,98.62999725341797
2017-11-21 20:30:00,98.95999908447266
2017-11-22 14:30:00,99.05000305175781
2017-11-22 15:30:00,99.41000366210938
2017-11-22 16:30:00,99.48999786376953
2017-11-22 17:30:00,99.42990112304688
2017-11-22 18:30:00,99.0
2017-11-22 19:30:00,98.80699920654297
2017-11-22 20:30:00,98.98999786376953
2017-11-24 14:30:00,98.7300033569336
2017-11-24 15:30:00,98.98500061035156
2017-11-24 16:30:00,99.02999877929688
2017-11-24 18:00:00,98.78890228271484
2017-11-27 14:30:00,98.08000183105469
2017-11-27 15:30:00,97.8949966430664
2017-11-27 16:30:00,97.9800033569336
2017-11-27 17:30:00,97.94000244140625
2017-11-27 18:30:00,98.0
2017-11-27 19:30:00,98.12000274658203
2017-11-27 20:30:00,97.86000061035156
2017-11-28 14:30:00,95.72000122070312
2017-11-28 15:30:00,95.44999694824219
2017-11-28 16:30:00,95.45500183105469
2017-11-28 17:30:00,95.80549621582031
2017-11-28 18:30:00,95.9729995727539
2017-11-28 19:30:00,95.3499984741211
2017-11-28 20:30:00,95.83000183105469
2017-11-29 14:30:00,96.58999633789062
2017-11-29 15:30:00,96.6500015258789
2017-11-29 16:30:00,96.47000122070312
2017-11-29 17:30:00,96.80999755859375
2017-11-29 18:30:00,96.09380340576172
2017-11-29 19:30:00,95.80000305175781
2017-11-29 20:30:00,95.95099639892578
2017-11-30 14:30:00,98.78520202636719
2017-11-30 15:30:00,98.87999725341797
2017-11-30 16:30:00,98.58000183105469
2017-11-30 17:30:00,98.18000030517578
2017-11-30 18:30:00,98.9800033569336
2017-11-30 19:30:00,98.68000030517578
2017-11-30 20:30:00,98.98999786376953
2017-12-01 14:30:00,99.04499816894531
2017-12-01 15:30:00,96.31999969482422
2017-12-01 16:30:00,97.08000183105469
2017-12-01 17:30:00,97.79000091552734
2017-12-01 18:30:00,98.2750015258789
2017-12-01 19:30:00,98.16000366210938
2017-12-01 20:30:00,97.94000244140625
2017-12-04 14:30:00,97.75
2017-12-04 15:30:00,96.29000091552734
2017-12-04 16:30:00,96.05470275878906
