Datetime,ISRG
2017-11-06 14:30:00,385.1000061035156
2017-11-06 15:30:00,383.3999938964844
2017-11-06 16:30:00,385.4049987792969
2017-11-06 17:30:00,385.2200012207031
2017-11-06 18:30:00,384.9800109863281
2017-11-06 19:30:00,385.4100036621094
2017-11-06 20:30:00,384.760009765625
2017-11-07 14:30:00,387.3934020996094
2017-11-07 15:30:00,387.95001220703125
2017-11-07 16:30:00,389.239990234375
2017-11-07 17:30:00,388.8200988769531
2017-11-07 18:30:00,391.0
2017-11-07 19:30:00,390.9700012207031
2017-11-07 20:30:00,391.04998779296875
2017-11-08 14:30:00,390.4100036621094
2017-11-08 15:30:00,390.4700012207031
2017-11-08 16:30:00,391.20001220703125
2017-11-08 17:30:00,392.4949951171875
2017-11-08 18:30:00,391.8500061035156
2017-11-08 19:30:00,392.8800048828125
2017-11-08 20:30:00,392.29998779296875
2017-11-09 14:30:00,391.42999267578125
2017-11-09 15:30:00,390.3500061035156
2017-11-09 16:30:00,390.19000244140625
2017-11-09 17:30:00,389.4599914550781
2017-11-09 18:30:00,390.1199951171875
2017-11-09 19:30:00,390.20001220703125
2017-11-09 20:30:00,389.75
2017-11-10 14:30:00,387.7250061035156
2017-11-10 15:30:00,387.3599853515625
2017-11-10 16:30:00,387.7799987792969
2017-11-10 17:30:00,387.8500061035156
2017-11-10 18:30:00,388.7764892578125
2017-11-10 19:30:00,389.1600036621094
2017-11-10 20:30:00,388.8999938964844
2017-11-13 14:30:00,387.1199951171875
2017-11-13 15:30:00,388.9005126953125
2017-11-13 16:30:00,389.70001220703125
2017-11-13 17:30:00,389.1099853515625
2017-11-13 18:30:00,390.0899963378906
2017-11-13 19:30:00,392.2799987792969
2017-11-13 20:30:00,392.25
2017-11-14 14:30:00,391.1650085449219
2017-11-14 15:30:00,392.5400085449219
2017-11-14 16:30:00,392.3900146484375
2017-11-14 17:30:00,392.125
2017-11-14 18:30:00,391.82501220703125
2017-11-14 19:30:00,391.1700134277344
2017-11-14 20:30:00,390.9700012207031
2017-11-15 14:30:00,389.20001220703125
2017-11-15 15:30:00,390.07000732421875
2017-11-15 16:30:00,390.17999267578125
2017-11-15 17:30:00,390.4700012207031
2017-11-15 18:30:00,390.6700134277344
2017-11-15 19:30:00,390.0799865722656
2017-11-15 20:30:00,389.739990234375
2017-11-16 14:30:00,391.9599914550781
2017-11-16 15:30:00,392.07000732421875
2017-11-16 16:30:00,394.3299865722656
2017-11-16 17:30:00,393.4200134277344
2017-11-16 18:30:00,394.2052917480469
2017-11-16 19:30:00,394.70001220703125
2017-11-16 20:30:00,393.760009765625
2017-11-17 14:30:00,391.5299987792969
2017-11-17 15:30:00,392.07000732421875
2017-11-17 16:30:00,391.2149963378906
2017-11-17 17:30:00,391.79998779296875
2017-11-17 18:30:00,392.69000244140625
2017-11-17 19:30:00,392.6099853515625
2017-11-17 20:30:00,392.4200134277344
2017-11-20 14:30:00,393.3399963378906
2017-11-20 15:30:00,392.2200012207031
2017-11-20 16:30:00,390.9700012207031
2017-11-20 17:30:00,392.07000732421875
2017-11-20 18:30:00,391.6449890136719
2017-11-20 19:30:00,392.1300048828125
2017-11-20 20:30:00,393.0899963378906
2017-11-21 14:30:00,396.6300048828125
2017-11-21 15:30:00,395.20001220703125
2017-11-21 16:30:00,396.6400146484375
2017-11-21 17:30:00,397.4064025878906
2017-11-21 18:30:00,397.67999267578125
2017-11-21 19:30:00,398.42999267578125
2017-11-21 20:30:00,398.30999755859375
2017-11-22 14:30:00,396.4800109863281
2017-11-22 15:30:00,396.239990234375
2017-11-22 16:30:00,396.0199890136719
2017-11-22 17:30:00,395.20001220703125
2017-11-22 18:30:00,395.8800048828125
2017-11-22 19:30:00,396.0799865722656
2017-11-22 20:30:00,396.55999755859375
2017-11-24 14:30:00,397.1080017089844
2017-11-24 15:30:00,397.7300109863281
2017-11-24 16:30:00,397.79998779296875
2017-11-24 18:00:00,397.7598876953125
2017-11-27 14:30:00,401.42999267578125
2017-11-27 15:30:00,401.70001220703125
2017-11-27 16:30:00,403.5
2017-11-27 17:30:00,404.0
2017-11-27 18:30:00,404.9200134277344
2017-11-27 19:30:00,403.9700012207031
2017-11-27 20:30:00,403.7699890136719
2017-11-28 14:30:00,402.1000061035156
2017-11-28 15:30:00,403.5299987792969
2017-11-28 16:30:00,403.5199890136719
2017-11-28 17:30:00,403.0140075683594
2017-11-28 18:30:00,402.6300048828125
2017-11-28 19:30:00,403.1300048828125
2017-11-28 20:30:00,402.17999267578125
2017-11-29 14:30:00,400.2099914550781
2017-11-29 15:30:00,394.32769775390625
2017-11-29 16:30:00,394.6300048828125
2017-11-29 17:30:00,393.8299865722656
2017-11-29 18:30:00,395.57000732421875
2017-11-29 19:30:00,394.8900146484375
2017-11-29 20:30:00,394.2900085449219
2017-11-30 14:30:00,396.6940002441406
2017-11-30 15:30:00,396.989990234375
2017-11-30 16:30:00,397.7275085449219
2017-11-30 17:30:00,397.80999755859375
2017-11-30 18:30:00,397.9643859863281
2017-11-30 19:30:00,397.7099914550781
2017-11-30 20:30:00,398.8399963378906
2017-12-01 14:30:00,400.8900146484375
2017-12-01 15:30:00,395.3500061035156
2017-12-01 16:30:00,392.2200012207031
2017-12-01 17:30:00,392.1099853515625
2017-12-01 18:30:00,394.489990234375
2017-12-01 19:30:00,395.42059326171875
2017-12-01 20:30:00,396.8699951171875
2017-12-04 14:30:00,394.4870910644531
2017-12-04 15:30:00,391.05999755859375
2017-12-04 16:30:00,389.2099914550781
2017-12-04 17:30:00,388.2947998046875
