Datetime,MAT
2017-11-06 14:30:00,13.619999885559082
2017-11-06 15:30:00,13.260000228881836
2017-11-06 16:30:00,13.140000343322754
2017-11-06 17:30:00,13.100000381469727
2017-11-06 18:30:00,13.104999542236328
2017-11-06 19:30:00,13.100000381469727
2017-11-06 20:30:00,13.079999923706055
2017-11-07 14:30:00,13.170000076293945
2017-11-07 15:30:00,13.109999656677246
2017-11-07 16:30:00,13.109999656677246
2017-11-07 17:30:00,13.114999771118164
2017-11-07 18:30:00,13.140000343322754
2017-11-07 19:30:00,13.130000114440918
2017-11-07 20:30:00,13.069999694824219
2017-11-08 14:30:00,12.984999656677246
2017-11-08 15:30:00,13.010100364685059
2017-11-08 16:30:00,13.140000343322754
2017-11-08 17:30:00,13.154999732971191
2017-11-08 18:30:00,13.364999771118164
2017-11-08 19:30:00,13.265000343322754
2017-11-08 20:30:00,13.305000305175781
2017-11-09 14:30:00,13.720000267028809
2017-11-09 15:30:00,14.0
2017-11-09 16:30:00,13.925000190734863
2017-11-09 17:30:00,14.289999961853027
2017-11-09 18:30:00,14.069999694824219
2017-11-09 19:30:00,14.023200035095215
2017-11-09 20:30:00,13.9350004196167
2017-11-10 14:30:00,14.1899995803833
2017-11-10 15:30:00,14.260000228881836
2017-11-10 16:30:00,14.305000305175781
2017-11-10 17:30:00,14.225000381469727
2017-11-10 18:30:00,14.524999618530273
2017-11-10 19:30:00,14.550000190734863
2017-11-10 20:30:00,14.630000114440918
2017-11-13 14:30:00,17.389999389648438
2017-11-13 15:30:00,17.649999618530273
2017-11-13 16:30:00,17.790000915527344
2017-11-13 17:30:00,17.6200008392334
2017-11-13 18:30:00,17.610000610351562
2017-11-13 19:30:00,17.635000228881836
2017-11-13 20:30:00,17.65999984741211
2017-11-14 14:30:00,18.549999237060547
2017-11-14 15:30:00,18.469999313354492
2017-11-14 16:30:00,18.65999984741211
2017-11-14 17:30:00,18.510000228881836
2017-11-14 18:30:00,18.520000457763672
2017-11-14 19:30:00,18.735000610351562
2017-11-14 20:30:00,18.540000915527344
2017-11-15 14:30:00,17.859800338745117
2017-11-15 15:30:00,18.329999923706055
2017-11-15 16:30:00,18.59000015258789
2017-11-15 17:30:00,18.639999389648438
2017-11-15 18:30:00,18.416000366210938
2017-11-15 19:30:00,18.479999542236328
2017-11-15 20:30:00,18.325000762939453
2017-11-16 14:30:00,18.229999542236328
2017-11-16 15:30:00,18.40999984741211
2017-11-16 16:30:00,18.299999237060547
2017-11-16 17:30:00,18.145000457763672
2017-11-16 18:30:00,18.31999969482422
2017-11-16 19:30:00,18.315000534057617
2017-11-16 20:30:00,18.209999084472656
2017-11-17 14:30:00,18.459999084472656
2017-11-17 15:30:00,18.639999389648438
2017-11-17 16:30:00,18.6299991607666
2017-11-17 17:30:00,18.469999313354492
2017-11-17 18:30:00,18.520000457763672
2017-11-17 19:30:00,18.499900817871094
2017-11-17 20:30:00,18.690000534057617
2017-11-20 14:30:00,19.125
2017-11-20 15:30:00,18.725000381469727
2017-11-20 16:30:00,18.440000534057617
2017-11-20 17:30:00,18.565000534057617
2017-11-20 18:30:00,18.700000762939453
2017-11-20 19:30:00,18.674999237060547
2017-11-20 20:30:00,18.719999313354492
2017-11-21 14:30:00,18.280000686645508
2017-11-21 15:30:00,18.3799991607666
2017-11-21 16:30:00,18.40999984741211
2017-11-21 17:30:00,18.540000915527344
2017-11-21 18:30:00,18.579999923706055
2017-11-21 19:30:00,18.53499984741211
2017-11-21 20:30:00,18.53499984741211
2017-11-22 14:30:00,18.81999969482422
2017-11-22 15:30:00,18.729999542236328
2017-11-22 16:30:00,18.950000762939453
2017-11-22 17:30:00,18.8799991607666
2017-11-22 18:30:00,18.94499969482422
2017-11-22 19:30:00,18.979999542236328
2017-11-22 20:30:00,18.815000534057617
2017-11-24 14:30:00,18.5
2017-11-24 15:30:00,18.479999542236328
2017-11-24 16:30:00,18.489999771118164
2017-11-24 18:00:00,18.504600524902344
2017-11-27 14:30:00,18.290000915527344
2017-11-27 15:30:00,18.3700008392334
2017-11-27 16:30:00,18.315000534057617
2017-11-27 17:30:00,18.405000686645508
2017-11-27 18:30:00,18.280000686645508
2017-11-27 19:30:00,18.2549991607666
2017-11-27 20:30:00,18.225000381469727
2017-11-28 14:30:00,18.094999313354492
2017-11-28 15:30:00,18.114999771118164
2017-11-28 16:30:00,18.09000015258789
2017-11-28 17:30:00,18.020000457763672
2017-11-28 18:30:00,18.145000457763672
2017-11-28 19:30:00,18.2450008392334
2017-11-28 20:30:00,18.239999771118164
2017-11-29 14:30:00,18.26689910888672
2017-11-29 15:30:00,18.229999542236328
2017-11-29 16:30:00,18.25
2017-11-29 17:30:00,18.25
2017-11-29 18:30:00,18.084999084472656
2017-11-29 19:30:00,18.19499969482422
2017-11-29 20:30:00,18.229999542236328
2017-11-30 14:30:00,18.200000762939453
2017-11-30 15:30:00,18.299999237060547
2017-11-30 16:30:00,18.280000686645508
2017-11-30 17:30:00,18.165000915527344
2017-11-30 18:30:00,18.2450008392334
2017-11-30 19:30:00,18.2450008392334
2017-11-30 20:30:00,18.25
2017-12-01 14:30:00,18.05500030517578
2017-12-01 15:30:00,17.940000534057617
2017-12-01 16:30:00,18.0132999420166
2017-12-01 17:30:00,17.9950008392334
2017-12-01 18:30:00,17.735000610351562
2017-12-01 19:30:00,17.46500015258789
2017-12-01 20:30:00,17.25
2017-12-04 14:30:00,17.0
2017-12-04 15:30:00,17.020000457763672
2017-12-04 16:30:00,16.940000534057617
2017-12-04 17:30:00,16.93000030517578
