Datetime,BIDU
2017-11-06 14:30:00,242.42999267578125
2017-11-06 15:30:00,244.41439819335938
2017-11-06 16:30:00,246.2779998779297
2017-11-06 17:30:00,245.7100067138672
2017-11-06 18:30:00,244.5399932861328
2017-11-06 19:30:00,244.83999633789062
2017-11-06 20:30:00,244.60000610351562
2017-11-07 14:30:00,244.64999389648438
2017-11-07 15:30:00,243.0050048828125
2017-11-07 16:30:00,243.11000061035156
2017-11-07 17:30:00,243.1999969482422
2017-11-07 18:30:00,242.94000244140625
2017-11-07 19:30:00,242.7100067138672
2017-11-07 20:30:00,243.42999267578125
2017-11-08 14:30:00,240.23109436035156
2017-11-08 15:30:00,240.25
2017-11-08 16:30:00,240.89999389648438
2017-11-08 17:30:00,240.57000732421875
2017-11-08 18:30:00,241.35000610351562
2017-11-08 19:30:00,240.80999755859375
2017-11-08 20:30:00,241.1300048828125
2017-11-09 14:30:00,238.1649932861328
2017-11-09 15:30:00,238.47000122070312
2017-11-09 16:30:00,237.9600067138672
2017-11-09 17:30:00,237.9499969482422
2017-11-09 18:30:00,238.1699981689453
2017-11-09 19:30:00,239.4499969482422
2017-11-09 20:30:00,240.0500030517578
2017-11-10 14:30:00,237.30999755859375
2017-11-10 15:30:00,236.9333038330078
2017-11-10 16:30:00,237.13999938964844
2017-11-10 17:30:00,237.28640747070312
2017-11-10 18:30:00,237.40499877929688
2017-11-10 19:30:00,237.7100067138672
2017-11-10 20:30:00,237.32000732421875
2017-11-13 14:30:00,237.23500061035156
2017-11-13 15:30:00,237.14999389648438
2017-11-13 16:30:00,237.9199981689453
2017-11-13 17:30:00,236.89999389648438
2017-11-13 18:30:00,237.3000030517578
2017-11-13 19:30:00,238.08999633789062
2017-11-13 20:30:00,237.4499969482422
2017-11-14 14:30:00,234.25
2017-11-14 15:30:00,234.86000061035156
2017-11-14 16:30:00,234.3800048828125
2017-11-14 17:30:00,233.5800018310547
2017-11-14 18:30:00,234.58999633789062
2017-11-14 19:30:00,235.17999267578125
2017-11-14 20:30:00,234.9199981689453
2017-11-15 14:30:00,233.1649932861328
2017-11-15 15:30:00,233.55999755859375
2017-11-15 16:30:00,233.3800048828125
2017-11-15 17:30:00,233.91000366210938
2017-11-15 18:30:00,234.13999938964844
2017-11-15 19:30:00,234.13999938964844
2017-11-15 20:30:00,234.3000030517578
2017-11-16 14:30:00,236.11880493164062
2017-11-16 15:30:00,236.13999938964844
2017-11-16 16:30:00,236.91000366210938
2017-11-16 17:30:00,237.36000061035156
2017-11-16 18:30:00,239.4550018310547
2017-11-16 19:30:00,240.38999938964844
2017-11-16 20:30:00,239.22000122070312
2017-11-17 14:30:00,241.1199951171875
2017-11-17 15:30:00,241.1407012939453
2017-11-17 16:30:00,241.51370239257812
2017-11-17 17:30:00,241.52000427246094
2017-11-17 18:30:00,239.4499969482422
2017-11-17 19:30:00,239.5
2017-11-17 20:30:00,239.2899932861328
2017-11-20 14:30:00,240.07000732421875
2017-11-20 15:30:00,239.77000427246094
2017-11-20 16:30:00,238.41000366210938
2017-11-20 17:30:00,238.5
2017-11-20 18:30:00,238.6300048828125
2017-11-20 19:30:00,238.83999633789062
2017-11-20 20:30:00,238.57000732421875
2017-11-21 14:30:00,244.8699951171875
2017-11-21 15:30:00,246.0
2017-11-21 16:30:00,246.19000244140625
2017-11-21 17:30:00,245.6199951171875
2017-11-21 18:30:00,245.24000549316406
2017-11-21 19:30:00,244.74000549316406
2017-11-21 20:30:00,244.2899932861328
2017-11-22 14:30:00,250.74000549316406
2017-11-22 15:30:00,251.13999938964844
2017-11-22 16:30:00,250.97999572753906
2017-11-22 17:30:00,251.5
2017-11-22 18:30:00,250.16000366210938
2017-11-22 19:30:00,249.82000732421875
2017-11-22 20:30:00,249.66000366210938
2017-11-24 14:30:00,248.0
2017-11-24 15:30:00,249.3300018310547
2017-11-24 16:30:00,248.94000244140625
2017-11-24 18:00:00,249.0
2017-11-27 14:30:00,247.07000732421875
2017-11-27 15:30:00,247.52999877929688
2017-11-27 16:30:00,248.14999389648438
2017-11-27 17:30:00,248.0500030517578
2017-11-27 18:30:00,247.8699951171875
2017-11-27 19:30:00,247.1300048828125
2017-11-27 20:30:00,247.00999450683594
2017-11-28 14:30:00,244.4499969482422
2017-11-28 15:30:00,243.5570068359375
2017-11-28 16:30:00,243.9600067138672
2017-11-28 17:30:00,243.1999969482422
2017-11-28 18:30:00,242.75999450683594
2017-11-28 19:30:00,242.8000030517578
2017-11-28 20:30:00,243.99000549316406
2017-11-29 14:30:00,237.91000366210938
2017-11-29 15:30:00,234.61000061035156
2017-11-29 16:30:00,235.3699951171875
2017-11-29 17:30:00,234.72999572753906
2017-11-29 18:30:00,235.5500030517578
2017-11-29 19:30:00,234.75
2017-11-29 20:30:00,235.44000244140625
2017-11-30 14:30:00,237.11000061035156
2017-11-30 15:30:00,238.05999755859375
2017-11-30 16:30:00,238.1699981689453
2017-11-30 17:30:00,238.32000732421875
2017-11-30 18:30:00,238.69000244140625
2017-11-30 19:30:00,238.30499267578125
2017-11-30 20:30:00,238.55999755859375
2017-12-01 14:30:00,238.13999938964844
2017-12-01 15:30:00,235.67999267578125
2017-12-01 16:30:00,235.97999572753906
2017-12-01 17:30:00,236.57000732421875
2017-12-01 18:30:00,236.4499969482422
2017-12-01 19:30:00,235.02000427246094
2017-12-01 20:30:00,234.97000122070312
2017-12-04 14:30:00,232.2200927734375
2017-12-04 15:30:00,230.19000244140625
2017-12-04 16:30:00,231.0800018310547
2017-12-04 17:30:00,233.22999572753906
