Datetime,SWKS
2017-11-06 14:30:00,116.23500061035156
2017-11-06 15:30:00,115.4000015258789
2017-11-06 16:30:00,115.94000244140625
2017-11-06 17:30:00,115.98999786376953
2017-11-06 18:30:00,116.97000122070312
2017-11-06 19:30:00,116.52999877929688
2017-11-06 20:30:00,116.65149688720703
2017-11-07 14:30:00,109.2699966430664
2017-11-07 15:30:00,108.8750991821289
2017-11-07 16:30:00,108.22000122070312
2017-11-07 17:30:00,108.94000244140625
2017-11-07 18:30:00,109.7699966430664
2017-11-07 19:30:00,110.78600311279297
2017-11-07 20:30:00,111.20999908447266
2017-11-08 14:30:00,112.4000015258789
2017-11-08 15:30:00,111.99500274658203
2017-11-08 16:30:00,112.01000213623047
2017-11-08 17:30:00,112.40499877929688
2017-11-08 18:30:00,112.4800033569336
2017-11-08 19:30:00,113.01000213623047
2017-11-08 20:30:00,113.16000366210938
2017-11-09 14:30:00,111.7300033569336
2017-11-09 15:30:00,111.47000122070312
2017-11-09 16:30:00,110.30000305175781
2017-11-09 17:30:00,110.50499725341797
2017-11-09 18:30:00,111.08000183105469
2017-11-09 19:30:00,110.91999816894531
2017-11-09 20:30:00,111.13999938964844
2017-11-10 14:30:00,110.6676025390625
2017-11-10 15:30:00,110.0999984741211
2017-11-10 16:30:00,110.20999908447266
2017-11-10 17:30:00,110.33999633789062
2017-11-10 18:30:00,110.19000244140625
2017-11-10 19:30:00,110.44999694824219
2017-11-10 20:30:00,110.41000366210938
2017-11-13 14:30:00,110.4800033569336
2017-11-13 15:30:00,110.7300033569336
2017-11-13 16:30:00,110.7300033569336
2017-11-13 17:30:00,110.25
2017-11-13 18:30:00,110.4000015258789
2017-11-13 19:30:00,110.11000061035156
2017-11-13 20:30:00,110.33000183105469
2017-11-14 14:30:00,110.68000030517578
2017-11-14 15:30:00,111.02999877929688
2017-11-14 16:30:00,111.25
2017-11-14 17:30:00,110.69499969482422
2017-11-14 18:30:00,110.62000274658203
2017-11-14 19:30:00,110.72000122070312
2017-11-14 20:30:00,111.22000122070312
2017-11-15 14:30:00,108.54000091552734
2017-11-15 15:30:00,109.23999786376953
2017-11-15 16:30:00,108.88249969482422
2017-11-15 17:30:00,108.65499877929688
2017-11-15 18:30:00,109.08999633789062
2017-11-15 19:30:00,108.94000244140625
2017-11-15 20:30:00,108.9000015258789
2017-11-16 14:30:00,110.0000991821289
2017-11-16 15:30:00,110.02999877929688
2017-11-16 16:30:00,109.69000244140625
2017-11-16 17:30:00,109.93000030517578
2017-11-16 18:30:00,110.20999908447266
2017-11-16 19:30:00,109.93000030517578
2017-11-16 20:30:00,110.06999969482422
2017-11-17 14:30:00,109.68000030517578
2017-11-17 15:30:00,110.0199966430664
2017-11-17 16:30:00,110.48999786376953
2017-11-17 17:30:00,110.25
2017-11-17 18:30:00,110.23999786376953
2017-11-17 19:30:00,110.02999877929688
2017-11-17 20:30:00,109.98999786376953
2017-11-20 14:30:00,109.91000366210938
2017-11-20 15:30:00,110.01000213623047
2017-11-20 16:30:00,109.80500030517578
2017-11-20 17:30:00,110.05000305175781
2017-11-20 18:30:00,109.61380004882812
2017-11-20 19:30:00,109.80000305175781
2017-11-20 20:30:00,109.79000091552734
2017-11-21 14:30:00,110.37000274658203
2017-11-21 15:30:00,110.31999969482422
2017-11-21 16:30:00,110.16000366210938
2017-11-21 17:30:00,110.16000366210938
2017-11-21 18:30:00,110.0
2017-11-21 19:30:00,109.87000274658203
2017-11-21 20:30:00,110.26000213623047
2017-11-22 14:30:00,109.18000030517578
2017-11-22 15:30:00,109.20999908447266
2017-11-22 16:30:00,108.97000122070312
2017-11-22 17:30:00,108.69999694824219
2017-11-22 18:30:00,108.66000366210938
2017-11-22 19:30:00,108.77999877929688
2017-11-22 20:30:00,108.55999755859375
2017-11-24 14:30:00,108.73639678955078
2017-11-24 15:30:00,109.1250991821289
2017-11-24 16:30:00,109.66999816894531
2017-11-24 18:00:00,109.5
2017-11-27 14:30:00,108.76000213623047
2017-11-27 15:30:00,107.52999877929688
2017-11-27 16:30:00,107.83999633789062
2017-11-27 17:30:00,107.5199966430664
2017-11-27 18:30:00,107.58000183105469
2017-11-27 19:30:00,107.37999725341797
2017-11-27 20:30:00,107.22000122070312
2017-11-28 14:30:00,106.42250061035156
2017-11-28 15:30:00,106.5
2017-11-28 16:30:00,107.29000091552734
2017-11-28 17:30:00,107.58000183105469
2017-11-28 18:30:00,107.29000091552734
2017-11-28 19:30:00,107.5999984741211
2017-11-28 20:30:00,107.55000305175781
2017-11-29 14:30:00,104.5374984741211
2017-11-29 15:30:00,104.61250305175781
2017-11-29 16:30:00,104.91999816894531
2017-11-29 17:30:00,105.26000213623047
2017-11-29 18:30:00,105.01000213623047
2017-11-29 19:30:00,105.11000061035156
2017-11-29 20:30:00,105.33999633789062
2017-11-30 14:30:00,105.44999694824219
2017-11-30 15:30:00,105.62999725341797
2017-11-30 16:30:00,106.19000244140625
2017-11-30 17:30:00,105.23999786376953
2017-11-30 18:30:00,105.19000244140625
2017-11-30 19:30:00,105.0199966430664
2017-11-30 20:30:00,104.7300033569336
2017-12-01 14:30:00,103.02999877929688
2017-12-01 15:30:00,100.75
2017-12-01 16:30:00,101.13500213623047
2017-12-01 17:30:00,101.58999633789062
2017-12-01 18:30:00,101.94000244140625
2017-12-01 19:30:00,101.91999816894531
2017-12-01 20:30:00,102.2300033569336
2017-12-04 14:30:00,100.2300033569336
2017-12-04 15:30:00,99.41000366210938
2017-12-04 16:30:00,99.55059814453125
2017-12-04 17:30:00,99.52999877929688
