Datetime,CMCSA
2017-12-04 18:30:00,40.3849983215332
2017-12-04 19:30:00,40.584999084472656
2017-12-04 20:30:00,40.31999969482422
2017-12-05 14:30:00,39.755001068115234
2017-12-05 15:30:00,39.915000915527344
2017-12-05 16:30:00,39.88999938964844
2017-12-05 17:30:00,39.880001068115234
2017-12-05 18:30:00,39.7599983215332
2017-12-05 19:30:00,39.67499923706055
2017-12-05 20:30:00,39.5099983215332
2017-12-06 14:30:00,38.97999954223633
2017-12-06 15:30:00,38.93000030517578
2017-12-06 16:30:00,38.7599983215332
2017-12-06 17:30:00,38.779998779296875
2017-12-06 18:30:00,38.619998931884766
2017-12-06 19:30:00,38.685001373291016
2017-12-06 20:30:00,38.63999938964844
2017-12-07 14:30:00,38.064998626708984
2017-12-07 15:30:00,38.150001525878906
2017-12-07 16:30:00,38.029998779296875
2017-12-07 17:30:00,37.939998626708984
2017-12-07 18:30:00,37.970001220703125
2017-12-07 19:30:00,37.9900016784668
2017-12-07 20:30:00,37.869998931884766
2017-12-08 14:30:00,38.15999984741211
2017-12-08 15:30:00,38.11000061035156
2017-12-08 16:30:00,38.06999969482422
2017-12-08 17:30:00,38.099998474121094
2017-12-08 18:30:00,38.07500076293945
2017-12-08 19:30:00,38.04999923706055
2017-12-08 20:30:00,37.939998626708984
2017-12-11 14:30:00,38.30500030517578
2017-12-11 15:30:00,38.279998779296875
2017-12-11 16:30:00,38.22999954223633
2017-12-11 17:30:00,38.38999938964844
2017-12-11 18:30:00,38.290000915527344
2017-12-11 19:30:00,38.35499954223633
2017-12-11 20:30:00,38.43000030517578
2017-12-12 14:30:00,39.38999938964844
2017-12-12 15:30:00,39.220001220703125
2017-12-12 16:30:00,39.104400634765625
2017-12-12 17:30:00,39.11000061035156
2017-12-12 18:30:00,39.23500061035156
2017-12-12 19:30:00,39.459999084472656
2017-12-12 20:30:00,39.52000045776367
2017-12-13 14:30:00,38.63999938964844
2017-12-13 15:30:00,38.72999954223633
2017-12-13 16:30:00,38.994998931884766
2017-12-13 17:30:00,38.9900016784668
2017-12-13 18:30:00,38.845001220703125
2017-12-13 19:30:00,38.744998931884766
2017-12-13 20:30:00,38.58000183105469
2017-12-14 14:30:00,38.744998931884766
2017-12-14 15:30:00,38.5
2017-12-14 16:30:00,38.81999969482422
2017-12-14 17:30:00,39.08000183105469
2017-12-14 18:30:00,39.22999954223633
