Datetime,NXPI
2017-11-06 14:30:00,116.3499984741211
2017-11-06 15:30:00,116.52780151367188
2017-11-06 16:30:00,116.5
2017-11-06 17:30:00,116.44000244140625
2017-11-06 18:30:00,116.5999984741211
2017-11-06 19:30:00,116.66000366210938
2017-11-06 20:30:00,116.6500015258789
2017-11-07 14:30:00,116.79000091552734
2017-11-07 15:30:00,116.18000030517578
2017-11-07 16:30:00,116.38999938964844
2017-11-07 17:30:00,116.3499984741211
2017-11-07 18:30:00,116.69999694824219
2017-11-07 19:30:00,116.7300033569336
2017-11-07 20:30:00,116.66000366210938
2017-11-08 14:30:00,117.11499786376953
2017-11-08 15:30:00,116.87000274658203
2017-11-08 16:30:00,116.625
2017-11-08 17:30:00,116.3499984741211
2017-11-08 18:30:00,116.5199966430664
2017-11-08 19:30:00,116.58999633789062
2017-11-08 20:30:00,116.31999969482422
2017-11-09 14:30:00,115.75
2017-11-09 15:30:00,115.75499725341797
2017-11-09 16:30:00,115.51000213623047
2017-11-09 17:30:00,115.48999786376953
2017-11-09 18:30:00,115.4000015258789
2017-11-09 19:30:00,115.16500091552734
2017-11-09 20:30:00,115.36000061035156
2017-11-10 14:30:00,115.81999969482422
2017-11-10 15:30:00,115.77999877929688
2017-11-10 16:30:00,115.98999786376953
2017-11-10 17:30:00,116.06999969482422
2017-11-10 18:30:00,116.16000366210938
2017-11-10 19:30:00,116.11000061035156
2017-11-10 20:30:00,116.0199966430664
2017-11-13 14:30:00,115.75
2017-11-13 15:30:00,115.9000015258789
2017-11-13 16:30:00,116.0
2017-11-13 17:30:00,115.94999694824219
2017-11-13 18:30:00,115.8499984741211
2017-11-13 19:30:00,115.73500061035156
2017-11-13 20:30:00,115.66000366210938
2017-11-14 14:30:00,115.5199966430664
2017-11-14 15:30:00,115.37999725341797
2017-11-14 16:30:00,115.34500122070312
2017-11-14 17:30:00,115.2300033569336
2017-11-14 18:30:00,115.16000366210938
2017-11-14 19:30:00,115.19000244140625
2017-11-14 20:30:00,115.4800033569336
2017-11-15 14:30:00,115.34529876708984
2017-11-15 15:30:00,115.2249984741211
2017-11-15 16:30:00,115.0199966430664
2017-11-15 17:30:00,115.0999984741211
2017-11-15 18:30:00,114.98999786376953
2017-11-15 19:30:00,114.96009826660156
2017-11-15 20:30:00,115.0
2017-11-16 14:30:00,115.62999725341797
2017-11-16 15:30:00,115.20999908447266
2017-11-16 16:30:00,115.16999816894531
2017-11-16 17:30:00,115.48999786376953
2017-11-16 18:30:00,115.5199966430664
2017-11-16 19:30:00,115.4000015258789
2017-11-16 20:30:00,115.19999694824219
2017-11-17 14:30:00,115.41000366210938
2017-11-17 15:30:00,115.4000015258789
2017-11-17 16:30:00,115.66000366210938
2017-11-17 17:30:00,115.55000305175781
2017-11-17 18:30:00,115.5999984741211
2017-11-17 19:30:00,115.30000305175781
2017-11-17 20:30:00,115.49970245361328
2017-11-20 14:30:00,115.5
2017-11-20 15:30:00,115.51000213623047
2017-11-20 16:30:00,115.43000030517578
2017-11-20 17:30:00,115.3550033569336
2017-11-20 18:30:00,115.31199645996094
2017-11-20 19:30:00,115.20500183105469
2017-11-20 20:30:00,115.19999694824219
2017-11-21 14:30:00,115.2249984741211
2017-11-21 15:30:00,115.44000244140625
2017-11-21 16:30:00,115.20999908447266
2017-11-21 17:30:00,115.27999877929688
2017-11-21 18:30:00,115.2300033569336
2017-11-21 19:30:00,115.26000213623047
2017-11-21 20:30:00,115.30999755859375
2017-11-22 14:30:00,115.6500015258789
2017-11-22 15:30:00,115.69499969482422
2017-11-22 16:30:00,115.66000366210938
2017-11-22 17:30:00,115.62000274658203
2017-11-22 18:30:00,115.61499786376953
2017-11-22 19:30:00,115.25
2017-11-22 20:30:00,115.19000244140625
2017-11-24 14:30:00,114.7698974609375
2017-11-24 15:30:00,114.77999877929688
2017-11-24 16:30:00,114.62999725341797
2017-11-24 18:00:00,114.6500015258789
2017-11-27 14:30:00,114.5
2017-11-27 15:30:00,115.05999755859375
2017-11-27 16:30:00,114.74500274658203
2017-11-27 17:30:00,114.86000061035156
2017-11-27 18:30:00,114.87999725341797
2017-11-27 19:30:00,114.66999816894531
2017-11-27 20:30:00,114.55000305175781
2017-11-28 14:30:00,114.55999755859375
2017-11-28 15:30:00,114.53500366210938
2017-11-28 16:30:00,114.53500366210938
2017-11-28 17:30:00,114.5
2017-11-28 18:30:00,114.34500122070312
2017-11-28 19:30:00,114.01000213623047
2017-11-28 20:30:00,113.80000305175781
2017-11-29 14:30:00,113.27999877929688
2017-11-29 15:30:00,112.98999786376953
2017-11-29 16:30:00,112.94999694824219
2017-11-29 17:30:00,112.88999938964844
2017-11-29 18:30:00,112.87000274658203
2017-11-29 19:30:00,112.98999786376953
2017-11-29 20:30:00,113.0
2017-11-30 14:30:00,113.5199966430664
2017-11-30 15:30:00,113.4000015258789
2017-11-30 16:30:00,113.43000030517578
2017-11-30 17:30:00,113.2300033569336
2017-11-30 18:30:00,113.08999633789062
2017-11-30 19:30:00,113.18000030517578
2017-11-30 20:30:00,113.12999725341797
2017-12-01 14:30:00,114.71499633789062
2017-12-01 15:30:00,114.56500244140625
2017-12-01 16:30:00,114.33000183105469
2017-12-01 17:30:00,114.61499786376953
2017-12-01 18:30:00,114.7300033569336
2017-12-01 19:30:00,114.66999816894531
2017-12-01 20:30:00,114.77999877929688
2017-12-04 14:30:00,114.43000030517578
2017-12-04 15:30:00,114.27999877929688
2017-12-04 16:30:00,114.37999725341797
2017-12-04 17:30:00,114.31999969482422
