Datetime,CERN
2017-12-04 18:30:00,69.80400085449219
2017-12-04 19:30:00,69.81999969482422
2017-12-04 20:30:00,69.79000091552734
2017-12-05 14:30:00,70.06529998779297
2017-12-05 15:30:00,70.26799774169922
2017-12-05 16:30:00,70.36000061035156
2017-12-05 17:30:00,70.33000183105469
2017-12-05 18:30:00,70.1365966796875
2017-12-05 19:30:00,69.93000030517578
2017-12-05 20:30:00,70.08999633789062
2017-12-06 14:30:00,69.6500015258789
2017-12-06 15:30:00,69.72000122070312
2017-12-06 16:30:00,69.55000305175781
2017-12-06 17:30:00,69.36000061035156
2017-12-06 18:30:00,69.52999877929688
2017-12-06 19:30:00,69.5199966430664
2017-12-06 20:30:00,69.58999633789062
2017-12-07 14:30:00,69.55000305175781
2017-12-07 15:30:00,69.58000183105469
2017-12-07 16:30:00,69.72000122070312
2017-12-07 17:30:00,69.83999633789062
2017-12-07 18:30:00,69.8030014038086
2017-12-07 19:30:00,69.875
2017-12-07 20:30:00,69.94999694824219
2017-12-08 14:30:00,69.80000305175781
2017-12-08 15:30:00,70.1500015258789
2017-12-08 16:30:00,70.44999694824219
2017-12-08 17:30:00,70.27999877929688
2017-12-08 18:30:00,70.19999694824219
2017-12-08 19:30:00,70.31999969482422
2017-12-08 20:30:00,70.43000030517578
2017-12-11 14:30:00,70.08000183105469
2017-12-11 15:30:00,70.52999877929688
2017-12-11 16:30:00,70.48999786376953
2017-12-11 17:30:00,70.18000030517578
2017-12-11 18:30:00,70.16000366210938
2017-12-11 19:30:00,70.28700256347656
2017-12-11 20:30:00,70.12000274658203
2017-12-12 14:30:00,69.94999694824219
2017-12-12 15:30:00,70.05000305175781
2017-12-12 16:30:00,70.06999969482422
2017-12-12 17:30:00,70.18000030517578
2017-12-12 18:30:00,70.25
2017-12-12 19:30:00,70.3156967163086
2017-12-12 20:30:00,70.38999938964844
2017-12-13 14:30:00,69.79000091552734
2017-12-13 15:30:00,69.55000305175781
2017-12-13 16:30:00,69.70999908447266
2017-12-13 17:30:00,69.9000015258789
2017-12-13 18:30:00,69.88999938964844
2017-12-13 19:30:00,69.80999755859375
2017-12-13 20:30:00,69.66999816894531
2017-12-14 14:30:00,69.76000213623047
2017-12-14 15:30:00,69.69999694824219
2017-12-14 16:30:00,69.58999633789062
2017-12-14 17:30:00,69.4000015258789
2017-12-14 18:30:00,68.69999694824219
2017-12-14 19:30:00,68.5999984741211
2017-12-14 20:30:00,68.58000183105469
2017-12-15 14:30:00,69.0999984741211
2017-12-15 15:30:00,69.22000122070312
