Datetime,INTC
2017-11-06 14:30:00,46.47999954223633
2017-11-06 15:30:00,46.115501403808594
2017-11-06 16:30:00,46.310001373291016
2017-11-06 17:30:00,46.52000045776367
2017-11-06 18:30:00,46.61000061035156
2017-11-06 19:30:00,46.625
2017-11-06 20:30:00,46.70500183105469
2017-11-07 14:30:00,46.7400016784668
2017-11-07 15:30:00,46.709999084472656
2017-11-07 16:30:00,46.52000045776367
2017-11-07 17:30:00,46.529998779296875
2017-11-07 18:30:00,46.70500183105469
2017-11-07 19:30:00,46.69499969482422
2017-11-07 20:30:00,46.779998779296875
2017-11-08 14:30:00,46.45000076293945
2017-11-08 15:30:00,46.290000915527344
2017-11-08 16:30:00,46.39659881591797
2017-11-08 17:30:00,46.474998474121094
2017-11-08 18:30:00,46.5724983215332
2017-11-08 19:30:00,46.6432991027832
2017-11-08 20:30:00,46.70000076293945
2017-11-09 14:30:00,46.3849983215332
2017-11-09 15:30:00,46.06999969482422
2017-11-09 16:30:00,45.849998474121094
2017-11-09 17:30:00,46.0099983215332
2017-11-09 18:30:00,46.11000061035156
2017-11-09 19:30:00,46.15399932861328
2017-11-09 20:30:00,46.29499816894531
2017-11-10 14:30:00,45.54499816894531
2017-11-10 15:30:00,45.463401794433594
2017-11-10 16:30:00,45.59370040893555
2017-11-10 17:30:00,45.426998138427734
2017-11-10 18:30:00,45.529998779296875
2017-11-10 19:30:00,45.58000183105469
2017-11-10 20:30:00,45.56999969482422
2017-11-13 14:30:00,45.880001068115234
2017-11-13 15:30:00,45.59000015258789
2017-11-13 16:30:00,45.72999954223633
2017-11-13 17:30:00,45.560001373291016
2017-11-13 18:30:00,45.768001556396484
2017-11-13 19:30:00,45.77000045776367
2017-11-13 20:30:00,45.75
2017-11-14 14:30:00,45.400001525878906
2017-11-14 15:30:00,45.70000076293945
2017-11-14 16:30:00,45.790000915527344
2017-11-14 17:30:00,45.709999084472656
2017-11-14 18:30:00,45.71480178833008
2017-11-14 19:30:00,45.779998779296875
2017-11-14 20:30:00,45.86000061035156
2017-11-15 14:30:00,45.525001525878906
2017-11-15 15:30:00,45.69499969482422
2017-11-15 16:30:00,45.69499969482422
2017-11-15 17:30:00,45.63999938964844
2017-11-15 18:30:00,45.724998474121094
2017-11-15 19:30:00,45.54999923706055
2017-11-15 20:30:00,45.470001220703125
2017-11-16 14:30:00,45.63999938964844
2017-11-16 15:30:00,45.779998779296875
2017-11-16 16:30:00,45.869998931884766
2017-11-16 17:30:00,45.85499954223633
2017-11-16 18:30:00,45.975799560546875
2017-11-16 19:30:00,45.79999923706055
2017-11-16 20:30:00,45.63999938964844
2017-11-17 14:30:00,45.06999969482422
2017-11-17 15:30:00,44.99300003051758
2017-11-17 16:30:00,44.959999084472656
2017-11-17 17:30:00,44.895999908447266
2017-11-17 18:30:00,44.847999572753906
2017-11-17 19:30:00,44.7599983215332
2017-11-17 20:30:00,44.63999938964844
2017-11-20 14:30:00,44.845001220703125
2017-11-20 15:30:00,44.93000030517578
2017-11-20 16:30:00,44.900001525878906
2017-11-20 17:30:00,44.709999084472656
2017-11-20 18:30:00,44.70589828491211
2017-11-20 19:30:00,44.70500183105469
2017-11-20 20:30:00,44.619998931884766
2017-11-21 14:30:00,44.89500045776367
2017-11-21 15:30:00,44.92620086669922
2017-11-21 16:30:00,44.970001220703125
2017-11-21 17:30:00,44.9651985168457
2017-11-21 18:30:00,45.025001525878906
2017-11-21 19:30:00,45.00410079956055
2017-11-21 20:30:00,44.939998626708984
2017-11-22 14:30:00,44.68000030517578
2017-11-22 15:30:00,44.56999969482422
2017-11-22 16:30:00,44.65999984741211
2017-11-22 17:30:00,44.72999954223633
2017-11-22 18:30:00,44.68360137939453
2017-11-22 19:30:00,44.689998626708984
2017-11-22 20:30:00,44.630001068115234
2017-11-24 14:30:00,44.560001373291016
2017-11-24 15:30:00,44.71500015258789
2017-11-24 16:30:00,44.725101470947266
2017-11-24 18:00:00,44.744598388671875
2017-11-27 14:30:00,44.474998474121094
2017-11-27 15:30:00,44.352500915527344
2017-11-27 16:30:00,44.5
2017-11-27 17:30:00,44.52989959716797
2017-11-27 18:30:00,44.4900016784668
2017-11-27 19:30:00,44.47999954223633
2017-11-27 20:30:00,44.47999954223633
2017-11-28 14:30:00,44.60499954223633
2017-11-28 15:30:00,44.4900016784668
2017-11-28 16:30:00,44.529998779296875
2017-11-28 17:30:00,44.45000076293945
2017-11-28 18:30:00,44.47159957885742
2017-11-28 19:30:00,44.61690139770508
2017-11-28 20:30:00,44.72999954223633
2017-11-29 14:30:00,44.31999969482422
2017-11-29 15:30:00,44.18000030517578
2017-11-29 16:30:00,44.0099983215332
2017-11-29 17:30:00,44.16999816894531
2017-11-29 18:30:00,44.04999923706055
2017-11-29 19:30:00,43.939998626708984
2017-11-29 20:30:00,43.959999084472656
2017-11-30 14:30:00,44.775001525878906
2017-11-30 15:30:00,44.869998931884766
2017-11-30 16:30:00,45.12670135498047
2017-11-30 17:30:00,45.17539978027344
2017-11-30 18:30:00,45.09000015258789
2017-11-30 19:30:00,44.95500183105469
2017-11-30 20:30:00,44.84000015258789
2017-12-01 14:30:00,44.709999084472656
2017-12-01 15:30:00,43.880001068115234
2017-12-01 16:30:00,44.119998931884766
2017-12-01 17:30:00,44.36000061035156
2017-12-01 18:30:00,44.4900016784668
2017-12-01 19:30:00,44.400001525878906
2017-12-01 20:30:00,44.66999816894531
2017-12-04 14:30:00,44.849998474121094
2017-12-04 15:30:00,44.63999938964844
2017-12-04 16:30:00,44.560001373291016
