Datetime,CTRP
2017-11-06 14:30:00,46.5099983215332
2017-11-06 15:30:00,46.14500045776367
2017-11-06 16:30:00,46.0099983215332
2017-11-06 17:30:00,45.970001220703125
2017-11-06 18:30:00,45.88999938964844
2017-11-06 19:30:00,45.81999969482422
2017-11-06 20:30:00,45.88999938964844
2017-11-07 14:30:00,45.650001525878906
2017-11-07 15:30:00,46.09000015258789
2017-11-07 16:30:00,46.025001525878906
2017-11-07 17:30:00,45.7400016784668
2017-11-07 18:30:00,45.880001068115234
2017-11-07 19:30:00,45.869998931884766
2017-11-07 20:30:00,45.88999938964844
2017-11-08 14:30:00,46.189998626708984
2017-11-08 15:30:00,45.9900016784668
2017-11-08 16:30:00,46.119998931884766
2017-11-08 17:30:00,46.650001525878906
2017-11-08 18:30:00,46.56999969482422
2017-11-08 19:30:00,46.25
2017-11-08 20:30:00,45.959999084472656
2017-11-09 14:30:00,45.18000030517578
2017-11-09 15:30:00,45.36000061035156
2017-11-09 16:30:00,45.154998779296875
2017-11-09 17:30:00,45.34000015258789
2017-11-09 18:30:00,45.61000061035156
2017-11-09 19:30:00,45.689998626708984
2017-11-09 20:30:00,45.88999938964844
2017-11-10 14:30:00,45.40999984741211
2017-11-10 15:30:00,45.400001525878906
2017-11-10 16:30:00,45.45000076293945
2017-11-10 17:30:00,45.52000045776367
2017-11-10 18:30:00,45.689998626708984
2017-11-10 19:30:00,45.53499984741211
2017-11-10 20:30:00,45.65999984741211
2017-11-13 14:30:00,46.40999984741211
2017-11-13 15:30:00,46.33000183105469
2017-11-13 16:30:00,46.209999084472656
2017-11-13 17:30:00,46.17499923706055
2017-11-13 18:30:00,46.209999084472656
2017-11-13 19:30:00,46.388999938964844
2017-11-13 20:30:00,46.494998931884766
2017-11-14 14:30:00,45.599998474121094
2017-11-14 15:30:00,45.720001220703125
2017-11-14 16:30:00,45.25
2017-11-14 17:30:00,45.130001068115234
2017-11-14 18:30:00,45.310001373291016
2017-11-14 19:30:00,45.2599983215332
2017-11-14 20:30:00,45.290000915527344
2017-11-15 14:30:00,45.45000076293945
2017-11-15 15:30:00,45.6150016784668
2017-11-15 16:30:00,45.47999954223633
2017-11-15 17:30:00,45.67300033569336
2017-11-15 18:30:00,45.7400016784668
2017-11-15 19:30:00,45.810001373291016
2017-11-15 20:30:00,45.86000061035156
2017-11-16 14:30:00,46.619998931884766
2017-11-16 15:30:00,46.86000061035156
2017-11-16 16:30:00,46.7599983215332
2017-11-16 17:30:00,46.93000030517578
2017-11-16 18:30:00,47.189998626708984
2017-11-16 19:30:00,47.22999954223633
2017-11-16 20:30:00,46.84000015258789
2017-11-17 14:30:00,47.68000030517578
2017-11-17 15:30:00,48.0099983215332
2017-11-17 16:30:00,48.27000045776367
2017-11-17 17:30:00,48.040000915527344
2017-11-17 18:30:00,48.02000045776367
2017-11-17 19:30:00,47.92720031738281
2017-11-17 20:30:00,47.7400016784668
2017-11-20 14:30:00,47.630001068115234
2017-11-20 15:30:00,47.459999084472656
2017-11-20 16:30:00,47.349998474121094
2017-11-20 17:30:00,47.27000045776367
2017-11-20 18:30:00,47.459999084472656
2017-11-20 19:30:00,47.5
2017-11-20 20:30:00,47.40999984741211
2017-11-21 14:30:00,47.97999954223633
2017-11-21 15:30:00,48.16999816894531
2017-11-21 16:30:00,48.27000045776367
2017-11-21 17:30:00,48.40999984741211
2017-11-21 18:30:00,48.30500030517578
2017-11-21 19:30:00,48.349998474121094
2017-11-21 20:30:00,48.11000061035156
2017-11-22 14:30:00,48.154998779296875
2017-11-22 15:30:00,47.915000915527344
2017-11-22 16:30:00,48.0099983215332
2017-11-22 17:30:00,48.119998931884766
2017-11-22 18:30:00,48.02000045776367
2017-11-22 19:30:00,47.93000030517578
2017-11-22 20:30:00,48.029998779296875
2017-11-24 14:30:00,47.51499938964844
2017-11-24 15:30:00,47.32500076293945
2017-11-24 16:30:00,47.5
2017-11-24 18:00:00,47.50149917602539
2017-11-27 14:30:00,46.68000030517578
2017-11-27 15:30:00,46.45759963989258
2017-11-27 16:30:00,46.4900016784668
2017-11-27 17:30:00,46.459999084472656
2017-11-27 18:30:00,46.5
2017-11-27 19:30:00,46.66999816894531
2017-11-27 20:30:00,46.790000915527344
2017-11-28 14:30:00,46.415000915527344
2017-11-28 15:30:00,46.869998931884766
2017-11-28 16:30:00,46.959999084472656
2017-11-28 17:30:00,46.7599983215332
2017-11-28 18:30:00,46.779998779296875
2017-11-28 19:30:00,46.709999084472656
2017-11-28 20:30:00,46.68000030517578
2017-11-29 14:30:00,46.290000915527344
2017-11-29 15:30:00,46.5099983215332
2017-11-29 16:30:00,46.27000045776367
2017-11-29 17:30:00,46.209999084472656
2017-11-29 18:30:00,46.11000061035156
2017-11-29 19:30:00,46.08000183105469
2017-11-29 20:30:00,46.2400016784668
2017-11-30 14:30:00,46.775001525878906
2017-11-30 15:30:00,46.83000183105469
2017-11-30 16:30:00,46.38999938964844
2017-11-30 17:30:00,46.2599983215332
2017-11-30 18:30:00,46.279998779296875
2017-11-30 19:30:00,46.255001068115234
2017-11-30 20:30:00,46.06999969482422
2017-12-01 14:30:00,46.36009979248047
2017-12-01 15:30:00,46.244998931884766
2017-12-01 16:30:00,46.20000076293945
2017-12-01 17:30:00,46.47999954223633
2017-12-01 18:30:00,46.41999816894531
2017-12-01 19:30:00,46.29999923706055
2017-12-01 20:30:00,46.349998474121094
2017-12-04 14:30:00,45.79999923706055
2017-12-04 15:30:00,45.86000061035156
2017-12-04 16:30:00,46.08000183105469
