Datetime,NTAP
2017-11-06 14:30:00,44.189998626708984
2017-11-06 15:30:00,44.779998779296875
2017-11-06 16:30:00,44.45000076293945
2017-11-06 17:30:00,44.79499816894531
2017-11-06 18:30:00,44.970001220703125
2017-11-06 19:30:00,45.005001068115234
2017-11-06 20:30:00,45.0099983215332
2017-11-07 14:30:00,44.650001525878906
2017-11-07 15:30:00,44.619998931884766
2017-11-07 16:30:00,44.60499954223633
2017-11-07 17:30:00,44.525001525878906
2017-11-07 18:30:00,44.474998474121094
2017-11-07 19:30:00,44.52000045776367
2017-11-07 20:30:00,44.650001525878906
2017-11-08 14:30:00,44.70000076293945
2017-11-08 15:30:00,44.869998931884766
2017-11-08 16:30:00,45.08000183105469
2017-11-08 17:30:00,45.040000915527344
2017-11-08 18:30:00,45.154998779296875
2017-11-08 19:30:00,45.3650016784668
2017-11-08 20:30:00,45.334999084472656
2017-11-09 14:30:00,47.0099983215332
2017-11-09 15:30:00,46.89649963378906
2017-11-09 16:30:00,46.70000076293945
2017-11-09 17:30:00,46.689998626708984
2017-11-09 18:30:00,46.31999969482422
2017-11-09 19:30:00,46.150001525878906
2017-11-09 20:30:00,46.29999923706055
2017-11-10 14:30:00,46.25
2017-11-10 15:30:00,46.2400016784668
2017-11-10 16:30:00,46.279998779296875
2017-11-10 17:30:00,46.34000015258789
2017-11-10 18:30:00,46.40999984741211
2017-11-10 19:30:00,46.439998626708984
2017-11-10 20:30:00,46.345001220703125
2017-11-13 14:30:00,46.38999938964844
2017-11-13 15:30:00,46.34000015258789
2017-11-13 16:30:00,46.2599983215332
2017-11-13 17:30:00,46.150001525878906
2017-11-13 18:30:00,46.130001068115234
2017-11-13 19:30:00,46.02000045776367
2017-11-13 20:30:00,45.9900016784668
2017-11-14 14:30:00,45.779998779296875
2017-11-14 15:30:00,45.900001525878906
2017-11-14 16:30:00,45.86000061035156
2017-11-14 17:30:00,45.7130012512207
2017-11-14 18:30:00,45.650001525878906
2017-11-14 19:30:00,45.720001220703125
2017-11-14 20:30:00,45.61000061035156
2017-11-15 14:30:00,45.83000183105469
2017-11-15 15:30:00,45.630001068115234
2017-11-15 16:30:00,46.0
2017-11-15 17:30:00,45.90999984741211
2017-11-15 18:30:00,45.939998626708984
2017-11-15 19:30:00,45.70000076293945
2017-11-15 20:30:00,45.81999969482422
2017-11-16 14:30:00,52.790000915527344
2017-11-16 15:30:00,53.25
2017-11-16 16:30:00,52.4900016784668
2017-11-16 17:30:00,52.52000045776367
2017-11-16 18:30:00,52.459999084472656
2017-11-16 19:30:00,52.981300354003906
2017-11-16 20:30:00,53.11000061035156
2017-11-17 14:30:00,53.473899841308594
2017-11-17 15:30:00,53.66999816894531
2017-11-17 16:30:00,53.709999084472656
2017-11-17 17:30:00,53.349998474121094
2017-11-17 18:30:00,53.220001220703125
2017-11-17 19:30:00,52.959999084472656
2017-11-17 20:30:00,52.94499969482422
2017-11-20 14:30:00,53.650001525878906
2017-11-20 15:30:00,54.04999923706055
2017-11-20 16:30:00,53.880001068115234
2017-11-20 17:30:00,54.349998474121094
2017-11-20 18:30:00,54.58000183105469
2017-11-20 19:30:00,54.75
2017-11-20 20:30:00,54.720001220703125
2017-11-21 14:30:00,55.27000045776367
2017-11-21 15:30:00,54.97999954223633
2017-11-21 16:30:00,55.08000183105469
2017-11-21 17:30:00,55.029998779296875
2017-11-21 18:30:00,55.2400016784668
2017-11-21 19:30:00,55.119998931884766
2017-11-21 20:30:00,55.08000183105469
2017-11-22 14:30:00,55.40999984741211
2017-11-22 15:30:00,55.45000076293945
2017-11-22 16:30:00,55.82500076293945
2017-11-22 17:30:00,55.9900016784668
2017-11-22 18:30:00,56.0
2017-11-22 19:30:00,55.959999084472656
2017-11-22 20:30:00,56.060001373291016
2017-11-24 14:30:00,56.45000076293945
2017-11-24 15:30:00,56.220001220703125
2017-11-24 16:30:00,56.35499954223633
2017-11-24 18:00:00,56.40999984741211
2017-11-27 14:30:00,56.08000183105469
2017-11-27 15:30:00,56.18000030517578
2017-11-27 16:30:00,56.150001525878906
2017-11-27 17:30:00,56.11000061035156
2017-11-27 18:30:00,56.029998779296875
2017-11-27 19:30:00,56.040000915527344
2017-11-27 20:30:00,56.25
2017-11-28 14:30:00,56.650001525878906
2017-11-28 15:30:00,56.564998626708984
2017-11-28 16:30:00,56.849998474121094
2017-11-28 17:30:00,56.76499938964844
2017-11-28 18:30:00,56.599998474121094
2017-11-28 19:30:00,56.7599983215332
2017-11-28 20:30:00,56.83000183105469
2017-11-29 14:30:00,56.810001373291016
2017-11-29 15:30:00,56.65999984741211
2017-11-29 16:30:00,56.81999969482422
2017-11-29 17:30:00,56.86000061035156
2017-11-29 18:30:00,56.7599983215332
2017-11-29 19:30:00,56.4900016784668
2017-11-29 20:30:00,56.2400016784668
2017-11-30 14:30:00,57.369998931884766
2017-11-30 15:30:00,57.220001220703125
2017-11-30 16:30:00,57.65999984741211
2017-11-30 17:30:00,57.435001373291016
2017-11-30 18:30:00,57.02000045776367
2017-11-30 19:30:00,56.810001373291016
2017-11-30 20:30:00,56.52000045776367
2017-12-01 14:30:00,55.970001220703125
2017-12-01 15:30:00,55.209999084472656
2017-12-01 16:30:00,55.779998779296875
2017-12-01 17:30:00,56.227699279785156
2017-12-01 18:30:00,56.209999084472656
2017-12-01 19:30:00,56.435001373291016
2017-12-01 20:30:00,56.410099029541016
2017-12-04 14:30:00,57.33000183105469
2017-12-04 15:30:00,57.209999084472656
2017-12-04 16:30:00,56.88999938964844
2017-12-04 17:30:00,56.7599983215332
