Datetime,CSX
2017-11-06 14:30:00,50.650001525878906
2017-11-06 15:30:00,51.005001068115234
2017-11-06 16:30:00,50.900001525878906
2017-11-06 17:30:00,50.91999816894531
2017-11-06 18:30:00,51.025001525878906
2017-11-06 19:30:00,51.209999084472656
2017-11-06 20:30:00,51.150001525878906
2017-11-07 14:30:00,52.02000045776367
2017-11-07 15:30:00,52.060001373291016
2017-11-07 16:30:00,52.27000045776367
2017-11-07 17:30:00,52.25
2017-11-07 18:30:00,52.040000915527344
2017-11-07 19:30:00,52.0
2017-11-07 20:30:00,51.81999969482422
2017-11-08 14:30:00,51.11000061035156
2017-11-08 15:30:00,51.08000183105469
2017-11-08 16:30:00,51.2599983215332
2017-11-08 17:30:00,51.540000915527344
2017-11-08 18:30:00,51.540000915527344
2017-11-08 19:30:00,51.53499984741211
2017-11-08 20:30:00,51.4900016784668
2017-11-09 14:30:00,51.04999923706055
2017-11-09 15:30:00,50.880001068115234
2017-11-09 16:30:00,50.470001220703125
2017-11-09 17:30:00,50.540000915527344
2017-11-09 18:30:00,50.4900016784668
2017-11-09 19:30:00,50.29520034790039
2017-11-09 20:30:00,50.220001220703125
2017-11-10 14:30:00,50.25
2017-11-10 15:30:00,50.15999984741211
2017-11-10 16:30:00,50.17499923706055
2017-11-10 17:30:00,50.220001220703125
2017-11-10 18:30:00,50.189998626708984
2017-11-10 19:30:00,50.209999084472656
2017-11-10 20:30:00,50.09000015258789
2017-11-13 14:30:00,49.88999938964844
2017-11-13 15:30:00,49.77000045776367
2017-11-13 16:30:00,49.8650016784668
2017-11-13 17:30:00,49.79999923706055
2017-11-13 18:30:00,49.775001525878906
2017-11-13 19:30:00,49.84000015258789
2017-11-13 20:30:00,49.7400016784668
2017-11-14 14:30:00,49.310001373291016
2017-11-14 15:30:00,49.47999954223633
2017-11-14 16:30:00,49.5099983215332
2017-11-14 17:30:00,49.48500061035156
2017-11-14 18:30:00,49.58000183105469
2017-11-14 19:30:00,49.557498931884766
2017-11-14 20:30:00,49.390098571777344
2017-11-15 14:30:00,48.91999816894531
2017-11-15 15:30:00,48.77000045776367
2017-11-15 16:30:00,48.619998931884766
2017-11-15 17:30:00,48.39500045776367
2017-11-15 18:30:00,48.494998931884766
2017-11-15 19:30:00,48.66999816894531
2017-11-15 20:30:00,48.630001068115234
2017-11-16 14:30:00,48.939998626708984
2017-11-16 15:30:00,49.22999954223633
2017-11-16 16:30:00,49.52000045776367
2017-11-16 17:30:00,49.470001220703125
2017-11-16 18:30:00,49.709999084472656
2017-11-16 19:30:00,49.70000076293945
2017-11-16 20:30:00,50.13999938964844
2017-11-17 14:30:00,50.0
2017-11-17 15:30:00,49.81999969482422
2017-11-17 16:30:00,49.638999938964844
2017-11-17 17:30:00,49.849998474121094
2017-11-17 18:30:00,49.90999984741211
2017-11-17 19:30:00,50.005001068115234
2017-11-17 20:30:00,49.91999816894531
2017-11-20 14:30:00,49.56999969482422
2017-11-20 15:30:00,49.71500015258789
2017-11-20 16:30:00,49.56999969482422
2017-11-20 17:30:00,49.75
2017-11-20 18:30:00,49.375
2017-11-20 19:30:00,49.755001068115234
2017-11-20 20:30:00,49.709999084472656
2017-11-21 14:30:00,50.13999938964844
2017-11-21 15:30:00,50.099998474121094
2017-11-21 16:30:00,50.130001068115234
2017-11-21 17:30:00,50.10499954223633
2017-11-21 18:30:00,50.11000061035156
2017-11-21 19:30:00,50.130001068115234
2017-11-21 20:30:00,50.220001220703125
2017-11-22 14:30:00,50.84000015258789
2017-11-22 15:30:00,50.7400016784668
2017-11-22 16:30:00,50.86000061035156
2017-11-22 17:30:00,50.84000015258789
2017-11-22 18:30:00,50.814998626708984
2017-11-22 19:30:00,50.88999938964844
2017-11-22 20:30:00,51.0098991394043
2017-11-24 14:30:00,50.939998626708984
2017-11-24 15:30:00,50.900001525878906
2017-11-24 16:30:00,50.92499923706055
2017-11-24 18:00:00,50.936500549316406
2017-11-27 14:30:00,50.40999984741211
2017-11-27 15:30:00,50.310001373291016
2017-11-27 16:30:00,50.31999969482422
2017-11-27 17:30:00,50.5099983215332
2017-11-27 18:30:00,50.630001068115234
2017-11-27 19:30:00,50.650001525878906
2017-11-27 20:30:00,50.650001525878906
2017-11-28 14:30:00,50.93000030517578
2017-11-28 15:30:00,51.040000915527344
2017-11-28 16:30:00,50.9900016784668
2017-11-28 17:30:00,51.119998931884766
2017-11-28 18:30:00,50.810001373291016
2017-11-28 19:30:00,52.0099983215332
2017-11-28 20:30:00,52.150001525878906
2017-11-29 14:30:00,53.150001525878906
2017-11-29 15:30:00,53.38999938964844
2017-11-29 16:30:00,53.439998626708984
2017-11-29 17:30:00,54.13999938964844
2017-11-29 18:30:00,54.150001525878906
2017-11-29 19:30:00,54.08000183105469
2017-11-29 20:30:00,54.44499969482422
2017-11-30 14:30:00,54.83000183105469
2017-11-30 15:30:00,55.56999969482422
2017-11-30 16:30:00,55.91999816894531
2017-11-30 17:30:00,55.29999923706055
2017-11-30 18:30:00,55.494998931884766
2017-11-30 19:30:00,55.5099983215332
2017-11-30 20:30:00,55.75
2017-12-01 14:30:00,56.119998931884766
2017-12-01 15:30:00,54.900001525878906
2017-12-01 16:30:00,55.540000915527344
2017-12-01 17:30:00,55.7599983215332
2017-12-01 18:30:00,55.869998931884766
2017-12-01 19:30:00,55.939998626708984
2017-12-01 20:30:00,56.1349983215332
2017-12-04 14:30:00,57.849998474121094
2017-12-04 15:30:00,57.790000915527344
2017-12-04 16:30:00,57.58000183105469
2017-12-04 17:30:00,57.81999969482422
