Datetime,AMZN
2017-12-04 15:30:00,1143.22998046875
2017-12-04 16:30:00,1143.5101318359375
2017-12-04 17:30:00,1151.258056640625
2017-12-04 18:30:00,1143.330078125
2017-12-04 19:30:00,1135.3499755859375
2017-12-04 20:30:00,1133.5
2017-12-05 14:30:00,1147.3499755859375
2017-12-05 15:30:00,1155.27001953125
2017-12-05 16:30:00,1150.989990234375
2017-12-05 17:30:00,1149.780029296875
2017-12-05 18:30:00,1145.300048828125
2017-12-05 19:30:00,1142.6500244140625
2017-12-05 20:30:00,1141.6800537109375
2017-12-06 14:30:00,1149.4300537109375
2017-12-06 15:30:00,1148.050048828125
2017-12-06 16:30:00,1145.4599609375
2017-12-06 17:30:00,1144.93994140625
2017-12-06 18:30:00,1152.529296875
2017-12-06 19:30:00,1155.1099853515625
2017-12-06 20:30:00,1152.75
2017-12-07 14:30:00,1159.4150390625
2017-12-07 15:30:00,1160.6600341796875
2017-12-07 16:30:00,1158.02001953125
2017-12-07 17:30:00,1158.6600341796875
2017-12-07 18:30:00,1157.0
2017-12-07 19:30:00,1159.6290283203125
2017-12-07 20:30:00,1159.800048828125
2017-12-08 14:30:00,1169.061279296875
2017-12-08 15:30:00,1166.3599853515625
2017-12-08 16:30:00,1168.4747314453125
2017-12-08 17:30:00,1166.2099609375
2017-12-08 18:30:00,1159.8900146484375
2017-12-08 19:30:00,1161.449951171875
2017-12-08 20:30:00,1161.7900390625
2017-12-11 14:30:00,1165.5899658203125
2017-12-11 15:30:00,1162.39990234375
2017-12-11 16:30:00,1165.31005859375
2017-12-11 17:30:00,1167.06005859375
2017-12-11 18:30:00,1166.8699951171875
2017-12-11 19:30:00,1166.760009765625
2017-12-11 20:30:00,1169.0
2017-12-12 14:30:00,1168.8499755859375
2017-12-12 15:30:00,1171.949951171875
2017-12-12 16:30:00,1168.31494140625
2017-12-12 17:30:00,1167.780029296875
2017-12-12 18:30:00,1167.25
2017-12-12 19:30:00,1162.06005859375
2017-12-12 20:30:00,1165.56005859375
2017-12-13 14:30:00,1165.4300537109375
2017-12-13 15:30:00,1166.5
2017-12-13 16:30:00,1164.050048828125
2017-12-13 17:30:00,1162.43994140625
2017-12-13 18:30:00,1164.251708984375
2017-12-13 19:30:00,1162.1500244140625
2017-12-13 20:30:00,1164.1300048828125
2017-12-14 14:30:00,1174.1199951171875
2017-12-14 15:30:00,1173.4649658203125
2017-12-14 16:30:00,1177.0716552734375
2017-12-14 17:30:00,1174.31005859375
2017-12-14 18:30:00,1170.6700439453125
2017-12-14 19:30:00,1173.199951171875
2017-12-14 20:30:00,1174.1199951171875
2017-12-15 14:30:00,1171.0
2017-12-15 15:30:00,1175.9100341796875
2017-12-15 16:30:00,1177.949951171875
2017-12-15 17:30:00,1176.72998046875
2017-12-15 18:30:00,1178.949951171875
2017-12-15 19:30:00,1178.280029296875
2017-12-15 20:30:00,1179.0699462890625
2017-12-18 14:30:00,1193.8599853515625
2017-12-18 15:30:00,1188.6700439453125
2017-12-18 16:30:00,1191.449951171875
2017-12-18 17:30:00,1190.3699951171875
2017-12-18 18:30:00,1191.1400146484375
2017-12-18 19:30:00,1190.3499755859375
2017-12-18 20:30:00,1190.81005859375
2017-12-19 14:30:00,1186.52001953125
2017-12-19 15:30:00,1186.780029296875
2017-12-19 16:30:00,1182.5
2017-12-19 17:30:00,1182.6800537109375
2017-12-19 18:30:00,1183.720458984375
2017-12-19 19:30:00,1185.4000244140625
2017-12-19 20:30:00,1187.25
