Datetime,MSFT
2017-12-04 17:30:00,82.06500244140625
2017-12-04 18:30:00,81.62999725341797
2017-12-04 19:30:00,81.02989959716797
2017-12-04 20:30:00,81.08000183105469
2017-12-05 14:30:00,81.97000122070312
2017-12-05 15:30:00,82.54000091552734
2017-12-05 16:30:00,82.17469787597656
2017-12-05 17:30:00,82.08999633789062
2017-12-05 18:30:00,81.90499877929688
2017-12-05 19:30:00,81.84500122070312
2017-12-05 20:30:00,81.59010314941406
2017-12-06 14:30:00,82.55039978027344
2017-12-06 15:30:00,82.86000061035156
2017-12-06 16:30:00,82.62000274658203
2017-12-06 17:30:00,82.75
2017-12-06 18:30:00,82.80999755859375
2017-12-06 19:30:00,82.7300033569336
2017-12-06 20:30:00,82.80000305175781
2017-12-07 14:30:00,82.21499633789062
2017-12-07 15:30:00,82.33000183105469
2017-12-07 16:30:00,82.55000305175781
2017-12-07 17:30:00,82.49500274658203
2017-12-07 18:30:00,82.35250091552734
2017-12-07 19:30:00,82.4800033569336
2017-12-07 20:30:00,82.4800033569336
2017-12-08 14:30:00,84.41999816894531
2017-12-08 15:30:00,83.87999725341797
2017-12-08 16:30:00,84.2166976928711
2017-12-08 17:30:00,84.18000030517578
2017-12-08 18:30:00,84.05000305175781
2017-12-08 19:30:00,84.2300033569336
2017-12-08 20:30:00,84.16999816894531
2017-12-11 14:30:00,84.45570373535156
2017-12-11 15:30:00,84.66999816894531
2017-12-11 16:30:00,84.97319793701172
2017-12-11 17:30:00,85.08000183105469
2017-12-11 18:30:00,85.16000366210938
2017-12-11 19:30:00,85.12999725341797
2017-12-11 20:30:00,85.22000122070312
2017-12-12 14:30:00,85.69999694824219
2017-12-12 15:30:00,85.6500015258789
2017-12-12 16:30:00,85.45999908447266
2017-12-12 17:30:00,85.48999786376953
2017-12-12 18:30:00,85.4800033569336
2017-12-12 19:30:00,85.625
2017-12-12 20:30:00,85.62999725341797
2017-12-13 14:30:00,85.69000244140625
2017-12-13 15:30:00,85.87000274658203
2017-12-13 16:30:00,85.5
2017-12-13 17:30:00,85.27999877929688
2017-12-13 18:30:00,85.54499816894531
2017-12-13 19:30:00,85.41999816894531
2017-12-13 20:30:00,85.3499984741211
2017-12-14 14:30:00,85.41000366210938
2017-12-14 15:30:00,85.23999786376953
2017-12-14 16:30:00,84.90650177001953
2017-12-14 17:30:00,84.7699966430664
2017-12-14 18:30:00,84.58999633789062
2017-12-14 19:30:00,84.69000244140625
2017-12-14 20:30:00,84.69000244140625
2017-12-15 14:30:00,85.70500183105469
2017-12-15 15:30:00,86.31999969482422
2017-12-15 16:30:00,87.0
2017-12-15 17:30:00,86.5999984741211
2017-12-15 18:30:00,86.58999633789062
2017-12-15 19:30:00,86.94000244140625
