Datetime,ILMN
2017-11-06 14:30:00,211.4600067138672
2017-11-06 15:30:00,210.9199981689453
2017-11-06 16:30:00,210.1199951171875
2017-11-06 17:30:00,209.9499969482422
2017-11-06 18:30:00,209.85000610351562
2017-11-06 19:30:00,209.14999389648438
2017-11-06 20:30:00,209.27000427246094
2017-11-07 14:30:00,208.91000366210938
2017-11-07 15:30:00,211.94000244140625
2017-11-07 16:30:00,211.02499389648438
2017-11-07 17:30:00,210.81500244140625
2017-11-07 18:30:00,210.32000732421875
2017-11-07 19:30:00,210.4499969482422
2017-11-07 20:30:00,211.7209930419922
2017-11-08 14:30:00,209.6300048828125
2017-11-08 15:30:00,209.67999267578125
2017-11-08 16:30:00,209.91000366210938
2017-11-08 17:30:00,210.3800048828125
2017-11-08 18:30:00,210.74000549316406
2017-11-08 19:30:00,210.82000732421875
2017-11-08 20:30:00,211.11000061035156
2017-11-09 14:30:00,208.8699951171875
2017-11-09 15:30:00,209.7624969482422
2017-11-09 16:30:00,208.55499267578125
2017-11-09 17:30:00,208.6649932861328
2017-11-09 18:30:00,209.0399932861328
2017-11-09 19:30:00,209.42999267578125
2017-11-09 20:30:00,209.6699981689453
2017-11-10 14:30:00,208.13999938964844
2017-11-10 15:30:00,208.24000549316406
2017-11-10 16:30:00,209.27999877929688
2017-11-10 17:30:00,208.9149932861328
2017-11-10 18:30:00,208.7899932861328
2017-11-10 19:30:00,208.52999877929688
2017-11-10 20:30:00,208.9499969482422
2017-11-13 14:30:00,208.50999450683594
2017-11-13 15:30:00,208.55999755859375
2017-11-13 16:30:00,208.6540069580078
2017-11-13 17:30:00,208.25
2017-11-13 18:30:00,208.75999450683594
2017-11-13 19:30:00,209.2899932861328
2017-11-13 20:30:00,209.1300048828125
2017-11-14 14:30:00,206.9199981689453
2017-11-14 15:30:00,206.05999755859375
2017-11-14 16:30:00,205.19000244140625
2017-11-14 17:30:00,205.22000122070312
2017-11-14 18:30:00,205.64300537109375
2017-11-14 19:30:00,206.25
2017-11-14 20:30:00,206.0500030517578
2017-11-15 14:30:00,204.82000732421875
2017-11-15 15:30:00,206.6699981689453
2017-11-15 16:30:00,205.88999938964844
2017-11-15 17:30:00,204.92999267578125
2017-11-15 18:30:00,204.92999267578125
2017-11-15 19:30:00,205.5
2017-11-15 20:30:00,205.42999267578125
2017-11-16 14:30:00,207.8000030517578
2017-11-16 15:30:00,208.4199981689453
2017-11-16 16:30:00,208.0
2017-11-16 17:30:00,208.4149932861328
2017-11-16 18:30:00,208.07000732421875
2017-11-16 19:30:00,209.0500030517578
2017-11-16 20:30:00,208.52000427246094
2017-11-17 14:30:00,208.66000366210938
2017-11-17 15:30:00,209.25
2017-11-17 16:30:00,209.36000061035156
2017-11-17 17:30:00,209.47000122070312
2017-11-17 18:30:00,209.4499969482422
2017-11-17 19:30:00,208.9199981689453
2017-11-17 20:30:00,209.0800018310547
2017-11-20 14:30:00,210.00999450683594
2017-11-20 15:30:00,211.25999450683594
2017-11-20 16:30:00,210.36000061035156
2017-11-20 17:30:00,211.05999755859375
2017-11-20 18:30:00,210.9199981689453
2017-11-20 19:30:00,210.51829528808594
2017-11-20 20:30:00,210.64999389648438
2017-11-21 14:30:00,210.3300018310547
2017-11-21 15:30:00,211.53500366210938
2017-11-21 16:30:00,211.08749389648438
2017-11-21 17:30:00,211.6999969482422
2017-11-21 18:30:00,211.72000122070312
2017-11-21 19:30:00,211.5399932861328
2017-11-21 20:30:00,212.02999877929688
2017-11-22 14:30:00,213.6300048828125
2017-11-22 15:30:00,213.7899932861328
2017-11-22 16:30:00,214.2899932861328
2017-11-22 17:30:00,214.55999755859375
2017-11-22 18:30:00,214.60000610351562
2017-11-22 19:30:00,215.3300018310547
2017-11-22 20:30:00,215.33999633789062
2017-11-24 14:30:00,215.44500732421875
2017-11-24 15:30:00,215.22999572753906
2017-11-24 16:30:00,215.17999267578125
2017-11-24 18:00:00,215.1562957763672
2017-11-27 14:30:00,217.3000030517578
2017-11-27 15:30:00,219.47999572753906
2017-11-27 16:30:00,221.47999572753906
2017-11-27 17:30:00,222.1699981689453
2017-11-27 18:30:00,222.25999450683594
2017-11-27 19:30:00,224.02999877929688
2017-11-27 20:30:00,223.82000732421875
2017-11-28 14:30:00,223.7899932861328
2017-11-28 15:30:00,223.41000366210938
2017-11-28 16:30:00,223.8800048828125
2017-11-28 17:30:00,223.58999633789062
2017-11-28 18:30:00,225.3094940185547
2017-11-28 19:30:00,225.88999938964844
2017-11-28 20:30:00,226.2899932861328
2017-11-29 14:30:00,225.21499633789062
2017-11-29 15:30:00,225.63499450683594
2017-11-29 16:30:00,226.5800018310547
2017-11-29 17:30:00,225.52000427246094
2017-11-29 18:30:00,226.44000244140625
2017-11-29 19:30:00,226.60499572753906
2017-11-29 20:30:00,227.50999450683594
2017-11-30 14:30:00,229.06500244140625
2017-11-30 15:30:00,229.55999755859375
2017-11-30 16:30:00,230.16879272460938
2017-11-30 17:30:00,230.39999389648438
2017-11-30 18:30:00,230.30999755859375
2017-11-30 19:30:00,230.22999572753906
2017-11-30 20:30:00,230.17999267578125
2017-12-01 14:30:00,228.82000732421875
2017-12-01 15:30:00,225.74000549316406
2017-12-01 16:30:00,224.63999938964844
2017-12-01 17:30:00,226.27999877929688
2017-12-01 18:30:00,225.38499450683594
2017-12-01 19:30:00,224.9499969482422
2017-12-01 20:30:00,225.3000030517578
2017-12-04 14:30:00,223.64999389648438
2017-12-04 15:30:00,219.73899841308594
2017-12-04 16:30:00,219.50999450683594
