Datetime,FOX
2017-11-06 14:30:00,24.5
2017-11-06 15:30:00,24.454999923706055
2017-11-06 16:30:00,24.40999984741211
2017-11-06 17:30:00,24.40999984741211
2017-11-06 18:30:00,26.56999969482422
2017-11-06 19:30:00,26.6200008392334
2017-11-06 20:30:00,26.649999618530273
2017-11-08 14:30:00,27.18000030517578
2017-11-08 15:30:00,26.905000686645508
2017-11-08 16:30:00,27.100000381469727
2017-11-08 17:30:00,27.174999237060547
2017-11-08 18:30:00,27.219999313354492
2017-11-08 19:30:00,27.155000686645508
2017-11-08 20:30:00,27.3700008392334
2017-11-09 14:30:00,28.229999542236328
2017-11-09 15:30:00,28.780000686645508
2017-11-09 16:30:00,28.460599899291992
2017-11-09 17:30:00,28.790000915527344
2017-11-09 18:30:00,28.65999984741211
2017-11-09 19:30:00,28.479999542236328
2017-11-09 20:30:00,28.100000381469727
2017-11-10 14:30:00,28.889999389648438
2017-11-10 15:30:00,28.65999984741211
2017-11-10 16:30:00,28.399999618530273
2017-11-10 17:30:00,28.18000030517578
2017-11-10 18:30:00,28.06999969482422
2017-11-10 19:30:00,28.09000015258789
2017-11-10 20:30:00,28.059999465942383
2017-11-13 14:30:00,28.0
2017-11-13 15:30:00,27.622499465942383
2017-11-13 16:30:00,27.59000015258789
2017-11-13 17:30:00,27.665000915527344
2017-11-13 18:30:00,27.700000762939453
2017-11-13 19:30:00,27.809999465942383
2017-11-13 20:30:00,27.81999969482422
2017-11-14 14:30:00,27.5
2017-11-14 15:30:00,27.479999542236328
2017-11-14 16:30:00,27.295000076293945
2017-11-14 17:30:00,27.170000076293945
2017-11-14 18:30:00,27.299999237060547
2017-11-14 19:30:00,27.350000381469727
2017-11-14 20:30:00,27.31999969482422
2017-11-15 14:30:00,26.950000762939453
2017-11-15 15:30:00,27.110000610351562
2017-11-15 16:30:00,27.09000015258789
2017-11-15 17:30:00,27.084999084472656
2017-11-15 18:30:00,27.479999542236328
2017-11-15 19:30:00,27.93000030517578
2017-11-15 20:30:00,27.969999313354492
2017-11-16 14:30:00,28.040000915527344
2017-11-16 15:30:00,28.579999923706055
2017-11-16 16:30:00,28.549999237060547
2017-11-16 17:30:00,28.59000015258789
2017-11-16 18:30:00,28.600000381469727
2017-11-16 19:30:00,28.690000534057617
2017-11-16 20:30:00,28.610000610351562
2017-11-17 14:30:00,29.809999465942383
2017-11-17 15:30:00,29.8799991607666
2017-11-17 16:30:00,29.80500030517578
2017-11-17 17:30:00,29.850000381469727
2017-11-17 18:30:00,30.059999465942383
2017-11-17 19:30:00,30.389999389648438
2017-11-17 20:30:00,30.489999771118164
2017-11-20 14:30:00,30.309999465942383
2017-11-20 15:30:00,30.139999389648438
2017-11-20 16:30:00,30.040000915527344
2017-11-20 17:30:00,30.149999618530273
2017-11-20 18:30:00,30.270000457763672
2017-11-20 19:30:00,29.809999465942383
2017-11-20 20:30:00,29.895000457763672
2017-11-21 14:30:00,30.010000228881836
2017-11-21 15:30:00,29.989999771118164
2017-11-21 16:30:00,30.125
2017-11-21 17:30:00,30.049999237060547
2017-11-21 18:30:00,30.059999465942383
2017-11-21 19:30:00,30.094999313354492
2017-11-21 20:30:00,30.06999969482422
2017-11-22 14:30:00,29.8799991607666
2017-11-22 15:30:00,30.03499984741211
2017-11-22 16:30:00,30.084999084472656
2017-11-22 17:30:00,30.075000762939453
2017-11-22 18:30:00,29.959999084472656
2017-11-22 19:30:00,30.03499984741211
2017-11-22 20:30:00,29.950000762939453
2017-11-24 14:30:00,29.93000030517578
2017-11-24 15:30:00,29.829999923706055
2017-11-24 16:30:00,29.744400024414062
2017-11-24 18:00:00,29.710399627685547
2017-11-27 14:30:00,29.780000686645508
2017-11-27 15:30:00,29.780000686645508
2017-11-27 16:30:00,29.80500030517578
2017-11-27 17:30:00,29.770000457763672
2017-11-27 18:30:00,29.725000381469727
2017-11-27 19:30:00,29.68000030517578
2017-11-27 20:30:00,29.69499969482422
2017-11-28 14:30:00,29.790000915527344
2017-11-28 15:30:00,29.790000915527344
2017-11-28 16:30:00,30.06999969482422
2017-11-28 17:30:00,29.93000030517578
2017-11-28 18:30:00,30.079999923706055
2017-11-28 19:30:00,30.1299991607666
2017-11-28 20:30:00,30.18000030517578
2017-11-29 14:30:00,31.0
2017-11-29 15:30:00,31.25
2017-11-29 16:30:00,31.25
2017-11-29 17:30:00,31.1299991607666
2017-11-29 18:30:00,31.05500030517578
2017-11-29 19:30:00,31.329999923706055
2017-11-29 20:30:00,31.309999465942383
2017-11-30 14:30:00,31.049999237060547
2017-11-30 15:30:00,31.100000381469727
2017-11-30 16:30:00,31.104999542236328
2017-11-30 17:30:00,30.81999969482422
2017-11-30 18:30:00,30.860000610351562
2017-11-30 19:30:00,30.829999923706055
2017-11-30 20:30:00,31.139999389648438
2017-12-01 14:30:00,30.540000915527344
2017-12-01 15:30:00,30.649999618530273
2017-12-01 16:30:00,31.219999313354492
2017-12-01 17:30:00,31.43000030517578
2017-12-01 18:30:00,31.579999923706055
2017-12-01 19:30:00,31.530000686645508
2017-12-01 20:30:00,31.479999542236328
2017-12-04 14:30:00,32.65999984741211
2017-12-04 15:30:00,32.88999938964844
2017-12-04 16:30:00,32.63999938964844
2017-12-04 17:30:00,32.61000061035156
2017-12-04 18:30:00,32.63999938964844
2017-12-04 19:30:00,32.61000061035156
2017-12-04 20:30:00,32.29499816894531
2017-12-05 14:30:00,33.150001525878906
2017-12-05 15:30:00,32.9900016784668
2017-12-05 16:30:00,32.84000015258789
2017-12-05 17:30:00,32.88999938964844
