Datetime,AAPL
2017-11-06 14:30:00,173.64999389648438
2017-11-06 15:30:00,174.3800048828125
2017-11-06 16:30:00,174.7100067138672
2017-11-06 17:30:00,174.67100524902344
2017-11-06 18:30:00,174.66000366210938
2017-11-06 19:30:00,174.52999877929688
2017-11-06 20:30:00,174.25
2017-11-08 14:30:00,175.13999938964844
2017-11-08 15:30:00,175.22320556640625
2017-11-08 16:30:00,175.60000610351562
2017-11-08 17:30:00,175.72999572753906
2017-11-08 18:30:00,175.96200561523438
2017-11-08 19:30:00,175.99000549316406
2017-11-08 20:30:00,176.22999572753906
2017-11-09 14:30:00,175.9199981689453
2017-11-09 15:30:00,175.35000610351562
2017-11-09 16:30:00,174.10000610351562
2017-11-09 17:30:00,174.38999938964844
2017-11-09 18:30:00,174.75999450683594
2017-11-09 19:30:00,175.4499053955078
2017-11-09 20:30:00,175.86000061035156
2017-11-10 14:30:00,174.8249969482422
2017-11-10 15:30:00,174.7899932861328
2017-11-10 16:30:00,174.85000610351562
2017-11-10 17:30:00,175.0399932861328
2017-11-10 18:30:00,174.92599487304688
2017-11-10 19:30:00,174.86500549316406
2017-11-10 20:30:00,174.64999389648438
2017-11-13 14:30:00,174.3000030517578
2017-11-13 15:30:00,174.27999877929688
2017-11-13 16:30:00,174.33999633789062
2017-11-13 17:30:00,174.25
2017-11-13 18:30:00,174.3000030517578
2017-11-13 19:30:00,174.0
2017-11-13 20:30:00,173.97000122070312
2017-11-14 14:30:00,172.6103057861328
2017-11-14 15:30:00,172.91000366210938
2017-11-14 16:30:00,172.6300048828125
2017-11-14 17:30:00,172.0
2017-11-14 18:30:00,171.91990661621094
2017-11-14 19:30:00,171.625
2017-11-14 20:30:00,171.32000732421875
2017-11-15 14:30:00,169.55999755859375
2017-11-15 15:30:00,169.80999755859375
2017-11-15 16:30:00,169.32000732421875
2017-11-15 17:30:00,169.1199951171875
2017-11-15 18:30:00,169.33990478515625
2017-11-15 19:30:00,169.1291046142578
2017-11-15 20:30:00,169.08999633789062
2017-11-16 14:30:00,170.72999572753906
2017-11-16 15:30:00,170.89390563964844
2017-11-16 16:30:00,171.64010620117188
2017-11-16 17:30:00,171.52999877929688
2017-11-16 18:30:00,171.52000427246094
2017-11-16 19:30:00,171.47000122070312
2017-11-16 20:30:00,171.10000610351562
2017-11-17 14:30:00,170.5500030517578
2017-11-17 15:30:00,170.67999267578125
2017-11-17 16:30:00,170.65440368652344
2017-11-17 17:30:00,170.46499633789062
2017-11-17 18:30:00,170.24000549316406
2017-11-17 19:30:00,170.22000122070312
2017-11-17 20:30:00,170.14999389648438
2017-11-20 14:30:00,169.75999450683594
2017-11-20 15:30:00,169.6898956298828
2017-11-20 16:30:00,169.69500732421875
2017-11-20 17:30:00,170.16000366210938
2017-11-20 18:30:00,169.9199981689453
2017-11-20 19:30:00,169.97999572753906
2017-11-20 20:30:00,170.0
2017-11-21 14:30:00,173.52000427246094
2017-11-21 15:30:00,173.4499969482422
2017-11-21 16:30:00,173.25
2017-11-21 17:30:00,173.13499450683594
2017-11-21 18:30:00,172.85499572753906
2017-11-21 19:30:00,172.8249969482422
2017-11-21 20:30:00,173.1300048828125
2017-11-22 14:30:00,173.97000122070312
2017-11-22 15:30:00,174.41000366210938
2017-11-22 16:30:00,174.13999938964844
2017-11-22 17:30:00,174.25950622558594
2017-11-22 18:30:00,174.2899932861328
2017-11-22 19:30:00,174.52999877929688
2017-11-22 20:30:00,174.94000244140625
2017-11-24 14:30:00,175.14439392089844
2017-11-24 15:30:00,175.0399932861328
2017-11-24 16:30:00,175.0850067138672
2017-11-24 18:00:00,174.97999572753906
2017-11-27 14:30:00,174.6199951171875
2017-11-27 15:30:00,173.62879943847656
2017-11-27 16:30:00,174.25999450683594
2017-11-27 17:30:00,174.38499450683594
2017-11-27 18:30:00,174.11000061035156
2017-11-27 19:30:00,174.05999755859375
2017-11-27 20:30:00,174.0800018310547
2017-11-28 14:30:00,173.88999938964844
2017-11-28 15:30:00,172.9499969482422
2017-11-28 16:30:00,173.0491943359375
2017-11-28 17:30:00,172.90769958496094
2017-11-28 18:30:00,172.78579711914062
2017-11-28 19:30:00,172.91000366210938
2017-11-28 20:30:00,173.07000732421875
2017-11-29 14:30:00,169.91749572753906
2017-11-29 15:30:00,169.1300048828125
2017-11-29 16:30:00,168.4199981689453
2017-11-29 17:30:00,169.33999633789062
2017-11-29 18:30:00,168.6999969482422
2017-11-29 19:30:00,169.0500030517578
2017-11-29 20:30:00,169.47999572753906
2017-11-30 14:30:00,170.77000427246094
2017-11-30 15:30:00,170.82550048828125
2017-11-30 16:30:00,171.24000549316406
2017-11-30 17:30:00,171.8350067138672
2017-11-30 18:30:00,171.85000610351562
2017-11-30 19:30:00,171.6804962158203
2017-11-30 20:30:00,171.75999450683594
2017-12-01 14:30:00,171.4600067138672
2017-12-01 15:30:00,169.3800048828125
2017-12-01 16:30:00,169.97000122070312
2017-12-01 17:30:00,170.49000549316406
2017-12-01 18:30:00,170.97999572753906
2017-12-01 19:30:00,170.8000030517578
2017-12-01 20:30:00,171.0
2017-12-04 14:30:00,171.7899932861328
2017-12-04 15:30:00,171.11000061035156
2017-12-04 16:30:00,171.35000610351562
2017-12-04 17:30:00,171.24000549316406
2017-12-04 18:30:00,170.5500030517578
2017-12-04 19:30:00,170.64999389648438
2017-12-04 20:30:00,169.82000732421875
2017-12-05 14:30:00,170.3800048828125
2017-12-05 15:30:00,171.22999572753906
2017-12-05 16:30:00,170.7100067138672
2017-12-05 17:30:00,170.94000244140625
