Datetime,NFLX
2017-11-06 14:30:00,201.2949981689453
2017-11-06 15:30:00,201.60000610351562
2017-11-06 16:30:00,200.96499633789062
2017-11-06 17:30:00,201.5399932861328
2017-11-06 18:30:00,199.32000732421875
2017-11-06 19:30:00,199.72999572753906
2017-11-06 20:30:00,200.11000061035156
2017-11-08 14:30:00,195.52999877929688
2017-11-08 15:30:00,196.0
2017-11-08 16:30:00,195.8300018310547
2017-11-08 17:30:00,195.8800048828125
2017-11-08 18:30:00,195.35000610351562
2017-11-08 19:30:00,195.8300018310547
2017-11-08 20:30:00,196.4199981689453
2017-11-09 14:30:00,193.52999877929688
2017-11-09 15:30:00,192.8459930419922
2017-11-09 16:30:00,191.88999938964844
2017-11-09 17:30:00,191.50999450683594
2017-11-09 18:30:00,192.28900146484375
2017-11-09 19:30:00,193.1699981689453
2017-11-09 20:30:00,193.88999938964844
2017-11-10 14:30:00,190.27000427246094
2017-11-10 15:30:00,190.4375
2017-11-10 16:30:00,189.77999877929688
2017-11-10 17:30:00,190.19000244140625
2017-11-10 18:30:00,191.375
2017-11-10 19:30:00,191.8751983642578
2017-11-10 20:30:00,192.0399932861328
2017-11-13 14:30:00,193.67990112304688
2017-11-13 15:30:00,194.69020080566406
2017-11-13 16:30:00,194.96389770507812
2017-11-13 17:30:00,194.9595947265625
2017-11-13 18:30:00,195.74000549316406
2017-11-13 19:30:00,195.61000061035156
2017-11-13 20:30:00,195.07000732421875
2017-11-14 14:30:00,193.64999389648438
2017-11-14 15:30:00,194.75970458984375
2017-11-14 16:30:00,195.33200073242188
2017-11-14 17:30:00,193.8699951171875
2017-11-14 18:30:00,194.83999633789062
2017-11-14 19:30:00,195.36000061035156
2017-11-14 20:30:00,195.74000549316406
2017-11-15 14:30:00,195.02000427246094
2017-11-15 15:30:00,194.92999267578125
2017-11-15 16:30:00,194.32000732421875
2017-11-15 17:30:00,193.43600463867188
2017-11-15 18:30:00,193.0998992919922
2017-11-15 19:30:00,192.1199951171875
2017-11-15 20:30:00,192.10000610351562
2017-11-16 14:30:00,196.0
2017-11-16 15:30:00,197.02000427246094
2017-11-16 16:30:00,197.2050018310547
2017-11-16 17:30:00,196.41000366210938
2017-11-16 18:30:00,195.86000061035156
2017-11-16 19:30:00,195.72999572753906
2017-11-16 20:30:00,195.5800018310547
2017-11-17 14:30:00,194.0
2017-11-17 15:30:00,194.3206024169922
2017-11-17 16:30:00,194.02000427246094
2017-11-17 17:30:00,193.3699951171875
2017-11-17 18:30:00,193.33999633789062
2017-11-17 19:30:00,193.1199951171875
2017-11-17 20:30:00,193.1699981689453
2017-11-20 14:30:00,193.1199951171875
2017-11-20 15:30:00,192.7550048828125
2017-11-20 16:30:00,193.25999450683594
2017-11-20 17:30:00,193.77000427246094
2017-11-20 18:30:00,193.83999633789062
2017-11-20 19:30:00,193.49000549316406
2017-11-20 20:30:00,194.0800018310547
2017-11-21 14:30:00,196.6970977783203
2017-11-21 15:30:00,196.44000244140625
2017-11-21 16:30:00,196.0749969482422
2017-11-21 17:30:00,196.11279296875
2017-11-21 18:30:00,196.13999938964844
2017-11-21 19:30:00,195.92999267578125
2017-11-21 20:30:00,196.2100067138672
2017-11-22 14:30:00,194.11000061035156
2017-11-22 15:30:00,194.67999267578125
2017-11-22 16:30:00,194.69529724121094
2017-11-22 17:30:00,195.07400512695312
2017-11-22 18:30:00,196.22999572753906
2017-11-22 19:30:00,195.7899932861328
2017-11-22 20:30:00,196.38999938964844
2017-11-24 14:30:00,196.02999877929688
2017-11-24 15:30:00,195.97120666503906
2017-11-24 16:30:00,195.92999267578125
2017-11-24 18:00:00,195.60000610351562
2017-11-27 14:30:00,195.11000061035156
2017-11-27 15:30:00,194.0500030517578
2017-11-27 16:30:00,195.08999633789062
2017-11-27 17:30:00,195.19000244140625
2017-11-27 18:30:00,194.94000244140625
2017-11-27 19:30:00,195.0500030517578
2017-11-27 20:30:00,195.02000427246094
2017-11-28 14:30:00,194.75
2017-11-28 15:30:00,198.39999389648438
2017-11-28 16:30:00,199.46800231933594
2017-11-28 17:30:00,199.27000427246094
2017-11-28 18:30:00,198.60000610351562
2017-11-28 19:30:00,199.24000549316406
2017-11-28 20:30:00,199.1699981689453
2017-11-29 14:30:00,190.3300018310547
2017-11-29 15:30:00,188.36000061035156
2017-11-29 16:30:00,187.61000061035156
2017-11-29 17:30:00,190.5
2017-11-29 18:30:00,187.10000610351562
2017-11-29 19:30:00,188.26499938964844
2017-11-29 20:30:00,188.1699981689453
2017-11-30 14:30:00,189.39999389648438
2017-11-30 15:30:00,189.72950744628906
2017-11-30 16:30:00,189.94000244140625
2017-11-30 17:30:00,188.7519989013672
2017-11-30 18:30:00,188.94000244140625
2017-11-30 19:30:00,187.66000366210938
2017-11-30 20:30:00,187.5399932861328
2017-12-01 14:30:00,188.3800048828125
2017-12-01 15:30:00,185.89999389648438
2017-12-01 16:30:00,186.3800048828125
2017-12-01 17:30:00,186.4998016357422
2017-12-01 18:30:00,186.9550018310547
2017-12-01 19:30:00,186.6999969482422
2017-12-01 20:30:00,186.7899932861328
2017-12-04 14:30:00,183.2100067138672
2017-12-04 15:30:00,181.2552947998047
2017-12-04 16:30:00,183.25
2017-12-04 17:30:00,184.94000244140625
2017-12-04 18:30:00,184.67999267578125
2017-12-04 19:30:00,184.1300048828125
2017-12-04 20:30:00,184.0
2017-12-05 14:30:00,187.0
2017-12-05 15:30:00,187.63499450683594
2017-12-05 16:30:00,186.6999969482422
2017-12-05 17:30:00,186.69830322265625
