Datetime,AMAT
2017-11-06 14:30:00,56.04999923706055
2017-11-06 15:30:00,55.79499816894531
2017-11-06 16:30:00,55.95000076293945
2017-11-06 17:30:00,56.02000045776367
2017-11-06 18:30:00,56.06399917602539
2017-11-06 19:30:00,56.04499816894531
2017-11-06 20:30:00,56.33000183105469
2017-11-07 14:30:00,56.959999084472656
2017-11-07 15:30:00,56.869998931884766
2017-11-07 16:30:00,56.66999816894531
2017-11-07 17:30:00,56.720001220703125
2017-11-07 18:30:00,56.63999938964844
2017-11-07 19:30:00,56.424800872802734
2017-11-07 20:30:00,56.47999954223633
2017-11-08 14:30:00,56.61000061035156
2017-11-08 15:30:00,56.41999816894531
2017-11-08 16:30:00,56.56999969482422
2017-11-08 17:30:00,56.625
2017-11-08 18:30:00,56.974998474121094
2017-11-08 19:30:00,57.06999969482422
2017-11-08 20:30:00,56.91999816894531
2017-11-09 14:30:00,55.919898986816406
2017-11-09 15:30:00,55.63999938964844
2017-11-09 16:30:00,55.119998931884766
2017-11-09 17:30:00,55.400001525878906
2017-11-09 18:30:00,55.400001525878906
2017-11-09 19:30:00,55.375
2017-11-09 20:30:00,55.4900016784668
2017-11-10 14:30:00,55.599998474121094
2017-11-10 15:30:00,55.81999969482422
2017-11-10 16:30:00,56.08000183105469
2017-11-10 17:30:00,56.20000076293945
2017-11-10 18:30:00,56.45000076293945
2017-11-10 19:30:00,56.41999816894531
2017-11-10 20:30:00,56.34000015258789
2017-11-13 14:30:00,56.650001525878906
2017-11-13 15:30:00,56.630001068115234
2017-11-13 16:30:00,57.0
2017-11-13 17:30:00,56.91999816894531
2017-11-13 18:30:00,56.92499923706055
2017-11-13 19:30:00,57.0099983215332
2017-11-13 20:30:00,57.0099983215332
2017-11-14 14:30:00,56.380001068115234
2017-11-14 15:30:00,56.404998779296875
2017-11-14 16:30:00,56.3765983581543
2017-11-14 17:30:00,56.05500030517578
2017-11-14 18:30:00,56.34000015258789
2017-11-14 19:30:00,56.36000061035156
2017-11-14 20:30:00,56.41999816894531
2017-11-15 14:30:00,55.959999084472656
2017-11-15 15:30:00,56.04999923706055
2017-11-15 16:30:00,55.709999084472656
2017-11-15 17:30:00,55.779998779296875
2017-11-15 18:30:00,55.97999954223633
2017-11-15 19:30:00,55.869998931884766
2017-11-15 20:30:00,55.77000045776367
2017-11-16 14:30:00,57.369998931884766
2017-11-16 15:30:00,57.29999923706055
2017-11-16 16:30:00,57.689998626708984
2017-11-16 17:30:00,57.665000915527344
2017-11-16 18:30:00,57.8911018371582
2017-11-16 19:30:00,57.88999938964844
2017-11-16 20:30:00,57.81999969482422
2017-11-17 14:30:00,57.415000915527344
2017-11-17 15:30:00,57.33000183105469
2017-11-17 16:30:00,57.27450180053711
2017-11-17 17:30:00,57.27000045776367
2017-11-17 18:30:00,56.775001525878906
2017-11-17 19:30:00,56.349998474121094
2017-11-17 20:30:00,56.5
2017-11-20 14:30:00,57.790000915527344
2017-11-20 15:30:00,57.97999954223633
2017-11-20 16:30:00,57.84989929199219
2017-11-20 17:30:00,57.86000061035156
2017-11-20 18:30:00,57.41999816894531
2017-11-20 19:30:00,57.48910140991211
2017-11-20 20:30:00,57.619998931884766
2017-11-21 14:30:00,58.61000061035156
2017-11-21 15:30:00,58.40999984741211
2017-11-21 16:30:00,58.52000045776367
2017-11-21 17:30:00,58.66999816894531
2017-11-21 18:30:00,58.72529983520508
2017-11-21 19:30:00,58.70500183105469
2017-11-21 20:30:00,58.79999923706055
2017-11-22 14:30:00,57.90999984741211
2017-11-22 15:30:00,57.78499984741211
2017-11-22 16:30:00,57.82360076904297
2017-11-22 17:30:00,57.709999084472656
2017-11-22 18:30:00,57.68000030517578
2017-11-22 19:30:00,57.665000915527344
2017-11-22 20:30:00,57.70000076293945
2017-11-24 14:30:00,57.849998474121094
2017-11-24 15:30:00,57.76350021362305
2017-11-24 16:30:00,57.82500076293945
2017-11-24 18:00:00,57.903099060058594
2017-11-27 14:30:00,56.91999816894531
2017-11-27 15:30:00,56.90999984741211
2017-11-27 16:30:00,57.130001068115234
2017-11-27 17:30:00,57.095001220703125
2017-11-27 18:30:00,57.15999984741211
2017-11-27 19:30:00,57.02000045776367
2017-11-27 20:30:00,56.939998626708984
2017-11-28 14:30:00,57.154998779296875
2017-11-28 15:30:00,57.119998931884766
2017-11-28 16:30:00,57.345001220703125
2017-11-28 17:30:00,57.2599983215332
2017-11-28 18:30:00,57.40999984741211
2017-11-28 19:30:00,57.415000915527344
2017-11-28 20:30:00,57.34000015258789
2017-11-29 14:30:00,53.540000915527344
2017-11-29 15:30:00,53.15999984741211
2017-11-29 16:30:00,53.279998779296875
2017-11-29 17:30:00,53.48899841308594
2017-11-29 18:30:00,52.650001525878906
2017-11-29 19:30:00,52.88990020751953
2017-11-29 20:30:00,52.90999984741211
2017-11-30 14:30:00,53.235801696777344
2017-11-30 15:30:00,53.06010055541992
2017-11-30 16:30:00,53.29999923706055
2017-11-30 17:30:00,53.040000915527344
2017-11-30 18:30:00,53.02000045776367
2017-11-30 19:30:00,52.709999084472656
2017-11-30 20:30:00,52.77000045776367
2017-12-01 14:30:00,51.84989929199219
2017-12-01 15:30:00,51.0099983215332
2017-12-01 16:30:00,51.349998474121094
2017-12-01 17:30:00,51.665000915527344
2017-12-01 18:30:00,51.82099914550781
2017-12-01 19:30:00,51.79999923706055
2017-12-01 20:30:00,51.900001525878906
2017-12-04 14:30:00,50.689998626708984
2017-12-04 15:30:00,50.064998626708984
2017-12-04 16:30:00,50.66999816894531
