Datetime,COST
2017-11-06 14:30:00,165.57000732421875
2017-11-06 15:30:00,165.6199951171875
2017-11-06 16:30:00,165.27999877929688
2017-11-06 17:30:00,165.88999938964844
2017-11-06 18:30:00,165.4600067138672
2017-11-06 19:30:00,165.2899932861328
2017-11-06 20:30:00,165.07000732421875
2017-11-07 14:30:00,165.75
2017-11-07 15:30:00,165.4499969482422
2017-11-07 16:30:00,165.5800018310547
2017-11-07 17:30:00,165.72999572753906
2017-11-07 18:30:00,165.97999572753906
2017-11-07 19:30:00,166.05999755859375
2017-11-07 20:30:00,166.27999877929688
2017-11-08 14:30:00,167.66000366210938
2017-11-08 15:30:00,167.3000030517578
2017-11-08 16:30:00,168.0800018310547
2017-11-08 17:30:00,167.77999877929688
2017-11-08 18:30:00,168.52999877929688
2017-11-08 19:30:00,168.9199981689453
2017-11-08 20:30:00,169.0319061279297
2017-11-09 14:30:00,167.42999267578125
2017-11-09 15:30:00,168.45370483398438
2017-11-09 16:30:00,168.25999450683594
2017-11-09 17:30:00,168.52000427246094
2017-11-09 18:30:00,169.0
2017-11-09 19:30:00,169.07000732421875
2017-11-09 20:30:00,169.11000061035156
2017-11-10 14:30:00,170.09190368652344
2017-11-10 15:30:00,170.26499938964844
2017-11-10 16:30:00,170.97999572753906
2017-11-10 17:30:00,170.91000366210938
2017-11-10 18:30:00,170.8000030517578
2017-11-10 19:30:00,171.24000549316406
2017-11-10 20:30:00,171.35000610351562
2017-11-13 14:30:00,172.69000244140625
2017-11-13 15:30:00,172.91000366210938
2017-11-13 16:30:00,172.75
2017-11-13 17:30:00,172.26499938964844
2017-11-13 18:30:00,172.27000427246094
2017-11-13 19:30:00,172.0500030517578
2017-11-13 20:30:00,171.4600067138672
2017-11-14 14:30:00,171.02999877929688
2017-11-14 15:30:00,171.1199951171875
2017-11-14 16:30:00,171.1002960205078
2017-11-14 17:30:00,171.22999572753906
2017-11-14 18:30:00,171.3699951171875
2017-11-14 19:30:00,171.22999572753906
2017-11-14 20:30:00,171.42999267578125
2017-11-15 14:30:00,169.66000366210938
2017-11-15 15:30:00,170.32000732421875
2017-11-15 16:30:00,170.1699981689453
2017-11-15 17:30:00,170.1199951171875
2017-11-15 18:30:00,169.52000427246094
2017-11-15 19:30:00,169.25
2017-11-15 20:30:00,168.97999572753906
2017-11-16 14:30:00,170.74000549316406
2017-11-16 15:30:00,170.4167022705078
2017-11-16 16:30:00,170.50999450683594
2017-11-16 17:30:00,170.63999938964844
2017-11-16 18:30:00,171.0500030517578
2017-11-16 19:30:00,170.87350463867188
2017-11-16 20:30:00,170.9600067138672
2017-11-17 14:30:00,171.52000427246094
2017-11-17 15:30:00,170.83999633789062
2017-11-17 16:30:00,171.1300048828125
2017-11-17 17:30:00,171.1999969482422
2017-11-17 18:30:00,171.02000427246094
2017-11-17 19:30:00,171.0399932861328
2017-11-17 20:30:00,170.97000122070312
2017-11-20 14:30:00,171.11000061035156
2017-11-20 15:30:00,171.02999877929688
2017-11-20 16:30:00,171.2899932861328
2017-11-20 17:30:00,172.02999877929688
2017-11-20 18:30:00,172.39999389648438
2017-11-20 19:30:00,172.1199951171875
2017-11-20 20:30:00,172.2899932861328
2017-11-21 14:30:00,173.8623046875
2017-11-21 15:30:00,173.44000244140625
2017-11-21 16:30:00,173.69000244140625
2017-11-21 17:30:00,173.55799865722656
2017-11-21 18:30:00,173.6199951171875
2017-11-21 19:30:00,173.41000366210938
2017-11-21 20:30:00,173.4199981689453
2017-11-22 14:30:00,172.41000366210938
2017-11-22 15:30:00,171.72000122070312
2017-11-22 16:30:00,172.41000366210938
2017-11-22 17:30:00,172.08880615234375
2017-11-22 18:30:00,172.49000549316406
2017-11-22 19:30:00,172.41000366210938
2017-11-22 20:30:00,172.47999572753906
2017-11-24 14:30:00,172.32000732421875
2017-11-24 15:30:00,171.57000732421875
2017-11-24 16:30:00,171.80999755859375
2017-11-24 18:00:00,171.5
2017-11-27 14:30:00,171.50999450683594
2017-11-27 15:30:00,172.23330688476562
2017-11-27 16:30:00,171.73550415039062
2017-11-27 17:30:00,171.88999938964844
2017-11-27 18:30:00,172.11000061035156
2017-11-27 19:30:00,172.2100067138672
2017-11-27 20:30:00,172.74000549316406
2017-11-28 14:30:00,172.61000061035156
2017-11-28 15:30:00,172.82940673828125
2017-11-28 16:30:00,173.7100067138672
2017-11-28 17:30:00,173.35499572753906
2017-11-28 18:30:00,173.41000366210938
2017-11-28 19:30:00,173.6699981689453
2017-11-28 20:30:00,173.58999633789062
2017-11-29 14:30:00,175.0800018310547
2017-11-29 15:30:00,175.66000366210938
2017-11-29 16:30:00,175.44000244140625
2017-11-29 17:30:00,176.30999755859375
2017-11-29 18:30:00,176.47500610351562
2017-11-29 19:30:00,176.57000732421875
2017-11-29 20:30:00,177.57000732421875
2017-11-30 14:30:00,182.5
2017-11-30 15:30:00,183.10220336914062
2017-11-30 16:30:00,183.72999572753906
2017-11-30 17:30:00,184.5
2017-11-30 18:30:00,184.08929443359375
2017-11-30 19:30:00,183.16000366210938
2017-11-30 20:30:00,184.30999755859375
2017-12-01 14:30:00,183.24000549316406
2017-12-01 15:30:00,181.3300018310547
2017-12-01 16:30:00,183.4499969482422
2017-12-01 17:30:00,185.0
2017-12-01 18:30:00,184.5970001220703
2017-12-01 19:30:00,184.625
2017-12-01 20:30:00,185.1199951171875
2017-12-04 14:30:00,188.66000366210938
2017-12-04 15:30:00,187.37899780273438
2017-12-04 16:30:00,188.11000061035156
2017-12-04 17:30:00,187.67999267578125
