Datetime,FOXA
2017-11-06 14:30:00,25.040000915527344
2017-11-06 15:30:00,24.950000762939453
2017-11-06 16:30:00,24.90999984741211
2017-11-06 17:30:00,24.915000915527344
2017-11-06 18:30:00,27.1299991607666
2017-11-06 19:30:00,27.25
2017-11-06 20:30:00,27.459999084472656
2017-11-07 14:30:00,28.440000534057617
2017-11-07 15:30:00,28.260000228881836
2017-11-07 16:30:00,28.270000457763672
2017-11-07 17:30:00,28.204999923706055
2017-11-07 18:30:00,28.225000381469727
2017-11-07 19:30:00,27.940000534057617
2017-11-07 20:30:00,27.760000228881836
2017-11-08 14:30:00,27.920000076293945
2017-11-08 15:30:00,27.6200008392334
2017-11-08 16:30:00,27.84000015258789
2017-11-08 17:30:00,27.8700008392334
2017-11-08 18:30:00,27.8799991607666
2017-11-08 19:30:00,27.834999084472656
2017-11-08 20:30:00,28.1200008392334
2017-11-09 14:30:00,29.010000228881836
2017-11-09 15:30:00,29.584400177001953
2017-11-09 16:30:00,29.1200008392334
2017-11-09 17:30:00,29.5049991607666
2017-11-09 18:30:00,29.389999389648438
2017-11-09 19:30:00,29.260000228881836
2017-11-09 20:30:00,28.71500015258789
2017-11-10 14:30:00,29.6200008392334
2017-11-10 15:30:00,29.420000076293945
2017-11-10 16:30:00,29.139999389648438
2017-11-10 17:30:00,28.94499969482422
2017-11-10 18:30:00,28.844999313354492
2017-11-10 19:30:00,28.8799991607666
2017-11-10 20:30:00,28.829999923706055
2017-11-13 14:30:00,28.739999771118164
2017-11-13 15:30:00,28.344999313354492
2017-11-13 16:30:00,28.309999465942383
2017-11-13 17:30:00,28.395000457763672
2017-11-13 18:30:00,28.420000076293945
2017-11-13 19:30:00,28.524999618530273
2017-11-13 20:30:00,28.549999237060547
2017-11-14 14:30:00,28.200000762939453
2017-11-14 15:30:00,28.190000534057617
2017-11-14 16:30:00,27.9950008392334
2017-11-14 17:30:00,27.8700008392334
2017-11-14 18:30:00,28.0
2017-11-14 19:30:00,28.059999465942383
2017-11-14 20:30:00,28.030000686645508
2017-11-15 14:30:00,27.610000610351562
2017-11-15 15:30:00,27.780000686645508
2017-11-15 16:30:00,27.739999771118164
2017-11-15 17:30:00,27.760000228881836
2017-11-15 18:30:00,28.200000762939453
2017-11-15 19:30:00,28.729999542236328
2017-11-15 20:30:00,28.739999771118164
2017-11-16 14:30:00,28.809999465942383
2017-11-16 15:30:00,29.399999618530273
2017-11-16 16:30:00,29.350000381469727
2017-11-16 17:30:00,29.3700008392334
2017-11-16 18:30:00,29.364999771118164
2017-11-16 19:30:00,29.43000030517578
2017-11-16 20:30:00,29.329999923706055
2017-11-17 14:30:00,30.469999313354492
2017-11-17 15:30:00,30.575000762939453
2017-11-17 16:30:00,30.469999313354492
2017-11-17 17:30:00,30.520000457763672
2017-11-17 18:30:00,30.709999084472656
2017-11-17 19:30:00,31.094999313354492
2017-11-17 20:30:00,31.139999389648438
2017-11-20 14:30:00,31.05500030517578
2017-11-20 15:30:00,30.850000381469727
2017-11-20 16:30:00,30.81999969482422
2017-11-20 17:30:00,30.93000030517578
2017-11-20 18:30:00,31.045000076293945
2017-11-20 19:30:00,30.537500381469727
2017-11-20 20:30:00,30.68000030517578
2017-11-21 14:30:00,30.829999923706055
2017-11-21 15:30:00,30.780000686645508
2017-11-21 16:30:00,30.93000030517578
2017-11-21 17:30:00,30.84000015258789
2017-11-21 18:30:00,30.834999084472656
2017-11-21 19:30:00,30.895000457763672
2017-11-21 20:30:00,30.8799991607666
2017-11-22 14:30:00,30.600000381469727
2017-11-22 15:30:00,30.739999771118164
2017-11-22 16:30:00,30.770000457763672
2017-11-22 17:30:00,30.719999313354492
2017-11-22 18:30:00,30.6200008392334
2017-11-22 19:30:00,30.709999084472656
2017-11-22 20:30:00,30.600000381469727
2017-11-24 14:30:00,30.6299991607666
2017-11-24 15:30:00,30.510000228881836
2017-11-24 16:30:00,30.424999237060547
2017-11-24 18:00:00,30.466299057006836
2017-11-27 14:30:00,30.459999084472656
2017-11-27 15:30:00,30.44499969482422
2017-11-27 16:30:00,30.469999313354492
2017-11-27 17:30:00,30.43000030517578
2017-11-27 18:30:00,30.3799991607666
2017-11-27 19:30:00,30.344999313354492
2017-11-27 20:30:00,30.389999389648438
2017-11-28 14:30:00,30.514999389648438
2017-11-28 15:30:00,30.4950008392334
2017-11-28 16:30:00,30.75149917602539
2017-11-28 17:30:00,30.610000610351562
2017-11-28 18:30:00,30.770000457763672
2017-11-28 19:30:00,30.809999465942383
2017-11-28 20:30:00,30.8700008392334
2017-11-29 14:30:00,31.670000076293945
2017-11-29 15:30:00,31.969999313354492
2017-11-29 16:30:00,32.02000045776367
2017-11-29 17:30:00,31.905000686645508
2017-11-29 18:30:00,31.84000015258789
2017-11-29 19:30:00,32.150001525878906
2017-11-29 20:30:00,32.10499954223633
2017-11-30 14:30:00,31.889999389648438
2017-11-30 15:30:00,31.93000030517578
2017-11-30 16:30:00,31.924999237060547
2017-11-30 17:30:00,31.6299991607666
2017-11-30 18:30:00,31.690000534057617
2017-11-30 19:30:00,31.645000457763672
2017-11-30 20:30:00,31.93000030517578
2017-12-01 14:30:00,31.389999389648438
2017-12-01 15:30:00,31.479999542236328
2017-12-01 16:30:00,32.03499984741211
2017-12-01 17:30:00,32.209999084472656
2017-12-01 18:30:00,32.33000183105469
2017-12-01 19:30:00,32.27000045776367
2017-12-01 20:30:00,32.189998626708984
2017-12-04 14:30:00,33.43000030517578
2017-12-04 15:30:00,33.70000076293945
2017-12-04 16:30:00,33.400001525878906
