Datetime,MAR
2017-11-06 14:30:00,121.69999694824219
2017-11-06 15:30:00,122.06999969482422
2017-11-06 16:30:00,122.30000305175781
2017-11-06 17:30:00,122.73999786376953
2017-11-06 18:30:00,122.45999908447266
2017-11-06 19:30:00,121.98999786376953
2017-11-06 20:30:00,121.98999786376953
2017-11-08 14:30:00,121.19999694824219
2017-11-08 15:30:00,120.79000091552734
2017-11-08 16:30:00,120.08000183105469
2017-11-08 17:30:00,119.4000015258789
2017-11-08 18:30:00,120.26000213623047
2017-11-08 19:30:00,120.04000091552734
2017-11-08 20:30:00,119.9800033569336
2017-11-09 14:30:00,119.58000183105469
2017-11-09 15:30:00,119.8499984741211
2017-11-09 16:30:00,118.66000366210938
2017-11-09 17:30:00,119.18000030517578
2017-11-09 18:30:00,118.66999816894531
2017-11-09 19:30:00,118.83000183105469
2017-11-09 20:30:00,118.83000183105469
2017-11-10 14:30:00,119.30999755859375
2017-11-10 15:30:00,119.58999633789062
2017-11-10 16:30:00,120.04000091552734
2017-11-10 17:30:00,120.62000274658203
2017-11-10 18:30:00,120.62999725341797
2017-11-10 19:30:00,120.41999816894531
2017-11-10 20:30:00,120.08000183105469
2017-11-13 14:30:00,120.0199966430664
2017-11-13 15:30:00,120.62999725341797
2017-11-13 16:30:00,120.57499694824219
2017-11-13 17:30:00,120.69000244140625
2017-11-13 18:30:00,120.47000122070312
2017-11-13 19:30:00,120.51000213623047
2017-11-13 20:30:00,120.37999725341797
2017-11-14 14:30:00,120.7699966430664
2017-11-14 15:30:00,121.54000091552734
2017-11-14 16:30:00,122.70999908447266
2017-11-14 17:30:00,122.87000274658203
2017-11-14 18:30:00,122.62000274658203
2017-11-14 19:30:00,122.6449966430664
2017-11-14 20:30:00,123.05000305175781
2017-11-15 14:30:00,122.0999984741211
2017-11-15 15:30:00,122.54000091552734
2017-11-15 16:30:00,122.7300033569336
2017-11-15 17:30:00,122.56999969482422
2017-11-15 18:30:00,122.52999877929688
2017-11-15 19:30:00,122.62000274658203
2017-11-15 20:30:00,122.26000213623047
2017-11-16 14:30:00,123.1500015258789
2017-11-16 15:30:00,123.1500015258789
2017-11-16 16:30:00,123.78500366210938
2017-11-16 17:30:00,123.51000213623047
2017-11-16 18:30:00,123.69999694824219
2017-11-16 19:30:00,124.25
2017-11-16 20:30:00,124.4000015258789
2017-11-17 14:30:00,125.22000122070312
2017-11-17 15:30:00,124.94999694824219
2017-11-17 16:30:00,124.95999908447266
2017-11-17 17:30:00,124.87999725341797
2017-11-17 18:30:00,125.12999725341797
2017-11-17 19:30:00,125.04000091552734
2017-11-17 20:30:00,125.4800033569336
2017-11-20 14:30:00,125.62999725341797
2017-11-20 15:30:00,125.97000122070312
2017-11-20 16:30:00,125.87000274658203
2017-11-20 17:30:00,125.9800033569336
2017-11-20 18:30:00,125.83999633789062
2017-11-20 19:30:00,125.80999755859375
2017-11-20 20:30:00,125.91999816894531
2017-11-21 14:30:00,127.7249984741211
2017-11-21 15:30:00,127.94999694824219
2017-11-21 16:30:00,127.86000061035156
2017-11-21 17:30:00,127.9800033569336
2017-11-21 18:30:00,128.19000244140625
2017-11-21 19:30:00,127.44999694824219
2017-11-21 20:30:00,127.62000274658203
2017-11-22 14:30:00,126.2300033569336
2017-11-22 15:30:00,126.23999786376953
2017-11-22 16:30:00,126.7699966430664
2017-11-22 17:30:00,126.54000091552734
2017-11-22 18:30:00,126.37000274658203
2017-11-22 19:30:00,126.81999969482422
2017-11-22 20:30:00,126.43000030517578
2017-11-24 14:30:00,126.6500015258789
2017-11-24 15:30:00,126.58000183105469
2017-11-24 16:30:00,126.6500015258789
2017-11-24 18:00:00,126.56690216064453
2017-11-27 14:30:00,127.08000183105469
2017-11-27 15:30:00,126.7300033569336
2017-11-27 16:30:00,127.0
2017-11-27 17:30:00,126.95999908447266
2017-11-27 18:30:00,127.16000366210938
2017-11-27 19:30:00,127.08999633789062
2017-11-27 20:30:00,126.94999694824219
2017-11-28 14:30:00,127.02999877929688
2017-11-28 15:30:00,126.94000244140625
2017-11-28 16:30:00,126.94999694824219
2017-11-28 17:30:00,126.97000122070312
2017-11-28 18:30:00,127.01000213623047
2017-11-28 19:30:00,126.97000122070312
2017-11-28 20:30:00,126.91100311279297
2017-11-29 14:30:00,126.83000183105469
2017-11-29 15:30:00,126.2300033569336
2017-11-29 16:30:00,126.41999816894531
2017-11-29 17:30:00,126.47000122070312
2017-11-29 18:30:00,126.57499694824219
2017-11-29 19:30:00,126.19000244140625
2017-11-29 20:30:00,126.51000213623047
2017-11-30 14:30:00,125.88999938964844
2017-11-30 15:30:00,126.66999816894531
2017-11-30 16:30:00,127.5999984741211
2017-11-30 17:30:00,127.72000122070312
2017-11-30 18:30:00,127.36499786376953
2017-11-30 19:30:00,127.22000122070312
2017-11-30 20:30:00,126.99099731445312
2017-12-01 14:30:00,127.06999969482422
2017-12-01 15:30:00,125.01000213623047
2017-12-01 16:30:00,126.08999633789062
2017-12-01 17:30:00,126.1500015258789
2017-12-01 18:30:00,126.4000015258789
2017-12-01 19:30:00,126.62999725341797
2017-12-01 20:30:00,126.81999969482422
2017-12-04 14:30:00,128.77000427246094
2017-12-04 15:30:00,128.4499969482422
2017-12-04 16:30:00,128.27000427246094
2017-12-04 17:30:00,128.44000244140625
2017-12-04 18:30:00,128.14999389648438
2017-12-04 19:30:00,128.1999969482422
2017-12-04 20:30:00,127.70999908447266
2017-12-05 14:30:00,128.42999267578125
2017-12-05 15:30:00,128.72999572753906
2017-12-05 16:30:00,128.64999389648438
