Datetime,ESRX
2017-11-06 14:30:00,60.43000030517578
2017-11-06 15:30:00,60.630001068115234
2017-11-06 16:30:00,60.58000183105469
2017-11-06 17:30:00,60.5
2017-11-06 18:30:00,60.68000030517578
2017-11-06 19:30:00,60.70000076293945
2017-11-06 20:30:00,60.619998931884766
2017-11-07 14:30:00,60.650001525878906
2017-11-07 15:30:00,60.689998626708984
2017-11-07 16:30:00,60.29999923706055
2017-11-07 17:30:00,60.380001068115234
2017-11-07 18:30:00,60.305999755859375
2017-11-07 19:30:00,60.40999984741211
2017-11-07 20:30:00,60.599998474121094
2017-11-08 14:30:00,60.54999923706055
2017-11-08 15:30:00,60.540000915527344
2017-11-08 16:30:00,60.54999923706055
2017-11-08 17:30:00,60.84000015258789
2017-11-08 18:30:00,61.11000061035156
2017-11-08 19:30:00,61.040000915527344
2017-11-08 20:30:00,61.290000915527344
2017-11-09 14:30:00,60.86000061035156
2017-11-09 15:30:00,60.63999938964844
2017-11-09 16:30:00,60.47999954223633
2017-11-09 17:30:00,60.63999938964844
2017-11-09 18:30:00,60.779998779296875
2017-11-09 19:30:00,60.79999923706055
2017-11-09 20:30:00,60.75
2017-11-10 14:30:00,60.28499984741211
2017-11-10 15:30:00,60.0
2017-11-10 16:30:00,59.529998779296875
2017-11-10 17:30:00,59.619998931884766
2017-11-10 18:30:00,59.77000045776367
2017-11-10 19:30:00,59.9900016784668
2017-11-10 20:30:00,60.060001373291016
2017-11-13 14:30:00,60.1349983215332
2017-11-13 15:30:00,60.619998931884766
2017-11-13 16:30:00,60.70000076293945
2017-11-13 17:30:00,60.54349899291992
2017-11-13 18:30:00,60.86000061035156
2017-11-13 19:30:00,61.27000045776367
2017-11-13 20:30:00,60.869998931884766
2017-11-14 14:30:00,59.7400016784668
2017-11-14 15:30:00,60.04999923706055
2017-11-14 16:30:00,60.119998931884766
2017-11-14 17:30:00,59.970001220703125
2017-11-14 18:30:00,60.29999923706055
2017-11-14 19:30:00,60.08000183105469
2017-11-14 20:30:00,60.27000045776367
2017-11-15 14:30:00,59.720001220703125
2017-11-15 15:30:00,60.185001373291016
2017-11-15 16:30:00,60.3650016784668
2017-11-15 17:30:00,60.04999923706055
2017-11-15 18:30:00,60.040000915527344
2017-11-15 19:30:00,60.11000061035156
2017-11-15 20:30:00,60.04999923706055
2017-11-16 14:30:00,61.560001373291016
2017-11-16 15:30:00,61.599998474121094
2017-11-16 16:30:00,62.0
2017-11-16 17:30:00,62.119998931884766
2017-11-16 18:30:00,62.459999084472656
2017-11-16 19:30:00,62.40999984741211
2017-11-16 20:30:00,62.439998626708984
2017-11-17 14:30:00,61.790000915527344
2017-11-17 15:30:00,61.7400016784668
2017-11-17 16:30:00,62.09000015258789
2017-11-17 17:30:00,62.06999969482422
2017-11-17 18:30:00,62.040000915527344
2017-11-17 19:30:00,61.9900016784668
2017-11-17 20:30:00,61.95500183105469
2017-11-20 14:30:00,61.52000045776367
2017-11-20 15:30:00,61.31999969482422
2017-11-20 16:30:00,61.209999084472656
2017-11-20 17:30:00,61.22999954223633
2017-11-20 18:30:00,61.540000915527344
2017-11-20 19:30:00,61.29999923706055
2017-11-20 20:30:00,61.43000030517578
2017-11-21 14:30:00,61.290000915527344
2017-11-21 15:30:00,61.119998931884766
2017-11-21 16:30:00,61.36000061035156
2017-11-21 17:30:00,61.459999084472656
2017-11-21 18:30:00,61.380001068115234
2017-11-21 19:30:00,61.29999923706055
2017-11-21 20:30:00,61.189998626708984
2017-11-22 14:30:00,62.34000015258789
2017-11-22 15:30:00,62.59000015258789
2017-11-22 16:30:00,62.5
2017-11-22 17:30:00,61.91999816894531
2017-11-22 18:30:00,62.20000076293945
2017-11-22 19:30:00,62.33000183105469
2017-11-22 20:30:00,62.119998931884766
2017-11-24 14:30:00,60.779998779296875
2017-11-24 15:30:00,61.25
2017-11-24 16:30:00,61.279998779296875
2017-11-24 18:00:00,61.125099182128906
2017-11-27 14:30:00,60.88999938964844
2017-11-27 15:30:00,61.08000183105469
2017-11-27 16:30:00,61.40999984741211
2017-11-27 17:30:00,61.2599983215332
2017-11-27 18:30:00,61.2400016784668
2017-11-27 19:30:00,61.43989944458008
2017-11-27 20:30:00,61.470001220703125
2017-11-28 14:30:00,60.83000183105469
2017-11-28 15:30:00,60.720001220703125
2017-11-28 16:30:00,61.04999923706055
2017-11-28 17:30:00,60.91999816894531
2017-11-28 18:30:00,61.2400016784668
2017-11-28 19:30:00,61.505001068115234
2017-11-28 20:30:00,61.439998626708984
2017-11-29 14:30:00,63.97999954223633
2017-11-29 15:30:00,64.2699966430664
2017-11-29 16:30:00,64.31999969482422
2017-11-29 17:30:00,63.630001068115234
2017-11-29 18:30:00,63.38999938964844
2017-11-29 19:30:00,62.185001373291016
2017-11-29 20:30:00,62.86000061035156
2017-11-30 14:30:00,63.279998779296875
2017-11-30 15:30:00,63.55500030517578
2017-11-30 16:30:00,64.11000061035156
2017-11-30 17:30:00,64.17500305175781
2017-11-30 18:30:00,64.41000366210938
2017-11-30 19:30:00,64.69000244140625
2017-11-30 20:30:00,65.19000244140625
2017-12-01 14:30:00,64.2300033569336
2017-12-01 15:30:00,63.84000015258789
2017-12-01 16:30:00,64.27239990234375
2017-12-01 17:30:00,64.58999633789062
2017-12-01 18:30:00,64.20999908447266
2017-12-01 19:30:00,64.3550033569336
2017-12-01 20:30:00,64.41999816894531
2017-12-04 14:30:00,67.97470092773438
2017-12-04 15:30:00,67.9000015258789
2017-12-04 16:30:00,67.33670043945312
2017-12-04 17:30:00,67.22000122070312
