Datetime,PCLN
2017-12-05 15:30:00,1737.0
2017-12-05 16:30:00,1733.8599853515625
2017-12-05 17:30:00,1730.094970703125
2017-12-05 18:30:00,1728.635009765625
2017-12-05 19:30:00,1726.699951171875
2017-12-05 20:30:00,1724.8699951171875
2017-12-06 14:30:00,1714.949951171875
2017-12-06 15:30:00,1721.0
2017-12-06 16:30:00,1721.0
2017-12-06 17:30:00,1716.9100341796875
2017-12-06 18:30:00,1720.52001953125
2017-12-06 19:30:00,1722.5799560546875
2017-12-06 20:30:00,1720.239990234375
2017-12-07 14:30:00,1700.0
2017-12-07 15:30:00,1710.0
2017-12-07 16:30:00,1716.02001953125
2017-12-07 17:30:00,1716.5
2017-12-07 18:30:00,1715.1400146484375
2017-12-07 19:30:00,1718.489990234375
2017-12-07 20:30:00,1720.0
2017-12-08 14:30:00,1730.9100341796875
2017-12-08 15:30:00,1728.5
2017-12-08 16:30:00,1730.0
2017-12-08 17:30:00,1726.530029296875
2017-12-08 18:30:00,1721.7972412109375
2017-12-08 19:30:00,1719.2099609375
2017-12-08 20:30:00,1718.5699462890625
2017-12-11 14:30:00,1728.93994140625
2017-12-11 15:30:00,1723.3701171875
2017-12-11 16:30:00,1722.3699951171875
2017-12-11 17:30:00,1719.9801025390625
2017-12-11 18:30:00,1717.35498046875
2017-12-11 19:30:00,1714.6800537109375
2017-12-11 20:30:00,1714.9599609375
2017-12-12 14:30:00,1729.1099853515625
2017-12-12 15:30:00,1731.75
2017-12-12 16:30:00,1726.5
2017-12-12 17:30:00,1726.9599609375
2017-12-12 18:30:00,1725.22998046875
2017-12-12 19:30:00,1724.52001953125
2017-12-12 20:30:00,1724.25
2017-12-13 14:30:00,1727.010009765625
2017-12-13 15:30:00,1729.1800537109375
2017-12-13 16:30:00,1728.6700439453125
2017-12-13 17:30:00,1727.5
2017-12-13 18:30:00,1733.800048828125
2017-12-13 19:30:00,1743.93994140625
2017-12-13 20:30:00,1744.885009765625
2017-12-14 14:30:00,1758.8399658203125
2017-12-14 15:30:00,1765.3499755859375
2017-12-14 16:30:00,1767.1300048828125
2017-12-14 17:30:00,1760.1099853515625
2017-12-14 18:30:00,1758.02001953125
2017-12-14 19:30:00,1764.2900390625
2017-12-14 20:30:00,1761.050048828125
2017-12-15 14:30:00,1763.969970703125
2017-12-15 15:30:00,1771.6199951171875
2017-12-15 16:30:00,1770.280029296875
2017-12-15 17:30:00,1774.614990234375
2017-12-15 18:30:00,1772.0799560546875
2017-12-15 19:30:00,1764.8499755859375
2017-12-15 20:30:00,1760.0
2017-12-18 14:30:00,1780.1300048828125
2017-12-18 15:30:00,1781.7999267578125
2017-12-18 16:30:00,1784.97998046875
2017-12-18 17:30:00,1786.405029296875
2017-12-18 18:30:00,1779.1300048828125
2017-12-18 19:30:00,1780.02001953125
2017-12-18 20:30:00,1781.1500244140625
2017-12-19 14:30:00,1773.7950439453125
2017-12-19 15:30:00,1789.9200439453125
2017-12-19 16:30:00,1788.6600341796875
2017-12-19 17:30:00,1790.3699951171875
2017-12-19 18:30:00,1786.469970703125
2017-12-19 19:30:00,1783.219970703125
2017-12-19 20:30:00,1781.8299560546875
2017-12-20 14:30:00,1782.9000244140625
2017-12-20 15:30:00,1775.3599853515625
2017-12-20 16:30:00,1775.18994140625
2017-12-20 17:30:00,1774.9100341796875
2017-12-20 18:30:00,1774.22998046875
2017-12-20 19:30:00,1775.175048828125
2017-12-20 20:30:00,1773.9300537109375
2017-12-21 14:30:00,1782.469970703125
2017-12-21 15:30:00,1782.489990234375
2017-12-21 16:30:00,1784.989990234375
2017-12-21 17:30:00,1788.3599853515625
2017-12-21 18:30:00,1785.8699951171875
2017-12-21 19:30:00,1781.4100341796875
2017-12-21 20:30:00,1779.9449462890625
2017-12-22 14:30:00,1779.574951171875
2017-12-22 15:30:00,1781.3875732421875
2017-12-22 16:30:00,1776.0
2017-12-22 17:30:00,1774.1700439453125
2017-12-22 18:30:00,1775.905029296875
2017-12-22 19:30:00,1777.4000244140625
2017-12-22 20:30:00,1774.93994140625
2017-12-26 14:30:00,1766.3299560546875
2017-12-26 15:30:00,1759.7099609375
2017-12-26 16:30:00,1757.1500244140625
2017-12-26 17:30:00,1756.3499755859375
2017-12-26 18:30:00,1756.2099609375
2017-12-26 19:30:00,1753.9599609375
2017-12-26 20:30:00,1754.4100341796875
2017-12-27 14:30:00,1754.2099609375
2017-12-27 15:30:00,1758.239990234375
2017-12-27 16:30:00,1755.905029296875
2017-12-27 17:30:00,1753.3900146484375
2017-12-27 18:30:00,1754.0
2017-12-27 19:30:00,1756.199951171875
2017-12-27 20:30:00,1757.489990234375
2017-12-28 14:30:00,1757.5
2017-12-28 15:30:00,1758.9949951171875
2017-12-28 16:30:00,1757.81005859375
2017-12-28 17:30:00,1760.81494140625
2017-12-28 18:30:00,1761.9100341796875
