Datetime,EBAY
2017-11-06 14:30:00,37.43000030517578
2017-11-06 15:30:00,37.529998779296875
2017-11-06 16:30:00,37.459999084472656
2017-11-06 17:30:00,37.494998931884766
2017-11-06 18:30:00,37.52000045776367
2017-11-06 19:30:00,37.44660186767578
2017-11-06 20:30:00,37.375
2017-11-07 14:30:00,37.400001525878906
2017-11-07 15:30:00,37.1349983215332
2017-11-07 16:30:00,37.220001220703125
2017-11-07 17:30:00,37.31999969482422
2017-11-07 18:30:00,37.2400016784668
2017-11-07 19:30:00,37.310001373291016
2017-11-07 20:30:00,37.400001525878906
2017-11-08 14:30:00,37.07500076293945
2017-11-08 15:30:00,37.025001525878906
2017-11-08 16:30:00,37.040000915527344
2017-11-08 17:30:00,37.06999969482422
2017-11-08 18:30:00,37.06999969482422
2017-11-08 19:30:00,37.060001373291016
2017-11-08 20:30:00,37.0099983215332
2017-11-09 14:30:00,35.810001373291016
2017-11-09 15:30:00,35.55500030517578
2017-11-09 16:30:00,35.505001068115234
2017-11-09 17:30:00,35.689998626708984
2017-11-09 18:30:00,35.75
2017-11-09 19:30:00,35.755001068115234
2017-11-09 20:30:00,35.68000030517578
2017-11-10 14:30:00,35.51499938964844
2017-11-10 15:30:00,35.77000045776367
2017-11-10 16:30:00,35.90999984741211
2017-11-10 17:30:00,35.78499984741211
2017-11-10 18:30:00,36.029998779296875
2017-11-10 19:30:00,35.970001220703125
2017-11-10 20:30:00,35.94499969482422
2017-11-13 14:30:00,35.65999984741211
2017-11-13 15:30:00,35.974998474121094
2017-11-13 16:30:00,36.02000045776367
2017-11-13 17:30:00,36.06999969482422
2017-11-13 18:30:00,35.939998626708984
2017-11-13 19:30:00,35.89500045776367
2017-11-13 20:30:00,35.84000015258789
2017-11-14 14:30:00,35.47999954223633
2017-11-14 15:30:00,35.380001068115234
2017-11-14 16:30:00,35.345001220703125
2017-11-14 17:30:00,35.33000183105469
2017-11-14 18:30:00,35.290000915527344
2017-11-14 19:30:00,35.26499938964844
2017-11-14 20:30:00,35.220001220703125
2017-11-15 14:30:00,35.060001373291016
2017-11-15 15:30:00,35.17499923706055
2017-11-15 16:30:00,35.29499816894531
2017-11-15 17:30:00,35.2400016784668
2017-11-15 18:30:00,35.32500076293945
2017-11-15 19:30:00,35.41999816894531
2017-11-15 20:30:00,35.29999923706055
2017-11-16 14:30:00,35.57500076293945
2017-11-16 15:30:00,35.540000915527344
2017-11-16 16:30:00,35.63999938964844
2017-11-16 17:30:00,35.66999816894531
2017-11-16 18:30:00,35.790000915527344
2017-11-16 19:30:00,35.63999938964844
2017-11-16 20:30:00,35.619998931884766
2017-11-17 14:30:00,35.380001068115234
2017-11-17 15:30:00,35.39500045776367
2017-11-17 16:30:00,35.5099983215332
2017-11-17 17:30:00,35.70000076293945
2017-11-17 18:30:00,35.63999938964844
2017-11-17 19:30:00,35.650001525878906
2017-11-17 20:30:00,35.58000183105469
2017-11-20 14:30:00,35.73500061035156
2017-11-20 15:30:00,35.8849983215332
2017-11-20 16:30:00,35.6150016784668
2017-11-20 17:30:00,35.58000183105469
2017-11-20 18:30:00,35.474998474121094
2017-11-20 19:30:00,35.41999816894531
2017-11-20 20:30:00,35.529998779296875
2017-11-21 14:30:00,35.68000030517578
2017-11-21 15:30:00,35.779998779296875
2017-11-21 16:30:00,35.83000183105469
2017-11-21 17:30:00,35.900001525878906
2017-11-21 18:30:00,35.95000076293945
2017-11-21 19:30:00,35.970001220703125
2017-11-21 20:30:00,35.95000076293945
2017-11-22 14:30:00,36.11000061035156
2017-11-22 15:30:00,35.900001525878906
2017-11-22 16:30:00,36.040000915527344
2017-11-22 17:30:00,36.0099983215332
2017-11-22 18:30:00,35.942501068115234
2017-11-22 19:30:00,36.029998779296875
2017-11-22 20:30:00,35.93000030517578
2017-11-24 14:30:00,35.77000045776367
2017-11-24 15:30:00,35.80500030517578
2017-11-24 16:30:00,35.80500030517578
2017-11-24 18:00:00,35.83570098876953
2017-11-27 14:30:00,36.1349983215332
2017-11-27 15:30:00,35.95600128173828
2017-11-27 16:30:00,36.06079864501953
2017-11-27 17:30:00,36.05500030517578
2017-11-27 18:30:00,36.099998474121094
2017-11-27 19:30:00,36.125
2017-11-27 20:30:00,35.9900016784668
2017-11-28 14:30:00,35.91999816894531
2017-11-28 15:30:00,36.005001068115234
2017-11-28 16:30:00,36.16999816894531
2017-11-28 17:30:00,36.025001525878906
2017-11-28 18:30:00,35.95000076293945
2017-11-28 19:30:00,35.63999938964844
2017-11-28 20:30:00,35.5
2017-11-29 14:30:00,34.36000061035156
2017-11-29 15:30:00,34.209999084472656
2017-11-29 16:30:00,34.314998626708984
2017-11-29 17:30:00,34.599998474121094
2017-11-29 18:30:00,34.459999084472656
2017-11-29 19:30:00,34.45000076293945
2017-11-29 20:30:00,34.369998931884766
2017-11-30 14:30:00,35.029998779296875
2017-11-30 15:30:00,35.060001373291016
2017-11-30 16:30:00,35.08000183105469
2017-11-30 17:30:00,34.959999084472656
2017-11-30 18:30:00,34.845001220703125
2017-11-30 19:30:00,34.63999938964844
2017-11-30 20:30:00,34.650001525878906
2017-12-01 14:30:00,35.16999816894531
2017-12-01 15:30:00,34.720001220703125
2017-12-01 16:30:00,34.95000076293945
2017-12-01 17:30:00,35.099998474121094
2017-12-01 18:30:00,35.130001068115234
2017-12-01 19:30:00,35.154998779296875
2017-12-01 20:30:00,35.189998626708984
2017-12-04 14:30:00,35.53099822998047
2017-12-04 15:30:00,35.77000045776367
2017-12-04 16:30:00,35.77510070800781
