Datetime,JD
2017-11-06 14:30:00,38.869998931884766
2017-11-06 15:30:00,38.83000183105469
2017-11-06 16:30:00,38.81999969482422
2017-11-06 17:30:00,38.900001525878906
2017-11-06 18:30:00,38.8650016784668
2017-11-06 19:30:00,38.86000061035156
2017-11-06 20:30:00,39.0099983215332
2017-11-07 14:30:00,39.369998931884766
2017-11-07 15:30:00,39.459999084472656
2017-11-07 16:30:00,39.42499923706055
2017-11-07 17:30:00,39.61000061035156
2017-11-07 18:30:00,39.52000045776367
2017-11-07 19:30:00,39.70500183105469
2017-11-07 20:30:00,39.77000045776367
2017-11-08 14:30:00,40.029998779296875
2017-11-08 15:30:00,40.33000183105469
2017-11-08 16:30:00,40.71500015258789
2017-11-08 17:30:00,40.63999938964844
2017-11-08 18:30:00,40.4900016784668
2017-11-08 19:30:00,40.310001373291016
2017-11-08 20:30:00,40.33000183105469
2017-11-09 14:30:00,39.7400016784668
2017-11-09 15:30:00,39.59519958496094
2017-11-09 16:30:00,39.29999923706055
2017-11-09 17:30:00,39.2599983215332
2017-11-09 18:30:00,39.45000076293945
2017-11-09 19:30:00,39.52000045776367
2017-11-09 20:30:00,39.79999923706055
2017-11-10 14:30:00,39.46099853515625
2017-11-10 15:30:00,39.5099983215332
2017-11-10 16:30:00,39.849998474121094
2017-11-10 17:30:00,39.959999084472656
2017-11-10 18:30:00,40.150001525878906
2017-11-10 19:30:00,40.165000915527344
2017-11-10 20:30:00,39.939998626708984
2017-11-13 14:30:00,42.0099983215332
2017-11-13 15:30:00,41.939998626708984
2017-11-13 16:30:00,42.25979995727539
2017-11-13 17:30:00,41.900001525878906
2017-11-13 18:30:00,41.61000061035156
2017-11-13 19:30:00,41.65010070800781
2017-11-13 20:30:00,41.34000015258789
2017-11-14 14:30:00,39.599998474121094
2017-11-14 15:30:00,39.400001525878906
2017-11-14 16:30:00,38.5
2017-11-14 17:30:00,38.599998474121094
2017-11-14 18:30:00,38.619998931884766
2017-11-14 19:30:00,38.95000076293945
2017-11-14 20:30:00,38.90999984741211
2017-11-15 14:30:00,38.294498443603516
2017-11-15 15:30:00,38.61000061035156
2017-11-15 16:30:00,38.68000030517578
2017-11-15 17:30:00,38.66999816894531
2017-11-15 18:30:00,38.77000045776367
2017-11-15 19:30:00,39.119998931884766
2017-11-15 20:30:00,39.349998474121094
2017-11-16 14:30:00,40.09000015258789
2017-11-16 15:30:00,40.43000030517578
2017-11-16 16:30:00,40.470001220703125
2017-11-16 17:30:00,40.220001220703125
2017-11-16 18:30:00,40.27000045776367
2017-11-16 19:30:00,40.35499954223633
2017-11-16 20:30:00,40.220001220703125
2017-11-17 14:30:00,40.12919998168945
2017-11-17 15:30:00,40.529998779296875
2017-11-17 16:30:00,40.49440002441406
2017-11-17 17:30:00,40.5
2017-11-17 18:30:00,40.45000076293945
2017-11-17 19:30:00,40.290000915527344
2017-11-17 20:30:00,40.2599983215332
2017-11-20 14:30:00,39.22999954223633
2017-11-20 15:30:00,39.56999969482422
2017-11-20 16:30:00,39.209999084472656
2017-11-20 17:30:00,39.189998626708984
2017-11-20 18:30:00,39.310001373291016
2017-11-20 19:30:00,39.20000076293945
2017-11-20 20:30:00,39.189998626708984
2017-11-21 14:30:00,40.16999816894531
2017-11-21 15:30:00,40.0614013671875
2017-11-21 16:30:00,40.176300048828125
2017-11-21 17:30:00,40.15999984741211
2017-11-21 18:30:00,40.13999938964844
2017-11-21 19:30:00,39.98500061035156
2017-11-21 20:30:00,39.900001525878906
2017-11-22 14:30:00,39.849998474121094
2017-11-22 15:30:00,39.56999969482422
2017-11-22 16:30:00,39.77000045776367
2017-11-22 17:30:00,39.779998779296875
2017-11-22 18:30:00,39.93000030517578
2017-11-22 19:30:00,39.837100982666016
2017-11-22 20:30:00,39.78329849243164
2017-11-24 14:30:00,39.29499816894531
2017-11-24 15:30:00,39.43000030517578
2017-11-24 16:30:00,39.20709991455078
2017-11-24 18:00:00,39.220001220703125
2017-11-27 14:30:00,39.040000915527344
2017-11-27 15:30:00,38.810001373291016
2017-11-27 16:30:00,38.70000076293945
2017-11-27 17:30:00,38.82440185546875
2017-11-27 18:30:00,38.79499816894531
2017-11-27 19:30:00,38.7400016784668
2017-11-27 20:30:00,38.630001068115234
2017-11-28 14:30:00,38.52000045776367
2017-11-28 15:30:00,38.56999969482422
2017-11-28 16:30:00,38.744998931884766
2017-11-28 17:30:00,38.70000076293945
2017-11-28 18:30:00,38.70000076293945
2017-11-28 19:30:00,38.68000030517578
2017-11-28 20:30:00,38.56999969482422
2017-11-29 14:30:00,37.400001525878906
2017-11-29 15:30:00,37.39500045776367
2017-11-29 16:30:00,37.619998931884766
2017-11-29 17:30:00,37.83000183105469
2017-11-29 18:30:00,37.654998779296875
2017-11-29 19:30:00,37.66999816894531
2017-11-29 20:30:00,37.81999969482422
2017-11-30 14:30:00,37.54999923706055
2017-11-30 15:30:00,37.5099983215332
2017-11-30 16:30:00,37.529998779296875
2017-11-30 17:30:00,37.56999969482422
2017-11-30 18:30:00,37.70439910888672
2017-11-30 19:30:00,37.642398834228516
2017-11-30 20:30:00,37.45000076293945
2017-12-01 14:30:00,37.125
2017-12-01 15:30:00,37.33000183105469
2017-12-01 16:30:00,37.244998931884766
2017-12-01 17:30:00,37.32500076293945
2017-12-01 18:30:00,37.32500076293945
2017-12-01 19:30:00,37.27000045776367
2017-12-01 20:30:00,37.2599983215332
2017-12-04 14:30:00,37.15010070800781
2017-12-04 15:30:00,37.130001068115234
2017-12-04 16:30:00,37.08000183105469
