Datetime,ADSK
2017-11-06 14:30:00,123.98999786376953
2017-11-06 15:30:00,124.05999755859375
2017-11-06 16:30:00,123.58000183105469
2017-11-06 17:30:00,123.48999786376953
2017-11-06 18:30:00,123.63999938964844
2017-11-06 19:30:00,123.99500274658203
2017-11-06 20:30:00,123.77999877929688
2017-11-07 14:30:00,123.7699966430664
2017-11-07 15:30:00,122.93000030517578
2017-11-07 16:30:00,122.83999633789062
2017-11-07 17:30:00,123.0
2017-11-07 18:30:00,122.9811019897461
2017-11-07 19:30:00,123.08000183105469
2017-11-07 20:30:00,123.37000274658203
2017-11-08 14:30:00,123.55000305175781
2017-11-08 15:30:00,123.87999725341797
2017-11-08 16:30:00,123.9800033569336
2017-11-08 17:30:00,123.94999694824219
2017-11-08 18:30:00,123.95999908447266
2017-11-08 19:30:00,123.97000122070312
2017-11-08 20:30:00,123.83000183105469
2017-11-09 14:30:00,122.625
2017-11-09 15:30:00,121.73500061035156
2017-11-09 16:30:00,120.560302734375
2017-11-09 17:30:00,121.06999969482422
2017-11-09 18:30:00,121.12999725341797
2017-11-09 19:30:00,121.56999969482422
2017-11-09 20:30:00,122.38999938964844
2017-11-10 14:30:00,122.47000122070312
2017-11-10 15:30:00,122.4000015258789
2017-11-10 16:30:00,122.83999633789062
2017-11-10 17:30:00,122.8499984741211
2017-11-10 18:30:00,123.01000213623047
2017-11-10 19:30:00,122.91000366210938
2017-11-10 20:30:00,123.11000061035156
2017-11-13 14:30:00,123.51000213623047
2017-11-13 15:30:00,123.72000122070312
2017-11-13 16:30:00,124.20999908447266
2017-11-13 17:30:00,124.0
2017-11-13 18:30:00,124.08000183105469
2017-11-13 19:30:00,124.80999755859375
2017-11-13 20:30:00,124.6500015258789
2017-11-14 14:30:00,124.02999877929688
2017-11-14 15:30:00,123.5999984741211
2017-11-14 16:30:00,124.05500030517578
2017-11-14 17:30:00,123.5250015258789
2017-11-14 18:30:00,123.875
2017-11-14 19:30:00,123.63999938964844
2017-11-14 20:30:00,123.87999725341797
2017-11-15 14:30:00,124.2699966430664
2017-11-15 15:30:00,124.97000122070312
2017-11-15 16:30:00,124.18000030517578
2017-11-15 17:30:00,123.91999816894531
2017-11-15 18:30:00,124.23999786376953
2017-11-15 19:30:00,124.04000091552734
2017-11-15 20:30:00,124.05000305175781
2017-11-16 14:30:00,125.3949966430664
2017-11-16 15:30:00,125.87999725341797
2017-11-16 16:30:00,125.96499633789062
2017-11-16 17:30:00,126.08000183105469
2017-11-16 18:30:00,126.41000366210938
2017-11-16 19:30:00,126.38500213623047
2017-11-16 20:30:00,126.98999786376953
2017-11-17 14:30:00,127.18000030517578
2017-11-17 15:30:00,127.25499725341797
2017-11-17 16:30:00,127.11000061035156
2017-11-17 17:30:00,127.27999877929688
2017-11-17 18:30:00,127.38999938964844
2017-11-17 19:30:00,127.29000091552734
2017-11-17 20:30:00,127.51000213623047
2017-11-20 14:30:00,127.2300033569336
2017-11-20 15:30:00,127.58000183105469
2017-11-20 16:30:00,127.36000061035156
2017-11-20 17:30:00,127.08999633789062
2017-11-20 18:30:00,127.1500015258789
2017-11-20 19:30:00,126.45999908447266
2017-11-20 20:30:00,126.29000091552734
2017-11-21 14:30:00,127.33000183105469
2017-11-21 15:30:00,127.22000122070312
2017-11-21 16:30:00,127.62249755859375
2017-11-21 17:30:00,127.5199966430664
2017-11-21 18:30:00,127.66000366210938
2017-11-21 19:30:00,127.5
2017-11-21 20:30:00,127.69999694824219
2017-11-22 14:30:00,127.94999694824219
2017-11-22 15:30:00,127.58499908447266
2017-11-22 16:30:00,127.1500015258789
2017-11-22 17:30:00,127.19999694824219
2017-11-22 18:30:00,127.12000274658203
2017-11-22 19:30:00,127.55000305175781
2017-11-22 20:30:00,127.7699966430664
2017-11-24 14:30:00,128.2550048828125
2017-11-24 15:30:00,128.5500030517578
2017-11-24 16:30:00,128.89999389648438
2017-11-24 18:00:00,129.47999572753906
2017-11-27 14:30:00,129.8800048828125
2017-11-27 15:30:00,129.5240020751953
2017-11-27 16:30:00,129.72999572753906
2017-11-27 17:30:00,129.47999572753906
2017-11-27 18:30:00,129.4199981689453
2017-11-27 19:30:00,129.8699951171875
2017-11-27 20:30:00,130.27000427246094
2017-11-28 14:30:00,128.89999389648438
2017-11-28 15:30:00,129.17999267578125
2017-11-28 16:30:00,129.16000366210938
2017-11-28 17:30:00,128.41000366210938
2017-11-28 18:30:00,129.00990295410156
2017-11-28 19:30:00,130.00999450683594
2017-11-28 20:30:00,129.9600067138672
2017-11-29 14:30:00,108.27010345458984
2017-11-29 15:30:00,110.37000274658203
2017-11-29 16:30:00,109.77999877929688
2017-11-29 17:30:00,108.54969787597656
2017-11-29 18:30:00,106.47000122070312
2017-11-29 19:30:00,108.94000244140625
2017-11-29 20:30:00,109.33000183105469
2017-11-30 14:30:00,107.51000213623047
2017-11-30 15:30:00,108.55999755859375
2017-11-30 16:30:00,109.4000015258789
2017-11-30 17:30:00,108.86000061035156
2017-11-30 18:30:00,111.05999755859375
2017-11-30 19:30:00,110.16000366210938
2017-11-30 20:30:00,109.62999725341797
2017-12-01 14:30:00,108.5
2017-12-01 15:30:00,107.02999877929688
2017-12-01 16:30:00,109.12000274658203
2017-12-01 17:30:00,109.0
2017-12-01 18:30:00,108.26000213623047
2017-12-01 19:30:00,107.19999694824219
2017-12-01 20:30:00,107.05000305175781
2017-12-04 14:30:00,106.37000274658203
2017-12-04 15:30:00,106.55999755859375
2017-12-04 16:30:00,107.08000183105469
2017-12-04 17:30:00,107.98999786376953
