Datetime,ATVI
2017-11-06 14:30:00,63.060001373291016
2017-11-06 15:30:00,61.814998626708984
2017-11-06 16:30:00,61.63999938964844
2017-11-06 17:30:00,61.11000061035156
2017-11-06 18:30:00,61.119998931884766
2017-11-06 19:30:00,60.970001220703125
2017-11-06 20:30:00,60.880001068115234
2017-11-08 14:30:00,63.4900016784668
2017-11-08 15:30:00,64.04000091552734
2017-11-08 16:30:00,64.41999816894531
2017-11-08 17:30:00,64.46499633789062
2017-11-08 18:30:00,64.48899841308594
2017-11-08 19:30:00,64.69000244140625
2017-11-08 20:30:00,64.55999755859375
2017-11-09 14:30:00,63.36000061035156
2017-11-09 15:30:00,63.2400016784668
2017-11-09 16:30:00,62.91999816894531
2017-11-09 17:30:00,63.16999816894531
2017-11-09 18:30:00,63.11000061035156
2017-11-09 19:30:00,63.20000076293945
2017-11-09 20:30:00,63.310001373291016
2017-11-10 14:30:00,62.47999954223633
2017-11-10 15:30:00,62.5900993347168
2017-11-10 16:30:00,62.47999954223633
2017-11-10 17:30:00,62.720001220703125
2017-11-10 18:30:00,62.790000915527344
2017-11-10 19:30:00,62.959999084472656
2017-11-10 20:30:00,63.0
2017-11-13 14:30:00,63.099998474121094
2017-11-13 15:30:00,63.2599983215332
2017-11-13 16:30:00,63.61000061035156
2017-11-13 17:30:00,63.63999938964844
2017-11-13 18:30:00,63.597198486328125
2017-11-13 19:30:00,63.6150016784668
2017-11-13 20:30:00,63.619998931884766
2017-11-14 14:30:00,63.5
2017-11-14 15:30:00,64.06999969482422
2017-11-14 16:30:00,64.2699966430664
2017-11-14 17:30:00,63.959999084472656
2017-11-14 18:30:00,64.23999786376953
2017-11-14 19:30:00,63.83000183105469
2017-11-14 20:30:00,64.0199966430664
2017-11-15 14:30:00,63.0099983215332
2017-11-15 15:30:00,62.90999984741211
2017-11-15 16:30:00,62.81999969482422
2017-11-15 17:30:00,62.7599983215332
2017-11-15 18:30:00,62.915000915527344
2017-11-15 19:30:00,62.939998626708984
2017-11-15 20:30:00,62.900001525878906
2017-11-16 14:30:00,63.79999923706055
2017-11-16 15:30:00,64.20999908447266
2017-11-16 16:30:00,64.14029693603516
2017-11-16 17:30:00,64.25
2017-11-16 18:30:00,64.16000366210938
2017-11-16 19:30:00,64.20500183105469
2017-11-16 20:30:00,64.12000274658203
2017-11-17 14:30:00,63.959999084472656
2017-11-17 15:30:00,63.630001068115234
2017-11-17 16:30:00,63.650001525878906
2017-11-17 17:30:00,63.77000045776367
2017-11-17 18:30:00,64.01000213623047
2017-11-17 19:30:00,64.0199966430664
2017-11-17 20:30:00,64.08999633789062
2017-11-20 14:30:00,63.6150016784668
2017-11-20 15:30:00,63.779998779296875
2017-11-20 16:30:00,63.869998931884766
2017-11-20 17:30:00,63.79499816894531
2017-11-20 18:30:00,63.7599983215332
2017-11-20 19:30:00,63.79999923706055
2017-11-20 20:30:00,63.959999084472656
2017-11-21 14:30:00,64.66000366210938
2017-11-21 15:30:00,64.7300033569336
2017-11-21 16:30:00,64.66000366210938
2017-11-21 17:30:00,64.5
2017-11-21 18:30:00,64.27999877929688
2017-11-21 19:30:00,64.41000366210938
2017-11-21 20:30:00,64.48999786376953
2017-11-22 14:30:00,66.16500091552734
2017-11-22 15:30:00,65.62000274658203
2017-11-22 16:30:00,65.41500091552734
2017-11-22 17:30:00,65.30000305175781
2017-11-22 18:30:00,65.1500015258789
2017-11-22 19:30:00,65.11070251464844
2017-11-22 20:30:00,65.13999938964844
2017-11-24 14:30:00,65.97000122070312
2017-11-24 15:30:00,65.95999908447266
2017-11-24 16:30:00,66.12000274658203
2017-11-24 18:00:00,66.00740051269531
2017-11-27 14:30:00,65.83000183105469
2017-11-27 15:30:00,65.81500244140625
2017-11-27 16:30:00,66.01000213623047
2017-11-27 17:30:00,65.87000274658203
2017-11-27 18:30:00,65.80999755859375
2017-11-27 19:30:00,65.87999725341797
2017-11-27 20:30:00,65.75
2017-11-28 14:30:00,66.06999969482422
2017-11-28 15:30:00,66.05999755859375
2017-11-28 16:30:00,66.36000061035156
2017-11-28 17:30:00,66.27999877929688
2017-11-28 18:30:00,66.18900299072266
2017-11-28 19:30:00,65.97000122070312
2017-11-28 20:30:00,65.97000122070312
2017-11-29 14:30:00,62.83000183105469
2017-11-29 15:30:00,62.599998474121094
2017-11-29 16:30:00,62.720001220703125
2017-11-29 17:30:00,63.04999923706055
2017-11-29 18:30:00,62.84000015258789
2017-11-29 19:30:00,62.32500076293945
2017-11-29 20:30:00,62.0099983215332
2017-11-30 14:30:00,61.630001068115234
2017-11-30 15:30:00,61.599998474121094
2017-11-30 16:30:00,62.08000183105469
2017-11-30 17:30:00,61.86000061035156
2017-11-30 18:30:00,62.04999923706055
2017-11-30 19:30:00,62.209999084472656
2017-11-30 20:30:00,62.400001525878906
2017-12-01 14:30:00,62.380001068115234
2017-12-01 15:30:00,61.31999969482422
2017-12-01 16:30:00,61.619998931884766
2017-12-01 17:30:00,61.83000183105469
2017-12-01 18:30:00,61.77640151977539
2017-12-01 19:30:00,61.70000076293945
2017-12-01 20:30:00,61.939998626708984
2017-12-04 14:30:00,59.900001525878906
2017-12-04 15:30:00,59.2760009765625
2017-12-04 16:30:00,58.744998931884766
2017-12-04 17:30:00,59.400001525878906
2017-12-04 18:30:00,59.18000030517578
2017-12-04 19:30:00,58.560001373291016
2017-12-04 20:30:00,58.61000061035156
2017-12-05 14:30:00,60.220001220703125
2017-12-05 15:30:00,60.27000045776367
2017-12-05 16:30:00,60.2599983215332
