Datetime,QVCA
2017-11-06 14:30:00,22.469999313354492
2017-11-06 15:30:00,22.385000228881836
2017-11-06 16:30:00,22.399999618530273
2017-11-06 17:30:00,22.31999969482422
2017-11-06 18:30:00,22.270000457763672
2017-11-06 19:30:00,22.28499984741211
2017-11-06 20:30:00,22.225000381469727
2017-11-07 14:30:00,21.981199264526367
2017-11-07 15:30:00,21.790000915527344
2017-11-07 16:30:00,21.690000534057617
2017-11-07 17:30:00,21.684999465942383
2017-11-07 18:30:00,21.59000015258789
2017-11-07 19:30:00,21.510000228881836
2017-11-07 20:30:00,21.540000915527344
2017-11-08 14:30:00,21.450000762939453
2017-11-08 15:30:00,21.860000610351562
2017-11-08 16:30:00,21.860000610351562
2017-11-08 17:30:00,21.889999389648438
2017-11-08 18:30:00,21.69499969482422
2017-11-08 19:30:00,21.5049991607666
2017-11-08 20:30:00,21.549999237060547
2017-11-09 14:30:00,22.790000915527344
2017-11-09 15:30:00,23.34000015258789
2017-11-09 16:30:00,23.290000915527344
2017-11-09 17:30:00,23.520000457763672
2017-11-09 18:30:00,23.170000076293945
2017-11-09 19:30:00,23.399999618530273
2017-11-09 20:30:00,23.260000228881836
2017-11-10 14:30:00,23.739999771118164
2017-11-10 15:30:00,23.93000030517578
2017-11-10 16:30:00,23.84000015258789
2017-11-10 17:30:00,23.93000030517578
2017-11-10 18:30:00,23.950000762939453
2017-11-10 19:30:00,24.065000534057617
2017-11-10 20:30:00,23.915000915527344
2017-11-13 14:30:00,24.149999618530273
2017-11-13 15:30:00,23.959999084472656
2017-11-13 16:30:00,23.649999618530273
2017-11-13 17:30:00,23.53499984741211
2017-11-13 18:30:00,23.5
2017-11-13 19:30:00,23.459999084472656
2017-11-13 20:30:00,23.424999237060547
2017-11-14 14:30:00,23.56999969482422
2017-11-14 15:30:00,23.579999923706055
2017-11-14 16:30:00,23.530000686645508
2017-11-14 17:30:00,23.56999969482422
2017-11-14 18:30:00,23.649999618530273
2017-11-14 19:30:00,23.799999237060547
2017-11-14 20:30:00,23.729999542236328
2017-11-15 14:30:00,23.6200008392334
2017-11-15 15:30:00,23.899999618530273
2017-11-15 16:30:00,24.010000228881836
2017-11-15 17:30:00,23.950000762939453
2017-11-15 18:30:00,23.719999313354492
2017-11-15 19:30:00,23.59000015258789
2017-11-15 20:30:00,23.575000762939453
2017-11-16 14:30:00,23.9950008392334
2017-11-16 15:30:00,24.21500015258789
2017-11-16 16:30:00,24.280000686645508
2017-11-16 17:30:00,24.225000381469727
2017-11-16 18:30:00,24.360000610351562
2017-11-16 19:30:00,24.389999389648438
2017-11-16 20:30:00,24.219999313354492
2017-11-17 14:30:00,24.346200942993164
2017-11-17 15:30:00,24.389999389648438
2017-11-17 16:30:00,24.649999618530273
2017-11-17 17:30:00,24.790000915527344
2017-11-17 18:30:00,24.8799991607666
2017-11-17 19:30:00,24.80500030517578
2017-11-17 20:30:00,24.8700008392334
2017-11-20 14:30:00,24.80500030517578
2017-11-20 15:30:00,24.850000381469727
2017-11-20 16:30:00,24.80500030517578
2017-11-20 17:30:00,24.969999313354492
2017-11-20 18:30:00,24.950000762939453
2017-11-20 19:30:00,25.049999237060547
2017-11-20 20:30:00,25.139999389648438
2017-11-21 14:30:00,25.040000915527344
2017-11-21 15:30:00,25.045000076293945
2017-11-21 16:30:00,25.020000457763672
2017-11-21 17:30:00,24.989999771118164
2017-11-21 18:30:00,25.104999542236328
2017-11-21 19:30:00,25.149999618530273
2017-11-21 20:30:00,25.139999389648438
2017-11-22 14:30:00,25.06999969482422
2017-11-22 15:30:00,25.100000381469727
2017-11-22 16:30:00,24.93000030517578
2017-11-22 17:30:00,24.8700008392334
2017-11-22 18:30:00,24.84000015258789
2017-11-22 19:30:00,24.890100479125977
2017-11-22 20:30:00,24.93000030517578
2017-11-24 14:30:00,24.889999389648438
2017-11-24 15:30:00,24.649999618530273
2017-11-24 16:30:00,24.770000457763672
2017-11-24 17:30:00,24.81999969482422
2017-11-27 14:30:00,24.594999313354492
2017-11-27 15:30:00,24.469999313354492
2017-11-27 16:30:00,24.40999984741211
2017-11-27 17:30:00,24.3700008392334
2017-11-27 18:30:00,24.264999389648438
2017-11-27 19:30:00,24.219999313354492
2017-11-27 20:30:00,24.299999237060547
2017-11-28 14:30:00,24.1299991607666
2017-11-28 15:30:00,24.200000762939453
2017-11-28 16:30:00,24.265199661254883
2017-11-28 17:30:00,24.079999923706055
2017-11-28 18:30:00,24.110000610351562
2017-11-28 19:30:00,24.31100082397461
2017-11-28 20:30:00,24.34000015258789
2017-11-29 14:30:00,24.665000915527344
2017-11-29 15:30:00,24.799999237060547
2017-11-29 16:30:00,24.790000915527344
2017-11-29 17:30:00,24.670000076293945
2017-11-29 18:30:00,24.565099716186523
2017-11-29 19:30:00,24.469999313354492
2017-11-29 20:30:00,24.459999084472656
2017-11-30 14:30:00,24.389999389648438
2017-11-30 15:30:00,24.489999771118164
2017-11-30 16:30:00,24.489999771118164
2017-11-30 17:30:00,24.479999542236328
2017-11-30 18:30:00,24.493000030517578
2017-11-30 19:30:00,24.299999237060547
2017-11-30 20:30:00,24.389999389648438
2017-12-01 14:30:00,24.350000381469727
2017-12-01 15:30:00,23.93000030517578
2017-12-01 16:30:00,24.280000686645508
2017-12-01 17:30:00,24.43000030517578
2017-12-01 18:30:00,24.489999771118164
2017-12-01 19:30:00,24.610000610351562
2017-12-01 20:30:00,24.709999084472656
2017-12-04 14:30:00,24.969999313354492
2017-12-04 15:30:00,25.15999984741211
2017-12-04 16:30:00,24.959999084472656
