Datetime,TSLA
2017-12-04 18:30:00,306.70001220703125
2017-12-04 19:30:00,306.760009765625
2017-12-04 20:30:00,305.30999755859375
2017-12-05 14:30:00,305.7699890136719
2017-12-05 15:30:00,306.4100036621094
2017-12-05 16:30:00,305.2550048828125
2017-12-05 17:30:00,305.6199951171875
2017-12-05 18:30:00,305.314697265625
2017-12-05 19:30:00,304.0
2017-12-05 20:30:00,303.69000244140625
2017-12-06 14:30:00,304.1000061035156
2017-12-06 15:30:00,306.0
2017-12-06 16:30:00,307.4949951171875
2017-12-06 17:30:00,308.95001220703125
2017-12-06 18:30:00,312.25
2017-12-06 19:30:00,312.75
2017-12-06 20:30:00,313.2799987792969
2017-12-07 14:30:00,317.239990234375
2017-12-07 15:30:00,316.1499938964844
2017-12-07 16:30:00,315.6072082519531
2017-12-07 17:30:00,313.9700012207031
2017-12-07 18:30:00,312.135009765625
2017-12-07 19:30:00,311.760009765625
2017-12-07 20:30:00,311.25
2017-12-08 14:30:00,314.79998779296875
2017-12-08 15:30:00,314.510009765625
2017-12-08 16:30:00,314.47369384765625
2017-12-08 17:30:00,313.6015930175781
2017-12-08 18:30:00,312.32000732421875
2017-12-08 19:30:00,313.4396057128906
2017-12-08 20:30:00,315.04998779296875
2017-12-11 14:30:00,322.7029113769531
2017-12-11 15:30:00,325.3807067871094
2017-12-11 16:30:00,327.6600036621094
2017-12-11 17:30:00,326.697998046875
2017-12-11 18:30:00,327.3599853515625
2017-12-11 19:30:00,326.5899963378906
2017-12-11 20:30:00,328.82000732421875
2017-12-12 14:30:00,336.1099853515625
2017-12-12 15:30:00,337.2283935546875
2017-12-12 16:30:00,335.5907897949219
2017-12-12 17:30:00,336.7799987792969
2017-12-12 18:30:00,337.0350036621094
2017-12-12 19:30:00,338.760009765625
2017-12-12 20:30:00,341.0249938964844
2017-12-13 14:30:00,342.7690124511719
2017-12-13 15:30:00,342.5790100097656
2017-12-13 16:30:00,340.3500061035156
2017-12-13 17:30:00,340.4200134277344
2017-12-13 18:30:00,341.114990234375
2017-12-13 19:30:00,340.0799865722656
2017-12-13 20:30:00,338.9425048828125
2017-12-14 14:30:00,344.8218994140625
2017-12-14 15:30:00,343.1499938964844
2017-12-14 16:30:00,343.8103942871094
2017-12-14 17:30:00,342.6499938964844
2017-12-14 18:30:00,341.760009765625
2017-12-14 19:30:00,340.4599914550781
2017-12-14 20:30:00,337.8299865722656
2017-12-15 14:30:00,338.55999755859375
2017-12-15 15:30:00,339.9599914550781
2017-12-15 16:30:00,340.810302734375
2017-12-15 17:30:00,341.1000061035156
2017-12-15 18:30:00,339.401611328125
2017-12-15 19:30:00,340.5989990234375
2017-12-15 20:30:00,343.57000732421875
2017-12-18 14:30:00,345.4599914550781
2017-12-18 15:30:00,342.7705078125
2017-12-18 16:30:00,342.25
2017-12-18 17:30:00,340.90008544921875
2017-12-18 18:30:00,341.1400146484375
2017-12-18 19:30:00,341.20001220703125
2017-12-18 20:30:00,338.80999755859375
2017-12-19 14:30:00,336.8599853515625
2017-12-19 15:30:00,337.1099853515625
2017-12-19 16:30:00,334.8500061035156
2017-12-19 17:30:00,335.1000061035156
2017-12-19 18:30:00,332.2568054199219
2017-12-19 19:30:00,331.8699951171875
2017-12-19 20:30:00,331.0899963378906
2017-12-20 14:30:00,330.8323059082031
2017-12-20 15:30:00,326.32000732421875
2017-12-20 16:30:00,328.7149963378906
2017-12-20 17:30:00,330.82000732421875
2017-12-20 18:30:00,329.8160095214844
2017-12-20 19:30:00,330.1199951171875
2017-12-20 20:30:00,328.9700012207031
2017-12-21 14:30:00,328.07769775390625
2017-12-21 15:30:00,329.3299865722656
2017-12-21 16:30:00,328.41778564453125
2017-12-21 17:30:00,331.07000732421875
2017-12-21 18:30:00,331.7366027832031
2017-12-21 19:30:00,331.1600036621094
2017-12-21 20:30:00,331.61199951171875
2017-12-22 14:30:00,329.69000244140625
2017-12-22 15:30:00,329.80999755859375
2017-12-22 16:30:00,328.25
2017-12-22 17:30:00,327.9494934082031
2017-12-22 18:30:00,328.2174072265625
2017-12-22 19:30:00,325.5450134277344
2017-12-22 20:30:00,325.1759948730469
2017-12-26 14:30:00,319.05999755859375
2017-12-26 15:30:00,318.1099853515625
2017-12-26 16:30:00,319.54998779296875
2017-12-26 17:30:00,319.7099914550781
2017-12-26 18:30:00,318.7099914550781
2017-12-26 19:30:00,317.0553894042969
2017-12-26 20:30:00,317.2900085449219
2017-12-27 14:30:00,314.6000061035156
2017-12-27 15:30:00,313.5799865722656
2017-12-27 16:30:00,312.75
2017-12-27 17:30:00,312.3299865722656
2017-12-27 18:30:00,311.8699951171875
2017-12-27 19:30:00,311.489990234375
2017-12-27 20:30:00,311.54998779296875
2017-12-28 14:30:00,312.47491455078125
2017-12-28 15:30:00,311.6799011230469
2017-12-28 16:30:00,313.6221923828125
2017-12-28 17:30:00,314.30841064453125
2017-12-28 18:30:00,315.0328063964844
2017-12-28 19:30:00,314.9570007324219
2017-12-28 20:30:00,315.20001220703125
2017-12-29 14:30:00,314.1253967285156
2017-12-29 15:30:00,312.1000061035156
2017-12-29 16:30:00,312.4549865722656
2017-12-29 17:30:00,312.17999267578125
2017-12-29 18:30:00,311.44000244140625
2017-12-29 19:30:00,310.6199951171875
2017-12-29 20:30:00,311.42999267578125
2018-01-02 14:30:00,317.35369873046875
2018-01-02 15:30:00,320.73968505859375
2018-01-02 16:30:00,319.7099914550781
2018-01-02 17:30:00,319.2699890136719
2018-01-02 18:30:00,320.8345031738281
2018-01-02 19:30:00,320.0892028808594
2018-01-02 20:30:00,320.2900085449219
2018-01-03 14:30:00,322.0574951171875
2018-01-03 15:30:00,320.94000244140625
2018-01-03 16:30:00,319.2300109863281
2018-01-03 17:30:00,319.54998779296875
2018-01-03 18:30:00,317.2149963378906
2018-01-03 19:30:00,317.2699890136719
2018-01-03 20:30:00,317.2699890136719
2018-01-04 14:30:00,308.5899963378906
2018-01-04 15:30:00,316.0820007324219
2018-01-04 16:30:00,315.57000732421875
2018-01-04 17:30:00,312.9200134277344
2018-01-04 18:30:00,313.6011962890625
2018-01-04 19:30:00,314.8399963378906
2018-01-04 20:30:00,314.6199951171875
2018-01-05 14:30:00,313.47039794921875
2018-01-05 15:30:00,314.6700134277344
2018-01-05 16:30:00,315.29998779296875
2018-01-05 17:30:00,315.9906005859375
2018-01-05 18:30:00,316.0299987792969
2018-01-05 19:30:00,315.4100036621094
2018-01-05 20:30:00,316.7300109863281
2018-01-08 14:30:00,328.5
2018-01-08 15:30:00,331.5
2018-01-08 16:30:00,336.3478088378906
2018-01-08 17:30:00,335.37701416015625
2018-01-08 18:30:00,335.8999938964844
2018-01-08 19:30:00,334.07000732421875
2018-01-08 20:30:00,336.4599914550781
2018-01-09 14:30:00,331.2965087890625
2018-01-09 15:30:00,336.29998779296875
2018-01-09 16:30:00,337.6099853515625
2018-01-09 17:30:00,336.27520751953125
2018-01-09 18:30:00,335.89788818359375
2018-01-09 19:30:00,335.82000732421875
2018-01-09 20:30:00,333.739990234375
2018-01-10 14:30:00,334.7200012207031
2018-01-10 15:30:00,334.8399963378906
2018-01-10 16:30:00,332.94000244140625
2018-01-10 17:30:00,333.1578063964844
2018-01-10 18:30:00,333.3999938964844
2018-01-10 19:30:00,333.92999267578125
2018-01-10 20:30:00,334.8399963378906
2018-01-11 14:30:00,339.3290100097656
2018-01-11 15:30:00,342.69000244140625
2018-01-11 16:30:00,343.1199951171875
2018-01-11 17:30:00,341.7950134277344
2018-01-11 18:30:00,341.989990234375
2018-01-11 19:30:00,338.75
2018-01-11 20:30:00,337.9200134277344
2018-01-12 14:30:00,334.76080322265625
2018-01-12 15:30:00,336.3039855957031
2018-01-12 16:30:00,336.239990234375
2018-01-12 17:30:00,335.4100036621094
2018-01-12 18:30:00,335.7998962402344
2018-01-12 19:30:00,335.989990234375
