Datetime,CA
2017-11-06 14:30:00,32.689998626708984
2017-11-06 15:30:00,32.560001373291016
2017-11-06 16:30:00,32.54999923706055
2017-11-06 17:30:00,32.59000015258789
2017-11-06 18:30:00,32.47999954223633
2017-11-06 19:30:00,32.494998931884766
2017-11-06 20:30:00,32.45000076293945
2017-11-07 14:30:00,32.494998931884766
2017-11-07 15:30:00,32.57500076293945
2017-11-07 16:30:00,32.529998779296875
2017-11-07 17:30:00,32.564998626708984
2017-11-07 18:30:00,32.43000030517578
2017-11-07 19:30:00,32.32500076293945
2017-11-07 20:30:00,32.310001373291016
2017-11-08 14:30:00,32.4900016784668
2017-11-08 15:30:00,32.54999923706055
2017-11-08 16:30:00,32.502498626708984
2017-11-08 17:30:00,32.61000061035156
2017-11-08 18:30:00,32.599998474121094
2017-11-08 19:30:00,32.67499923706055
2017-11-08 20:30:00,32.60499954223633
2017-11-09 14:30:00,32.380001068115234
2017-11-09 15:30:00,32.29999923706055
2017-11-09 16:30:00,32.119998931884766
2017-11-09 17:30:00,32.17499923706055
2017-11-09 18:30:00,32.209999084472656
2017-11-09 19:30:00,32.16999816894531
2017-11-09 20:30:00,32.25
2017-11-10 14:30:00,32.15340042114258
2017-11-10 15:30:00,32.27000045776367
2017-11-10 16:30:00,32.279998779296875
2017-11-10 17:30:00,32.255001068115234
2017-11-10 18:30:00,32.290000915527344
2017-11-10 19:30:00,32.3650016784668
2017-11-10 20:30:00,32.44499969482422
2017-11-13 14:30:00,32.334999084472656
2017-11-13 15:30:00,32.310001373291016
2017-11-13 16:30:00,32.279998779296875
2017-11-13 17:30:00,32.31999969482422
2017-11-13 18:30:00,32.27000045776367
2017-11-13 19:30:00,32.31999969482422
2017-11-13 20:30:00,32.33000183105469
2017-11-14 14:30:00,32.27000045776367
2017-11-14 15:30:00,32.349998474121094
2017-11-14 16:30:00,32.369998931884766
2017-11-14 17:30:00,32.33000183105469
2017-11-14 18:30:00,32.279998779296875
2017-11-14 19:30:00,32.28499984741211
2017-11-14 20:30:00,32.310001373291016
2017-11-15 14:30:00,32.029998779296875
2017-11-15 15:30:00,32.05500030517578
2017-11-15 16:30:00,32.10499954223633
2017-11-15 17:30:00,32.02000045776367
2017-11-15 18:30:00,32.119998931884766
2017-11-15 19:30:00,32.150001525878906
2017-11-15 20:30:00,32.130001068115234
2017-11-16 14:30:00,32.27000045776367
2017-11-16 15:30:00,32.310001373291016
2017-11-16 16:30:00,32.4900016784668
2017-11-16 17:30:00,32.5
2017-11-16 18:30:00,32.439998626708984
2017-11-16 19:30:00,32.540000915527344
2017-11-16 20:30:00,32.57500076293945
2017-11-17 14:30:00,32.56999969482422
2017-11-17 15:30:00,32.30500030517578
2017-11-17 16:30:00,32.4900016784668
2017-11-17 17:30:00,32.45000076293945
2017-11-17 18:30:00,32.52000045776367
2017-11-17 19:30:00,32.540000915527344
2017-11-17 20:30:00,32.52000045776367
2017-11-20 14:30:00,32.540000915527344
2017-11-20 15:30:00,32.564998626708984
2017-11-20 16:30:00,32.439998626708984
2017-11-20 17:30:00,32.43000030517578
2017-11-20 18:30:00,32.40999984741211
2017-11-20 19:30:00,32.52000045776367
2017-11-20 20:30:00,32.529998779296875
2017-11-21 14:30:00,32.470001220703125
2017-11-21 15:30:00,32.349998474121094
2017-11-21 16:30:00,32.36000061035156
2017-11-21 17:30:00,32.38999938964844
2017-11-21 18:30:00,32.400001525878906
2017-11-21 19:30:00,32.52000045776367
2017-11-21 20:30:00,32.58000183105469
2017-11-22 14:30:00,32.47999954223633
2017-11-22 15:30:00,32.6150016784668
2017-11-22 16:30:00,32.560001373291016
2017-11-22 17:30:00,32.529998779296875
2017-11-22 18:30:00,32.48500061035156
2017-11-22 19:30:00,32.45500183105469
2017-11-22 20:30:00,32.45000076293945
2017-11-24 14:30:00,32.54999923706055
2017-11-24 15:30:00,32.689998626708984
2017-11-24 16:30:00,32.595001220703125
2017-11-24 18:00:00,32.599700927734375
2017-11-27 14:30:00,32.849998474121094
2017-11-27 15:30:00,32.834999084472656
2017-11-27 16:30:00,32.7599983215332
2017-11-27 17:30:00,32.685001373291016
2017-11-27 18:30:00,32.6150016784668
2017-11-27 19:30:00,32.6150016784668
2017-11-27 20:30:00,32.630001068115234
2017-11-28 14:30:00,32.53499984741211
2017-11-28 15:30:00,32.547401428222656
2017-11-28 16:30:00,32.75
2017-11-28 17:30:00,32.689998626708984
2017-11-28 18:30:00,32.720001220703125
2017-11-28 19:30:00,32.73500061035156
2017-11-28 20:30:00,32.689998626708984
2017-11-29 14:30:00,32.72999954223633
2017-11-29 15:30:00,32.7599983215332
2017-11-29 16:30:00,32.68009948730469
2017-11-29 17:30:00,32.630001068115234
2017-11-29 18:30:00,32.724998474121094
2017-11-29 19:30:00,32.630001068115234
2017-11-29 20:30:00,32.57500076293945
2017-11-30 14:30:00,32.90999984741211
2017-11-30 15:30:00,32.95000076293945
2017-11-30 16:30:00,33.06999969482422
2017-11-30 17:30:00,33.08000183105469
2017-11-30 18:30:00,33.04499816894531
2017-11-30 19:30:00,33.099998474121094
2017-11-30 20:30:00,33.06999969482422
2017-12-01 14:30:00,33.060001373291016
2017-12-01 15:30:00,32.58000183105469
2017-12-01 16:30:00,32.779998779296875
2017-12-01 17:30:00,32.95000076293945
2017-12-01 18:30:00,33.10499954223633
2017-12-01 19:30:00,33.15999984741211
2017-12-01 20:30:00,33.189998626708984
2017-12-04 14:30:00,33.220001220703125
2017-12-04 15:30:00,33.57500076293945
2017-12-04 16:30:00,33.59000015258789
