Datetime,MU
2017-11-06 14:30:00,43.279998779296875
2017-11-06 15:30:00,42.823299407958984
2017-11-06 16:30:00,42.9900016784668
2017-11-06 17:30:00,42.959999084472656
2017-11-06 18:30:00,43.08000183105469
2017-11-06 19:30:00,43.279998779296875
2017-11-06 20:30:00,43.20000076293945
2017-11-07 14:30:00,43.775001525878906
2017-11-07 15:30:00,43.85499954223633
2017-11-07 16:30:00,43.72999954223633
2017-11-07 17:30:00,43.5099983215332
2017-11-07 18:30:00,43.66999816894531
2017-11-07 19:30:00,43.709999084472656
2017-11-07 20:30:00,43.94499969482422
2017-11-08 14:30:00,43.58000183105469
2017-11-08 15:30:00,43.77510070800781
2017-11-08 16:30:00,43.90999984741211
2017-11-08 17:30:00,43.79999923706055
2017-11-08 18:30:00,43.8849983215332
2017-11-08 19:30:00,43.98889923095703
2017-11-08 20:30:00,44.09000015258789
2017-11-09 14:30:00,43.28499984741211
2017-11-09 15:30:00,43.44499969482422
2017-11-09 16:30:00,42.880001068115234
2017-11-09 17:30:00,43.10559844970703
2017-11-09 18:30:00,43.11000061035156
2017-11-09 19:30:00,43.2400016784668
2017-11-09 20:30:00,43.5
2017-11-10 14:30:00,43.900001525878906
2017-11-10 15:30:00,44.029998779296875
2017-11-10 16:30:00,44.2599983215332
2017-11-10 17:30:00,44.36000061035156
2017-11-10 18:30:00,44.59749984741211
2017-11-10 19:30:00,44.43000030517578
2017-11-10 20:30:00,44.79999923706055
2017-11-13 14:30:00,45.220001220703125
2017-11-13 15:30:00,45.44499969482422
2017-11-13 16:30:00,45.5099983215332
2017-11-13 17:30:00,45.540000915527344
2017-11-13 18:30:00,45.61000061035156
2017-11-13 19:30:00,45.61009979248047
2017-11-13 20:30:00,45.59000015258789
2017-11-14 14:30:00,45.279998779296875
2017-11-14 15:30:00,45.400001525878906
2017-11-14 16:30:00,45.30459976196289
2017-11-14 17:30:00,45.2400016784668
2017-11-14 18:30:00,45.36000061035156
2017-11-14 19:30:00,45.439998626708984
2017-11-14 20:30:00,45.79499816894531
2017-11-15 14:30:00,45.38999938964844
2017-11-15 15:30:00,45.63999938964844
2017-11-15 16:30:00,45.400001525878906
2017-11-15 17:30:00,45.35499954223633
2017-11-15 18:30:00,45.67499923706055
2017-11-15 19:30:00,45.43000030517578
2017-11-15 20:30:00,45.36000061035156
2017-11-16 14:30:00,46.125
2017-11-16 15:30:00,45.95500183105469
2017-11-16 16:30:00,46.099998474121094
2017-11-16 17:30:00,45.98500061035156
2017-11-16 18:30:00,46.09989929199219
2017-11-16 19:30:00,46.21500015258789
2017-11-16 20:30:00,46.16999816894531
2017-11-17 14:30:00,45.9900016784668
2017-11-17 15:30:00,46.21500015258789
2017-11-17 16:30:00,46.34000015258789
2017-11-17 17:30:00,46.369998931884766
2017-11-17 18:30:00,46.1599006652832
2017-11-17 19:30:00,46.0099983215332
2017-11-17 20:30:00,46.150001525878906
2017-11-20 14:30:00,47.13719940185547
2017-11-20 15:30:00,47.56999969482422
2017-11-20 16:30:00,47.53310012817383
2017-11-20 17:30:00,47.79999923706055
2017-11-20 18:30:00,47.560001373291016
2017-11-20 19:30:00,47.4900016784668
2017-11-20 20:30:00,47.619998931884766
2017-11-21 14:30:00,48.88999938964844
2017-11-21 15:30:00,48.9900016784668
2017-11-21 16:30:00,49.279998779296875
2017-11-21 17:30:00,49.32500076293945
2017-11-21 18:30:00,49.4900016784668
2017-11-21 19:30:00,49.33000183105469
2017-11-21 20:30:00,49.38999938964844
2017-11-22 14:30:00,48.86000061035156
2017-11-22 15:30:00,48.7599983215332
2017-11-22 16:30:00,48.95000076293945
2017-11-22 17:30:00,48.900001525878906
2017-11-22 18:30:00,48.91999816894531
2017-11-22 19:30:00,49.189998626708984
2017-11-22 20:30:00,49.1349983215332
2017-11-24 14:30:00,49.380001068115234
2017-11-24 15:30:00,49.54499816894531
2017-11-24 16:30:00,49.79499816894531
2017-11-24 18:00:00,49.65999984741211
2017-11-27 14:30:00,48.25
2017-11-27 15:30:00,47.59000015258789
2017-11-27 16:30:00,48.07360076904297
2017-11-27 17:30:00,47.9900016784668
2017-11-27 18:30:00,48.029998779296875
2017-11-27 19:30:00,48.029998779296875
2017-11-27 20:30:00,48.04999923706055
2017-11-28 14:30:00,48.22999954223633
2017-11-28 15:30:00,48.43000030517578
2017-11-28 16:30:00,48.56999969482422
2017-11-28 17:30:00,48.560001373291016
2017-11-28 18:30:00,48.279998779296875
2017-11-28 19:30:00,48.17499923706055
2017-11-28 20:30:00,47.93000030517578
2017-11-29 14:30:00,45.064998626708984
2017-11-29 15:30:00,44.5
2017-11-29 16:30:00,44.41999816894531
2017-11-29 17:30:00,44.2599983215332
2017-11-29 18:30:00,43.849998474121094
2017-11-29 19:30:00,43.55500030517578
2017-11-29 20:30:00,43.72999954223633
2017-11-30 14:30:00,44.14699935913086
2017-11-30 15:30:00,43.755001068115234
2017-11-30 16:30:00,43.2848014831543
2017-11-30 17:30:00,43.04999923706055
2017-11-30 18:30:00,43.02000045776367
2017-11-30 19:30:00,42.4364013671875
2017-11-30 20:30:00,42.38999938964844
2017-12-01 14:30:00,40.970001220703125
2017-12-01 15:30:00,40.59000015258789
2017-12-01 16:30:00,41.28499984741211
2017-12-01 17:30:00,41.40999984741211
2017-12-01 18:30:00,41.435001373291016
2017-12-01 19:30:00,41.540000915527344
2017-12-01 20:30:00,41.91999816894531
2017-12-04 14:30:00,40.6343994140625
2017-12-04 15:30:00,39.76499938964844
2017-12-04 16:30:00,40.939998626708984
