Datetime,BBBY
2017-11-06 14:30:00,19.530000686645508
2017-11-06 15:30:00,19.780000686645508
2017-11-06 16:30:00,19.934999465942383
2017-11-06 17:30:00,20.041000366210938
2017-11-06 18:30:00,19.905000686645508
2017-11-06 19:30:00,20.208499908447266
2017-11-06 20:30:00,19.989999771118164
2017-11-07 14:30:00,19.479999542236328
2017-11-07 15:30:00,19.405000686645508
2017-11-07 16:30:00,19.295900344848633
2017-11-07 17:30:00,19.28499984741211
2017-11-07 18:30:00,19.100000381469727
2017-11-07 19:30:00,19.30500030517578
2017-11-07 20:30:00,19.270000457763672
2017-11-08 14:30:00,19.280000686645508
2017-11-08 15:30:00,19.420000076293945
2017-11-08 16:30:00,19.46500015258789
2017-11-08 17:30:00,19.43000030517578
2017-11-08 18:30:00,19.44499969482422
2017-11-08 19:30:00,19.475000381469727
2017-11-08 20:30:00,19.489999771118164
2017-11-09 14:30:00,19.829999923706055
2017-11-09 15:30:00,20.219999313354492
2017-11-09 16:30:00,20.09000015258789
2017-11-09 17:30:00,20.290000915527344
2017-11-09 18:30:00,20.18000030517578
2017-11-09 19:30:00,20.16900062561035
2017-11-09 20:30:00,20.155000686645508
2017-11-10 14:30:00,20.235000610351562
2017-11-10 15:30:00,20.329999923706055
2017-11-10 16:30:00,20.280000686645508
2017-11-10 17:30:00,20.059999465942383
2017-11-10 18:30:00,20.135000228881836
2017-11-10 19:30:00,20.010000228881836
2017-11-10 20:30:00,20.024999618530273
2017-11-13 14:30:00,19.950000762939453
2017-11-13 15:30:00,19.90999984741211
2017-11-13 16:30:00,19.670000076293945
2017-11-13 17:30:00,19.68000030517578
2017-11-13 18:30:00,19.709999084472656
2017-11-13 19:30:00,19.790000915527344
2017-11-13 20:30:00,19.725000381469727
2017-11-14 14:30:00,19.96500015258789
2017-11-14 15:30:00,20.024999618530273
2017-11-14 16:30:00,20.03499984741211
2017-11-14 17:30:00,20.100000381469727
2017-11-14 18:30:00,20.09000015258789
2017-11-14 19:30:00,20.21500015258789
2017-11-14 20:30:00,20.225000381469727
2017-11-15 14:30:00,19.670000076293945
2017-11-15 15:30:00,19.81999969482422
2017-11-15 16:30:00,19.920000076293945
2017-11-15 17:30:00,19.8799991607666
2017-11-15 18:30:00,19.969999313354492
2017-11-15 19:30:00,19.950000762939453
2017-11-15 20:30:00,19.950000762939453
2017-11-16 14:30:00,20.15999984741211
2017-11-16 15:30:00,20.28499984741211
2017-11-16 16:30:00,20.3700008392334
2017-11-16 17:30:00,20.299999237060547
2017-11-16 18:30:00,20.350000381469727
2017-11-16 19:30:00,20.450000762939453
2017-11-16 20:30:00,20.540000915527344
2017-11-17 14:30:00,20.690000534057617
2017-11-17 15:30:00,20.795000076293945
2017-11-17 16:30:00,20.670000076293945
2017-11-17 17:30:00,20.75
2017-11-17 18:30:00,20.860000610351562
2017-11-17 19:30:00,20.860000610351562
2017-11-17 20:30:00,21.010000228881836
2017-11-20 14:30:00,20.75
2017-11-20 15:30:00,20.760000228881836
2017-11-20 16:30:00,20.618600845336914
2017-11-20 17:30:00,20.674999237060547
2017-11-20 18:30:00,20.89900016784668
2017-11-20 19:30:00,20.8700008392334
2017-11-20 20:30:00,20.860000610351562
2017-11-21 14:30:00,20.43000030517578
2017-11-21 15:30:00,20.364999771118164
2017-11-21 16:30:00,20.13010025024414
2017-11-21 17:30:00,20.06369972229004
2017-11-21 18:30:00,20.19499969482422
2017-11-21 19:30:00,20.31999969482422
2017-11-21 20:30:00,20.28499984741211
2017-11-22 14:30:00,21.079999923706055
2017-11-22 15:30:00,21.09000015258789
2017-11-22 16:30:00,21.15999984741211
2017-11-22 17:30:00,21.100000381469727
2017-11-22 18:30:00,21.110000610351562
2017-11-22 19:30:00,21.059999465942383
2017-11-22 20:30:00,21.079999923706055
2017-11-24 14:30:00,20.860000610351562
2017-11-24 15:30:00,20.7549991607666
2017-11-24 16:30:00,20.690000534057617
2017-11-24 18:00:00,20.819799423217773
2017-11-27 14:30:00,20.799999237060547
2017-11-27 15:30:00,20.729999542236328
2017-11-27 16:30:00,20.579999923706055
2017-11-27 17:30:00,20.540000915527344
2017-11-27 18:30:00,20.700000762939453
2017-11-27 19:30:00,20.7549991607666
2017-11-27 20:30:00,20.75
2017-11-28 14:30:00,20.860000610351562
2017-11-28 15:30:00,21.1299991607666
2017-11-28 16:30:00,21.290000915527344
2017-11-28 17:30:00,21.375
2017-11-28 18:30:00,21.339000701904297
2017-11-28 19:30:00,21.875
2017-11-28 20:30:00,21.979999542236328
2017-11-29 14:30:00,22.8700008392334
2017-11-29 15:30:00,23.625
2017-11-29 16:30:00,23.350000381469727
2017-11-29 17:30:00,23.1299991607666
2017-11-29 18:30:00,23.18000030517578
2017-11-29 19:30:00,23.045000076293945
2017-11-29 20:30:00,23.059999465942383
2017-11-30 14:30:00,22.55500030517578
2017-11-30 15:30:00,22.850000381469727
2017-11-30 16:30:00,22.56999969482422
2017-11-30 17:30:00,22.684999465942383
2017-11-30 18:30:00,22.59000015258789
2017-11-30 19:30:00,22.516799926757812
2017-11-30 20:30:00,22.389999389648438
2017-12-01 14:30:00,22.719999313354492
2017-12-01 15:30:00,22.014999389648438
2017-12-01 16:30:00,22.6200008392334
2017-12-01 17:30:00,22.549999237060547
2017-12-01 18:30:00,22.354999542236328
2017-12-01 19:30:00,22.56999969482422
2017-12-01 20:30:00,22.420000076293945
2017-12-04 14:30:00,23.969999313354492
2017-12-04 15:30:00,24.3700008392334
2017-12-04 16:30:00,24.170000076293945
2017-12-04 17:30:00,24.139999389648438
