Datetime,SYMC
2017-11-06 14:30:00,29.5
2017-11-06 15:30:00,29.165000915527344
2017-11-06 16:30:00,29.209999084472656
2017-11-06 17:30:00,29.1200008392334
2017-11-06 18:30:00,29.06999969482422
2017-11-06 19:30:00,29.09000015258789
2017-11-06 20:30:00,28.899999618530273
2017-11-07 14:30:00,28.84000015258789
2017-11-07 15:30:00,28.889999389648438
2017-11-07 16:30:00,28.610000610351562
2017-11-07 17:30:00,28.655000686645508
2017-11-07 18:30:00,28.735000610351562
2017-11-07 19:30:00,28.639999389648438
2017-11-07 20:30:00,28.670000076293945
2017-11-08 14:30:00,28.739999771118164
2017-11-08 15:30:00,28.670000076293945
2017-11-08 16:30:00,28.75
2017-11-08 17:30:00,28.899999618530273
2017-11-08 18:30:00,29.040000915527344
2017-11-08 19:30:00,29.024999618530273
2017-11-08 20:30:00,29.020000457763672
2017-11-09 14:30:00,28.719999313354492
2017-11-09 15:30:00,28.725000381469727
2017-11-09 16:30:00,28.65999984741211
2017-11-09 17:30:00,28.719999313354492
2017-11-09 18:30:00,28.739999771118164
2017-11-09 19:30:00,28.579999923706055
2017-11-09 20:30:00,28.59000015258789
2017-11-10 14:30:00,28.18000030517578
2017-11-10 15:30:00,28.209999084472656
2017-11-10 16:30:00,28.295000076293945
2017-11-10 17:30:00,28.367900848388672
2017-11-10 18:30:00,28.309999465942383
2017-11-10 19:30:00,28.290000915527344
2017-11-10 20:30:00,28.350000381469727
2017-11-13 14:30:00,28.104999542236328
2017-11-13 15:30:00,28.040000915527344
2017-11-13 16:30:00,27.915000915527344
2017-11-13 17:30:00,27.90999984741211
2017-11-13 18:30:00,27.90999984741211
2017-11-13 19:30:00,27.96500015258789
2017-11-13 20:30:00,27.969999313354492
2017-11-14 14:30:00,27.959999084472656
2017-11-14 15:30:00,27.975000381469727
2017-11-14 16:30:00,27.729999542236328
2017-11-14 17:30:00,27.700000762939453
2017-11-14 18:30:00,27.950000762939453
2017-11-14 19:30:00,27.985000610351562
2017-11-14 20:30:00,28.100000381469727
2017-11-15 14:30:00,28.096099853515625
2017-11-15 15:30:00,28.06999969482422
2017-11-15 16:30:00,27.950000762939453
2017-11-15 17:30:00,27.829999923706055
2017-11-15 18:30:00,27.809999465942383
2017-11-15 19:30:00,27.829999923706055
2017-11-15 20:30:00,27.71500015258789
2017-11-16 14:30:00,28.049999237060547
2017-11-16 15:30:00,28.190000534057617
2017-11-16 16:30:00,28.290000915527344
2017-11-16 17:30:00,28.354999542236328
2017-11-16 18:30:00,28.325000762939453
2017-11-16 19:30:00,28.309999465942383
2017-11-16 20:30:00,28.280000686645508
2017-11-17 14:30:00,28.0
2017-11-17 15:30:00,27.959999084472656
2017-11-17 16:30:00,27.979999542236328
2017-11-17 17:30:00,27.96500015258789
2017-11-17 18:30:00,28.010099411010742
2017-11-17 19:30:00,28.05500030517578
2017-11-17 20:30:00,28.040000915527344
2017-11-20 14:30:00,28.040000915527344
2017-11-20 15:30:00,28.110000610351562
2017-11-20 16:30:00,28.125600814819336
2017-11-20 17:30:00,28.170000076293945
2017-11-20 18:30:00,28.21500015258789
2017-11-20 19:30:00,28.174999237060547
2017-11-20 20:30:00,28.190000534057617
2017-11-21 14:30:00,27.969999313354492
2017-11-21 15:30:00,27.760000228881836
2017-11-21 16:30:00,27.770000457763672
2017-11-21 17:30:00,27.860000610351562
2017-11-21 18:30:00,28.030000686645508
2017-11-21 19:30:00,28.049999237060547
2017-11-21 20:30:00,28.100000381469727
2017-11-22 14:30:00,28.3700008392334
2017-11-22 15:30:00,28.309999465942383
2017-11-22 16:30:00,28.329999923706055
2017-11-22 17:30:00,28.399999618530273
2017-11-22 18:30:00,28.3799991607666
2017-11-22 19:30:00,28.440000534057617
2017-11-22 20:30:00,28.43000030517578
2017-11-24 14:30:00,28.545000076293945
2017-11-24 15:30:00,28.600000381469727
2017-11-24 16:30:00,28.614999771118164
2017-11-24 18:00:00,28.568099975585938
2017-11-27 14:30:00,28.670000076293945
2017-11-27 15:30:00,28.65999984741211
2017-11-27 16:30:00,28.709999084472656
2017-11-27 17:30:00,28.770000457763672
2017-11-27 18:30:00,28.795000076293945
2017-11-27 19:30:00,28.895000457763672
2017-11-27 20:30:00,28.850000381469727
2017-11-28 14:30:00,28.649999618530273
2017-11-28 15:30:00,28.750999450683594
2017-11-28 16:30:00,28.975000381469727
2017-11-28 17:30:00,28.8700008392334
2017-11-28 18:30:00,28.90999984741211
2017-11-28 19:30:00,29.049999237060547
2017-11-28 20:30:00,28.969999313354492
2017-11-29 14:30:00,28.549999237060547
2017-11-29 15:30:00,28.53499984741211
2017-11-29 16:30:00,28.645000457763672
2017-11-29 17:30:00,28.65999984741211
2017-11-29 18:30:00,28.649999618530273
2017-11-29 19:30:00,28.600000381469727
2017-11-29 20:30:00,28.56999969482422
2017-11-30 14:30:00,28.78499984741211
2017-11-30 15:30:00,28.770000457763672
2017-11-30 16:30:00,28.90999984741211
2017-11-30 17:30:00,28.780000686645508
2017-11-30 18:30:00,28.889999389648438
2017-11-30 19:30:00,29.0
2017-11-30 20:30:00,28.979999542236328
2017-12-01 14:30:00,29.1825008392334
2017-12-01 15:30:00,28.8700008392334
2017-12-01 16:30:00,28.979999542236328
2017-12-01 17:30:00,29.065000534057617
2017-12-01 18:30:00,29.170000076293945
2017-12-01 19:30:00,29.049999237060547
2017-12-01 20:30:00,29.110000610351562
2017-12-04 14:30:00,28.030000686645508
2017-12-04 15:30:00,27.739999771118164
2017-12-04 16:30:00,27.790000915527344
