Datetime,EA
2017-11-06 14:30:00,113.19000244140625
2017-11-06 15:30:00,112.08999633789062
2017-11-06 16:30:00,111.29000091552734
2017-11-06 17:30:00,111.1500015258789
2017-11-06 18:30:00,111.25
2017-11-06 19:30:00,111.22000122070312
2017-11-06 20:30:00,112.47000122070312
2017-11-08 14:30:00,113.66000366210938
2017-11-08 15:30:00,115.45999908447266
2017-11-08 16:30:00,114.30000305175781
2017-11-08 17:30:00,114.62000274658203
2017-11-08 18:30:00,113.75499725341797
2017-11-08 19:30:00,113.88999938964844
2017-11-08 20:30:00,114.16000366210938
2017-11-09 14:30:00,112.30000305175781
2017-11-09 15:30:00,111.5199966430664
2017-11-09 16:30:00,111.55000305175781
2017-11-09 17:30:00,111.52999877929688
2017-11-09 18:30:00,111.80000305175781
2017-11-09 19:30:00,111.5999984741211
2017-11-09 20:30:00,111.88999938964844
2017-11-10 14:30:00,111.69000244140625
2017-11-10 15:30:00,111.75
2017-11-10 16:30:00,112.09500122070312
2017-11-10 17:30:00,112.1500015258789
2017-11-10 18:30:00,112.25
2017-11-10 19:30:00,112.47000122070312
2017-11-10 20:30:00,112.7300033569336
2017-11-13 14:30:00,112.55000305175781
2017-11-13 15:30:00,112.2699966430664
2017-11-13 16:30:00,112.33000183105469
2017-11-13 17:30:00,112.05000305175781
2017-11-13 18:30:00,111.52999877929688
2017-11-13 19:30:00,111.9000015258789
2017-11-13 20:30:00,112.0
2017-11-14 14:30:00,112.58999633789062
2017-11-14 15:30:00,112.97000122070312
2017-11-14 16:30:00,112.44999694824219
2017-11-14 17:30:00,112.08999633789062
2017-11-14 18:30:00,112.13999938964844
2017-11-14 19:30:00,111.93000030517578
2017-11-14 20:30:00,112.26000213623047
2017-11-15 14:30:00,111.51000213623047
2017-11-15 15:30:00,111.2300033569336
2017-11-15 16:30:00,111.12000274658203
2017-11-15 17:30:00,111.80000305175781
2017-11-15 18:30:00,111.69000244140625
2017-11-15 19:30:00,111.6500015258789
2017-11-15 20:30:00,111.4800033569336
2017-11-16 14:30:00,112.33000183105469
2017-11-16 15:30:00,112.44000244140625
2017-11-16 16:30:00,112.19000244140625
2017-11-16 17:30:00,112.41500091552734
2017-11-16 18:30:00,112.11000061035156
2017-11-16 19:30:00,112.31500244140625
2017-11-16 20:30:00,111.58000183105469
2017-11-17 14:30:00,108.80999755859375
2017-11-17 15:30:00,108.13999938964844
2017-11-17 16:30:00,108.63999938964844
2017-11-17 17:30:00,108.26000213623047
2017-11-17 18:30:00,108.61000061035156
2017-11-17 19:30:00,108.69000244140625
2017-11-17 20:30:00,108.87000274658203
2017-11-20 14:30:00,107.16000366210938
2017-11-20 15:30:00,107.43000030517578
2017-11-20 16:30:00,108.12000274658203
2017-11-20 17:30:00,108.04000091552734
2017-11-20 18:30:00,107.80999755859375
2017-11-20 19:30:00,107.54000091552734
2017-11-20 20:30:00,107.62999725341797
2017-11-21 14:30:00,108.43000030517578
2017-11-21 15:30:00,108.04000091552734
2017-11-21 16:30:00,107.87999725341797
2017-11-21 17:30:00,108.0199966430664
2017-11-21 18:30:00,108.1500015258789
2017-11-21 19:30:00,108.01000213623047
2017-11-21 20:30:00,107.68250274658203
2017-11-22 14:30:00,107.38999938964844
2017-11-22 15:30:00,106.73500061035156
2017-11-22 16:30:00,107.05580139160156
2017-11-22 17:30:00,106.77999877929688
2017-11-22 18:30:00,107.11000061035156
2017-11-22 19:30:00,107.44000244140625
2017-11-22 20:30:00,107.30000305175781
2017-11-24 14:30:00,108.43000030517578
2017-11-24 15:30:00,107.83999633789062
2017-11-24 16:30:00,108.08000183105469
2017-11-24 18:00:00,108.19940185546875
2017-11-27 14:30:00,107.08999633789062
2017-11-27 15:30:00,106.83000183105469
2017-11-27 16:30:00,107.13999938964844
2017-11-27 17:30:00,107.13999938964844
2017-11-27 18:30:00,106.94999694824219
2017-11-27 19:30:00,107.16999816894531
2017-11-27 20:30:00,107.01000213623047
2017-11-28 14:30:00,107.29000091552734
2017-11-28 15:30:00,107.17500305175781
2017-11-28 16:30:00,108.63999938964844
2017-11-28 17:30:00,109.29000091552734
2017-11-28 18:30:00,109.7699966430664
2017-11-28 19:30:00,109.37000274658203
2017-11-28 20:30:00,109.47000122070312
2017-11-29 14:30:00,106.47000122070312
2017-11-29 15:30:00,106.33999633789062
2017-11-29 16:30:00,106.33999633789062
2017-11-29 17:30:00,106.75
2017-11-29 18:30:00,106.58999633789062
2017-11-29 19:30:00,106.08000183105469
2017-11-29 20:30:00,105.48999786376953
2017-11-30 14:30:00,105.29000091552734
2017-11-30 15:30:00,105.80000305175781
2017-11-30 16:30:00,105.5
2017-11-30 17:30:00,105.52999877929688
2017-11-30 18:30:00,105.52999877929688
2017-11-30 19:30:00,105.68000030517578
2017-11-30 20:30:00,106.33999633789062
2017-12-01 14:30:00,106.26499938964844
2017-12-01 15:30:00,104.88999938964844
2017-12-01 16:30:00,105.41000366210938
2017-12-01 17:30:00,105.45999908447266
2017-12-01 18:30:00,105.55000305175781
2017-12-01 19:30:00,105.73999786376953
2017-12-01 20:30:00,105.98999786376953
2017-12-04 14:30:00,102.16999816894531
2017-12-04 15:30:00,101.7300033569336
2017-12-04 16:30:00,101.30000305175781
2017-12-04 17:30:00,102.41000366210938
2017-12-04 18:30:00,102.08999633789062
2017-12-04 19:30:00,100.9000015258789
2017-12-04 20:30:00,100.83000183105469
2017-12-05 14:30:00,103.77999877929688
2017-12-05 15:30:00,104.93000030517578
2017-12-05 16:30:00,104.62999725341797
2017-12-05 17:30:00,104.45999908447266
