Datetime,AMGN
2017-11-06 14:30:00,171.77000427246094
2017-11-06 15:30:00,171.8300018310547
2017-11-06 16:30:00,171.74000549316406
2017-11-06 17:30:00,171.27000427246094
2017-11-06 18:30:00,171.4199981689453
2017-11-06 19:30:00,171.30999755859375
2017-11-06 20:30:00,170.74000549316406
2017-11-07 14:30:00,171.3300018310547
2017-11-07 15:30:00,172.5500030517578
2017-11-07 16:30:00,174.02000427246094
2017-11-07 17:30:00,174.1199951171875
2017-11-07 18:30:00,173.36000061035156
2017-11-07 19:30:00,173.27000427246094
2017-11-07 20:30:00,173.50999450683594
2017-11-08 14:30:00,174.2899932861328
2017-11-08 15:30:00,173.47000122070312
2017-11-08 16:30:00,173.9199981689453
2017-11-08 17:30:00,174.0800018310547
2017-11-08 18:30:00,173.5800018310547
2017-11-08 19:30:00,173.56500244140625
2017-11-08 20:30:00,173.55999755859375
2017-11-09 14:30:00,173.5800018310547
2017-11-09 15:30:00,172.75999450683594
2017-11-09 16:30:00,172.35000610351562
2017-11-09 17:30:00,172.3699951171875
2017-11-09 18:30:00,173.07000732421875
2017-11-09 19:30:00,173.4499969482422
2017-11-09 20:30:00,173.94000244140625
2017-11-10 14:30:00,172.11000061035156
2017-11-10 15:30:00,171.75
2017-11-10 16:30:00,172.35000610351562
2017-11-10 17:30:00,172.02000427246094
2017-11-10 18:30:00,172.32000732421875
2017-11-10 19:30:00,172.9499969482422
2017-11-10 20:30:00,172.30999755859375
2017-11-13 14:30:00,172.68499755859375
2017-11-13 15:30:00,172.6898956298828
2017-11-13 16:30:00,171.8699951171875
2017-11-13 17:30:00,171.2100067138672
2017-11-13 18:30:00,171.4199981689453
2017-11-13 19:30:00,171.42999267578125
2017-11-13 20:30:00,171.5
2017-11-14 14:30:00,168.6199951171875
2017-11-14 15:30:00,168.60499572753906
2017-11-14 16:30:00,168.77000427246094
2017-11-14 17:30:00,168.5800018310547
2017-11-14 18:30:00,169.60000610351562
2017-11-14 19:30:00,169.69000244140625
2017-11-14 20:30:00,170.1300048828125
2017-11-15 14:30:00,168.89500427246094
2017-11-15 15:30:00,170.05999755859375
2017-11-15 16:30:00,169.3699951171875
2017-11-15 17:30:00,168.80999755859375
2017-11-15 18:30:00,169.4499969482422
2017-11-15 19:30:00,169.49000549316406
2017-11-15 20:30:00,169.36000061035156
2017-11-16 14:30:00,169.99850463867188
2017-11-16 15:30:00,170.49049377441406
2017-11-16 16:30:00,170.72999572753906
2017-11-16 17:30:00,170.5399932861328
2017-11-16 18:30:00,170.7100067138672
2017-11-16 19:30:00,171.02000427246094
2017-11-16 20:30:00,170.74000549316406
2017-11-17 14:30:00,170.24000549316406
2017-11-17 15:30:00,169.74000549316406
2017-11-17 16:30:00,170.03900146484375
2017-11-17 17:30:00,170.3300018310547
2017-11-17 18:30:00,170.10000610351562
2017-11-17 19:30:00,169.97999572753906
2017-11-17 20:30:00,169.97000122070312
2017-11-20 14:30:00,168.8000030517578
2017-11-20 15:30:00,168.52000427246094
2017-11-20 16:30:00,168.24000549316406
2017-11-20 17:30:00,168.6199951171875
2017-11-20 18:30:00,168.84500122070312
2017-11-20 19:30:00,168.67999267578125
2017-11-20 20:30:00,168.77999877929688
2017-11-21 14:30:00,169.7899932861328
2017-11-21 15:30:00,169.75999450683594
2017-11-21 16:30:00,169.63999938964844
2017-11-21 17:30:00,169.8800048828125
2017-11-21 18:30:00,169.89999389648438
2017-11-21 19:30:00,169.50999450683594
2017-11-21 20:30:00,169.86000061035156
2017-11-22 14:30:00,169.9600067138672
2017-11-22 15:30:00,169.5399932861328
2017-11-22 16:30:00,169.72999572753906
2017-11-22 17:30:00,169.85000610351562
2017-11-22 18:30:00,169.9149932861328
2017-11-22 19:30:00,170.0800018310547
2017-11-22 20:30:00,169.91000366210938
2017-11-24 14:30:00,170.25
2017-11-24 15:30:00,170.13999938964844
2017-11-24 16:30:00,170.00999450683594
2017-11-24 18:00:00,170.1033935546875
2017-11-27 14:30:00,170.0500030517578
2017-11-27 15:30:00,170.06039428710938
2017-11-27 16:30:00,170.02000427246094
2017-11-27 17:30:00,170.19940185546875
2017-11-27 18:30:00,169.75999450683594
2017-11-27 19:30:00,169.77000427246094
2017-11-27 20:30:00,169.66000366210938
2017-11-28 14:30:00,169.83999633789062
2017-11-28 15:30:00,170.19000244140625
2017-11-28 16:30:00,170.02000427246094
2017-11-28 17:30:00,170.22000122070312
2017-11-28 18:30:00,170.27000427246094
2017-11-28 19:30:00,170.18499755859375
2017-11-28 20:30:00,170.27999877929688
2017-11-29 14:30:00,173.5399932861328
2017-11-29 15:30:00,173.58999633789062
2017-11-29 16:30:00,173.3300018310547
2017-11-29 17:30:00,172.40660095214844
2017-11-29 18:30:00,172.06939697265625
2017-11-29 19:30:00,171.77999877929688
2017-11-29 20:30:00,172.24000549316406
2017-11-30 14:30:00,174.25999450683594
2017-11-30 15:30:00,174.72000122070312
2017-11-30 16:30:00,175.8699951171875
2017-11-30 17:30:00,175.91000366210938
2017-11-30 18:30:00,175.72000122070312
2017-11-30 19:30:00,175.52000427246094
2017-11-30 20:30:00,175.60000610351562
2017-12-01 14:30:00,177.3800048828125
2017-12-01 15:30:00,174.14999389648438
2017-12-01 16:30:00,176.44000244140625
2017-12-01 17:30:00,177.36000061035156
2017-12-01 18:30:00,177.2899932861328
2017-12-01 19:30:00,177.38999938964844
2017-12-01 20:30:00,177.22999572753906
2017-12-04 14:30:00,180.05999755859375
2017-12-04 15:30:00,179.23500061035156
2017-12-04 16:30:00,179.55999755859375
