Datetime,NDX
2017-12-04 18:30:00,6297.75634765625
2017-12-04 19:30:00,6282.71435546875
2017-12-04 20:30:00,6267.4951171875
2017-12-05 14:30:00,6304.958984375
2017-12-05 15:30:00,6328.85595703125
2017-12-05 16:30:00,6308.677734375
2017-12-05 17:30:00,6304.31005859375
2017-12-05 18:30:00,6287.0830078125
2017-12-05 19:30:00,6278.94873046875
2017-12-05 20:30:00,6265.248046875
2017-12-06 14:30:00,6277.3505859375
2017-12-06 15:30:00,6279.97802734375
2017-12-06 16:30:00,6269.26611328125
2017-12-06 17:30:00,6276.52294921875
2017-12-06 18:30:00,6294.822265625
2017-12-06 19:30:00,6295.8994140625
2017-12-06 20:30:00,6294.705078125
2017-12-07 14:30:00,6312.353515625
2017-12-07 15:30:00,6323.60595703125
2017-12-07 16:30:00,6323.51513671875
2017-12-07 17:30:00,6325.078125
2017-12-07 18:30:00,6308.66064453125
2017-12-07 19:30:00,6318.0478515625
2017-12-07 20:30:00,6315.52490234375
2017-12-08 14:30:00,6366.76953125
2017-12-08 15:30:00,6351.267578125
2017-12-08 16:30:00,6363.07421875
2017-12-08 17:30:00,6358.740234375
2017-12-08 18:30:00,6340.8505859375
2017-12-08 19:30:00,6343.638671875
2017-12-08 20:30:00,6342.1962890625
2017-12-11 14:30:00,6362.416015625
2017-12-11 15:30:00,6368.943359375
2017-12-11 16:30:00,6385.47314453125
2017-12-11 17:30:00,6385.56787109375
2017-12-11 18:30:00,6386.70458984375
2017-12-11 19:30:00,6385.13427734375
2017-12-11 20:30:00,6392.662109375
2017-12-12 14:30:00,6384.30810546875
2017-12-12 15:30:00,6398.66748046875
2017-12-12 16:30:00,6391.5048828125
2017-12-12 17:30:00,6388.72802734375
2017-12-12 18:30:00,6386.21484375
2017-12-12 19:30:00,6385.890625
2017-12-12 20:30:00,6382.59619140625
2017-12-13 14:30:00,6404.11328125
2017-12-13 15:30:00,6409.2197265625
2017-12-13 16:30:00,6400.2451171875
2017-12-13 17:30:00,6394.64501953125
2017-12-13 18:30:00,6404.69775390625
2017-12-13 19:30:00,6403.30419921875
2017-12-13 20:30:00,6396.0263671875
2017-12-14 14:30:00,6415.2275390625
2017-12-14 15:30:00,6409.97998046875
2017-12-14 16:30:00,6412.0908203125
2017-12-14 17:30:00,6401.28759765625
2017-12-14 18:30:00,6389.15966796875
2017-12-14 19:30:00,6392.8759765625
2017-12-14 20:30:00,6390.99267578125
2017-12-15 14:30:00,6422.8017578125
2017-12-15 15:30:00,6439.44873046875
2017-12-15 16:30:00,6456.603515625
2017-12-15 17:30:00,6454.02099609375
2017-12-15 18:30:00,6463.466796875
2017-12-15 19:30:00,6469.22265625
2017-12-15 20:30:00,6461.611328125
2017-12-18 14:30:00,6514.73046875
2017-12-18 15:30:00,6507.7060546875
2017-12-18 16:30:00,6516.75
2017-12-18 17:30:00,6519.369140625
2017-12-18 18:30:00,6517.49072265625
2017-12-18 19:30:00,6514.43896484375
2017-12-18 20:30:00,6516.388671875
2017-12-19 14:30:00,6484.62255859375
2017-12-19 15:30:00,6488.46240234375
2017-12-19 16:30:00,6465.859375
2017-12-19 17:30:00,6476.5400390625
2017-12-19 18:30:00,6484.03125
2017-12-19 19:30:00,6478.9091796875
2017-12-19 20:30:00,6483.37890625
2017-12-20 14:30:00,6461.392578125
2017-12-20 15:30:00,6460.58056640625
2017-12-20 16:30:00,6473.29736328125
2017-12-20 17:30:00,6482.74169921875
2017-12-20 18:30:00,6470.84326171875
2017-12-20 19:30:00,6472.94287109375
2017-12-20 20:30:00,6472.658203125
2017-12-21 14:30:00,6475.6083984375
2017-12-21 15:30:00,6489.97998046875
2017-12-21 16:30:00,6491.91748046875
2017-12-21 17:30:00,6500.14306640625
2017-12-21 18:30:00,6484.73388671875
2017-12-21 19:30:00,6480.580078125
2017-12-21 20:30:00,6475.39306640625
2017-12-22 14:30:00,6464.72802734375
2017-12-22 15:30:00,6463.81982421875
2017-12-22 16:30:00,6456.3935546875
2017-12-22 17:30:00,6456.65380859375
2017-12-22 18:30:00,6463.13671875
2017-12-22 19:30:00,6464.6640625
2017-12-22 20:30:00,6465.6533203125
2017-12-26 14:30:00,6428.73974609375
2017-12-26 15:30:00,6424.52880859375
2017-12-26 16:30:00,6429.7392578125
2017-12-26 17:30:00,6434.85693359375
2017-12-26 18:30:00,6432.36474609375
2017-12-26 19:30:00,6426.01025390625
2017-12-26 20:30:00,6433.31787109375
2017-12-27 14:30:00,6446.58740234375
2017-12-27 15:30:00,6442.25146484375
2017-12-27 16:30:00,6435.32275390625
2017-12-27 17:30:00,6433.22216796875
2017-12-27 18:30:00,6432.22705078125
2017-12-27 19:30:00,6427.95947265625
2017-12-27 20:30:00,6433.20556640625
2017-12-28 14:30:00,6435.83203125
2017-12-28 15:30:00,6442.54541015625
2017-12-28 16:30:00,6443.603515625
2017-12-28 17:30:00,6438.7783203125
2017-12-28 18:30:00,6433.43603515625
2017-12-28 19:30:00,6434.13671875
2017-12-28 20:30:00,6439.22021484375
2017-12-29 14:30:00,6433.13916015625
2017-12-29 15:30:00,6420.19287109375
2017-12-29 16:30:00,6425.6259765625
2017-12-29 17:30:00,6424.54541015625
2017-12-29 18:30:00,6418.8193359375
2017-12-29 19:30:00,6423.0849609375
2017-12-29 20:30:00,6398.416015625
2018-01-02 14:30:00,6483.3193359375
2018-01-02 15:30:00,6490.8759765625
2018-01-02 16:30:00,6490.76953125
