Datetime,NCLH
2017-11-06 14:30:00,56.06999969482422
2017-11-06 15:30:00,55.439998626708984
2017-11-06 16:30:00,55.380001068115234
2017-11-06 17:30:00,55.2599983215332
2017-11-06 18:30:00,55.290000915527344
2017-11-06 19:30:00,55.28499984741211
2017-11-06 20:30:00,55.25
2017-11-07 14:30:00,55.459999084472656
2017-11-07 15:30:00,55.29999923706055
2017-11-07 16:30:00,55.310001373291016
2017-11-07 17:30:00,55.56999969482422
2017-11-07 18:30:00,55.5099983215332
2017-11-07 19:30:00,55.349998474121094
2017-11-07 20:30:00,55.349998474121094
2017-11-08 14:30:00,55.119998931884766
2017-11-08 15:30:00,55.11000061035156
2017-11-08 16:30:00,55.45000076293945
2017-11-08 17:30:00,55.43000030517578
2017-11-08 18:30:00,55.33000183105469
2017-11-08 19:30:00,55.59000015258789
2017-11-08 20:30:00,55.560001373291016
2017-11-09 14:30:00,56.720001220703125
2017-11-09 15:30:00,57.220001220703125
2017-11-09 16:30:00,56.83000183105469
2017-11-09 17:30:00,57.41999816894531
2017-11-09 18:30:00,57.09000015258789
2017-11-09 19:30:00,56.709999084472656
2017-11-09 20:30:00,56.88999938964844
2017-11-10 14:30:00,55.369998931884766
2017-11-10 15:30:00,55.067501068115234
2017-11-10 16:30:00,55.650001525878906
2017-11-10 17:30:00,55.5
2017-11-10 18:30:00,55.41999816894531
2017-11-10 19:30:00,55.25
2017-11-10 20:30:00,55.189998626708984
2017-11-13 14:30:00,54.75
2017-11-13 15:30:00,55.060001373291016
2017-11-13 16:30:00,55.02000045776367
2017-11-13 17:30:00,55.08000183105469
2017-11-13 18:30:00,55.130001068115234
2017-11-13 19:30:00,55.290000915527344
2017-11-13 20:30:00,55.27000045776367
2017-11-14 14:30:00,54.349998474121094
2017-11-14 15:30:00,54.849998474121094
2017-11-14 16:30:00,54.970001220703125
2017-11-14 17:30:00,54.86000061035156
2017-11-14 18:30:00,55.14500045776367
2017-11-14 19:30:00,55.040000915527344
2017-11-14 20:30:00,55.099998474121094
2017-11-15 14:30:00,54.63999938964844
2017-11-15 15:30:00,54.900001525878906
2017-11-15 16:30:00,54.94459915161133
2017-11-15 17:30:00,54.7599983215332
2017-11-15 18:30:00,54.959999084472656
2017-11-15 19:30:00,55.02000045776367
2017-11-15 20:30:00,55.09000015258789
2017-11-16 14:30:00,53.595001220703125
2017-11-16 15:30:00,53.849998474121094
2017-11-16 16:30:00,53.9900016784668
2017-11-16 17:30:00,54.04999923706055
2017-11-16 18:30:00,54.029998779296875
2017-11-16 19:30:00,54.1150016784668
2017-11-16 20:30:00,53.970001220703125
2017-11-17 14:30:00,54.150001525878906
2017-11-17 15:30:00,54.099998474121094
2017-11-17 16:30:00,54.720001220703125
2017-11-17 17:30:00,54.494998931884766
2017-11-17 18:30:00,54.79999923706055
2017-11-17 19:30:00,54.79999923706055
2017-11-17 20:30:00,54.849998474121094
2017-11-20 14:30:00,54.53499984741211
2017-11-20 15:30:00,54.720001220703125
2017-11-20 16:30:00,54.45000076293945
2017-11-20 17:30:00,54.70000076293945
2017-11-20 18:30:00,54.7400016784668
2017-11-20 19:30:00,54.89500045776367
2017-11-20 20:30:00,54.68000030517578
2017-11-21 14:30:00,55.15999984741211
2017-11-21 15:30:00,55.349998474121094
2017-11-21 16:30:00,55.4900016784668
2017-11-21 17:30:00,55.625
2017-11-21 18:30:00,55.709999084472656
2017-11-21 19:30:00,55.40999984741211
2017-11-21 20:30:00,55.459999084472656
2017-11-22 14:30:00,55.459999084472656
2017-11-22 15:30:00,55.2400016784668
2017-11-22 16:30:00,55.41999816894531
2017-11-22 17:30:00,55.16999816894531
2017-11-22 18:30:00,55.2400016784668
2017-11-22 19:30:00,55.15999984741211
2017-11-22 20:30:00,55.30500030517578
2017-11-24 14:30:00,55.64500045776367
2017-11-24 15:30:00,55.59000015258789
2017-11-24 16:30:00,55.560001373291016
2017-11-24 18:00:00,55.5
2017-11-27 14:30:00,55.83000183105469
2017-11-27 15:30:00,55.534698486328125
2017-11-27 16:30:00,55.65999984741211
2017-11-27 17:30:00,55.58000183105469
2017-11-27 18:30:00,55.59000015258789
2017-11-27 19:30:00,55.540000915527344
2017-11-27 20:30:00,55.599998474121094
2017-11-28 14:30:00,55.660099029541016
2017-11-28 15:30:00,55.54010009765625
2017-11-28 16:30:00,55.689998626708984
2017-11-28 17:30:00,55.439998626708984
2017-11-28 18:30:00,55.5
2017-11-28 19:30:00,55.400001525878906
2017-11-28 20:30:00,55.290000915527344
2017-11-29 14:30:00,55.439998626708984
2017-11-29 15:30:00,55.7599983215332
2017-11-29 16:30:00,56.119998931884766
2017-11-29 17:30:00,55.709999084472656
2017-11-29 18:30:00,55.66999816894531
2017-11-29 19:30:00,55.290000915527344
2017-11-29 20:30:00,55.290000915527344
2017-11-30 14:30:00,52.54999923706055
2017-11-30 15:30:00,53.29999923706055
2017-11-30 16:30:00,54.22999954223633
2017-11-30 17:30:00,54.40999984741211
2017-11-30 18:30:00,54.35499954223633
2017-11-30 19:30:00,54.220001220703125
2017-11-30 20:30:00,54.15999984741211
2017-12-01 14:30:00,54.72999954223633
2017-12-01 15:30:00,53.90999984741211
2017-12-01 16:30:00,54.0
2017-12-01 17:30:00,54.38999938964844
2017-12-01 18:30:00,54.47999954223633
2017-12-01 19:30:00,54.470001220703125
2017-12-01 20:30:00,54.81999969482422
2017-12-04 14:30:00,56.52000045776367
2017-12-04 15:30:00,55.90999984741211
2017-12-04 16:30:00,55.9900016784668
2017-12-04 17:30:00,56.21500015258789
