Datetime,ALXN
2017-11-06 14:30:00,116.44000244140625
2017-11-06 15:30:00,116.47000122070312
2017-11-06 16:30:00,115.97000122070312
2017-11-06 17:30:00,115.7699966430664
2017-11-06 18:30:00,116.54000091552734
2017-11-06 19:30:00,116.38500213623047
2017-11-06 20:30:00,115.93000030517578
2017-11-07 14:30:00,114.20999908447266
2017-11-07 15:30:00,116.03500366210938
2017-11-07 16:30:00,116.2300033569336
2017-11-07 17:30:00,116.0
2017-11-07 18:30:00,116.23999786376953
2017-11-07 19:30:00,117.18000030517578
2017-11-07 20:30:00,117.45999908447266
2017-11-08 14:30:00,116.38999938964844
2017-11-08 15:30:00,116.11000061035156
2017-11-08 16:30:00,115.88999938964844
2017-11-08 17:30:00,114.97000122070312
2017-11-08 18:30:00,114.58000183105469
2017-11-08 19:30:00,114.75
2017-11-08 20:30:00,115.38999938964844
2017-11-09 14:30:00,116.02999877929688
2017-11-09 15:30:00,116.4000015258789
2017-11-09 16:30:00,116.0
2017-11-09 17:30:00,116.68199920654297
2017-11-09 18:30:00,116.5199966430664
2017-11-09 19:30:00,116.51000213623047
2017-11-09 20:30:00,116.37000274658203
2017-11-10 14:30:00,115.33999633789062
2017-11-10 15:30:00,115.70999908447266
2017-11-10 16:30:00,115.70999908447266
2017-11-10 17:30:00,115.47000122070312
2017-11-10 18:30:00,115.1500015258789
2017-11-10 19:30:00,115.20999908447266
2017-11-10 20:30:00,115.1500015258789
2017-11-13 14:30:00,115.0199966430664
2017-11-13 15:30:00,114.38500213623047
2017-11-13 16:30:00,113.47000122070312
2017-11-13 17:30:00,113.75
2017-11-13 18:30:00,113.79000091552734
2017-11-13 19:30:00,113.81999969482422
2017-11-13 20:30:00,113.44000244140625
2017-11-14 14:30:00,110.75
2017-11-14 15:30:00,110.0
2017-11-14 16:30:00,110.0250015258789
2017-11-14 17:30:00,110.37999725341797
2017-11-14 18:30:00,109.93599700927734
2017-11-14 19:30:00,110.20999908447266
2017-11-14 20:30:00,109.9800033569336
2017-11-15 14:30:00,110.05000305175781
2017-11-15 15:30:00,110.75
2017-11-15 16:30:00,110.76499938964844
2017-11-15 17:30:00,110.55000305175781
2017-11-15 18:30:00,110.41999816894531
2017-11-15 19:30:00,110.61499786376953
2017-11-15 20:30:00,110.33999633789062
2017-11-16 14:30:00,108.41000366210938
2017-11-16 15:30:00,109.4800033569336
2017-11-16 16:30:00,109.47000122070312
2017-11-16 17:30:00,109.5
2017-11-16 18:30:00,109.69999694824219
2017-11-16 19:30:00,110.44000244140625
2017-11-16 20:30:00,110.30999755859375
2017-11-17 14:30:00,109.86000061035156
2017-11-17 15:30:00,110.19000244140625
2017-11-17 16:30:00,109.94999694824219
2017-11-17 17:30:00,110.13999938964844
2017-11-17 18:30:00,110.19000244140625
2017-11-17 19:30:00,110.48500061035156
2017-11-17 20:30:00,110.91000366210938
2017-11-20 14:30:00,109.15299987792969
2017-11-20 15:30:00,109.08499908447266
2017-11-20 16:30:00,109.20999908447266
2017-11-20 17:30:00,108.68000030517578
2017-11-20 18:30:00,108.4800033569336
2017-11-20 19:30:00,108.68000030517578
2017-11-20 20:30:00,108.55000305175781
2017-11-21 14:30:00,108.69000244140625
2017-11-21 15:30:00,108.44000244140625
2017-11-21 16:30:00,108.47000122070312
2017-11-21 17:30:00,108.42749786376953
2017-11-21 18:30:00,108.38999938964844
2017-11-21 19:30:00,108.58000183105469
2017-11-21 20:30:00,108.05999755859375
2017-11-22 14:30:00,107.72750091552734
2017-11-22 15:30:00,107.37539672851562
2017-11-22 16:30:00,107.63999938964844
2017-11-22 17:30:00,107.91000366210938
2017-11-22 18:30:00,107.36000061035156
2017-11-22 19:30:00,107.6500015258789
2017-11-22 20:30:00,107.62000274658203
2017-11-24 14:30:00,108.33000183105469
2017-11-24 15:30:00,108.79000091552734
2017-11-24 16:30:00,108.33999633789062
2017-11-24 18:00:00,108.62090301513672
2017-11-27 14:30:00,109.2300033569336
2017-11-27 15:30:00,108.43000030517578
2017-11-27 16:30:00,108.46499633789062
2017-11-27 17:30:00,108.0
2017-11-27 18:30:00,107.48500061035156
2017-11-27 19:30:00,107.75
2017-11-27 20:30:00,107.73999786376953
2017-11-28 14:30:00,108.1050033569336
2017-11-28 15:30:00,108.27999877929688
2017-11-28 16:30:00,108.12999725341797
2017-11-28 17:30:00,108.44000244140625
2017-11-28 18:30:00,108.12999725341797
2017-11-28 19:30:00,107.80500030517578
2017-11-28 20:30:00,108.08999633789062
2017-11-29 14:30:00,108.42359924316406
2017-11-29 15:30:00,108.69999694824219
2017-11-29 16:30:00,109.5999984741211
2017-11-29 17:30:00,108.83999633789062
2017-11-29 18:30:00,107.54000091552734
2017-11-29 19:30:00,107.41000366210938
2017-11-29 20:30:00,107.36000061035156
2017-11-30 14:30:00,109.77999877929688
2017-11-30 15:30:00,109.44999694824219
2017-11-30 16:30:00,110.27999877929688
2017-11-30 17:30:00,110.0199966430664
2017-11-30 18:30:00,109.8499984741211
2017-11-30 19:30:00,109.69999694824219
2017-11-30 20:30:00,109.83999633789062
2017-12-01 14:30:00,110.53500366210938
2017-12-01 15:30:00,108.0
2017-12-01 16:30:00,108.26000213623047
2017-12-01 17:30:00,109.02999877929688
2017-12-01 18:30:00,109.19999694824219
2017-12-01 19:30:00,109.12999725341797
2017-12-01 20:30:00,108.9800033569336
2017-12-04 14:30:00,110.2699966430664
2017-12-04 15:30:00,112.6500015258789
2017-12-04 16:30:00,112.62999725341797
2017-12-04 17:30:00,112.5250015258789
