Datetime,BIIB
2017-12-05 19:30:00,319.8399963378906
2017-12-05 20:30:00,320.0400085449219
2017-12-06 14:30:00,316.8800048828125
2017-12-06 15:30:00,315.510009765625
2017-12-06 16:30:00,312.32000732421875
2017-12-06 17:30:00,312.5199890136719
2017-12-06 18:30:00,313.8900146484375
2017-12-06 19:30:00,313.95001220703125
2017-12-06 20:30:00,314.6099853515625
2017-12-07 14:30:00,316.3999938964844
2017-12-07 15:30:00,316.80499267578125
2017-12-07 16:30:00,318.8900146484375
2017-12-07 17:30:00,319.0400085449219
2017-12-07 18:30:00,318.3599853515625
2017-12-07 19:30:00,319.1499938964844
2017-12-07 20:30:00,319.57000732421875
2017-12-08 14:30:00,323.7699890136719
2017-12-08 15:30:00,325.0400085449219
2017-12-08 16:30:00,325.9100036621094
2017-12-08 17:30:00,326.3800048828125
2017-12-08 18:30:00,327.0
2017-12-08 19:30:00,325.8599853515625
2017-12-08 20:30:00,325.8699951171875
2017-12-11 14:30:00,324.1000061035156
2017-12-11 15:30:00,325.5856018066406
2017-12-11 16:30:00,328.3999938964844
2017-12-11 17:30:00,329.9049987792969
2017-12-11 18:30:00,329.6099853515625
2017-12-11 19:30:00,327.82000732421875
2017-12-11 20:30:00,328.0
2017-12-12 14:30:00,325.0950012207031
2017-12-12 15:30:00,325.2850036621094
2017-12-12 16:30:00,326.6000061035156
2017-12-12 17:30:00,325.5899963378906
2017-12-12 18:30:00,325.739990234375
2017-12-12 19:30:00,326.70001220703125
2017-12-12 20:30:00,327.79998779296875
2017-12-13 14:30:00,331.6099853515625
2017-12-13 15:30:00,331.4150085449219
2017-12-13 16:30:00,330.7900085449219
2017-12-13 17:30:00,330.95379638671875
2017-12-13 18:30:00,330.8800048828125
2017-12-13 19:30:00,332.5899963378906
2017-12-13 20:30:00,330.5899963378906
2017-12-14 14:30:00,326.1400146484375
2017-12-14 15:30:00,324.70001220703125
2017-12-14 16:30:00,324.3399963378906
2017-12-14 17:30:00,324.42999267578125
2017-12-14 18:30:00,322.3599853515625
2017-12-14 19:30:00,321.2900085449219
2017-12-14 20:30:00,323.55999755859375
2017-12-15 14:30:00,326.29998779296875
2017-12-15 15:30:00,326.95001220703125
2017-12-15 16:30:00,327.54998779296875
2017-12-15 17:30:00,328.635009765625
2017-12-15 18:30:00,329.45001220703125
2017-12-15 19:30:00,328.9800109863281
