Datetime,PAYX
2017-12-04 18:30:00,67.7699966430664
2017-12-04 19:30:00,67.7300033569336
2017-12-04 20:30:00,67.5999984741211
2017-12-05 14:30:00,68.06999969482422
2017-12-05 15:30:00,68.26499938964844
2017-12-05 16:30:00,68.37999725341797
2017-12-05 17:30:00,67.98500061035156
2017-12-05 18:30:00,67.9749984741211
2017-12-05 19:30:00,67.94999694824219
2017-12-05 20:30:00,67.94000244140625
2017-12-06 14:30:00,68.1500015258789
2017-12-06 15:30:00,68.00900268554688
2017-12-06 16:30:00,67.97000122070312
2017-12-06 17:30:00,68.05000305175781
2017-12-06 18:30:00,68.04000091552734
2017-12-06 19:30:00,68.54000091552734
2017-12-06 20:30:00,68.41000366210938
2017-12-07 14:30:00,68.37000274658203
2017-12-07 15:30:00,68.55000305175781
2017-12-07 16:30:00,68.31999969482422
2017-12-07 17:30:00,68.52999877929688
2017-12-07 18:30:00,68.58000183105469
2017-12-07 19:30:00,68.70999908447266
2017-12-07 20:30:00,68.54000091552734
2017-12-08 14:30:00,68.73999786376953
2017-12-08 15:30:00,68.73999786376953
2017-12-08 16:30:00,69.0199966430664
2017-12-08 17:30:00,69.01000213623047
2017-12-08 18:30:00,68.8499984741211
2017-12-08 19:30:00,68.91999816894531
2017-12-08 20:30:00,69.01000213623047
2017-12-11 14:30:00,68.93000030517578
2017-12-11 15:30:00,69.0999984741211
2017-12-11 16:30:00,69.09500122070312
2017-12-11 17:30:00,68.91999816894531
2017-12-11 18:30:00,68.94999694824219
2017-12-11 19:30:00,68.93000030517578
2017-12-11 20:30:00,69.01010131835938
2017-12-12 14:30:00,68.72000122070312
2017-12-12 15:30:00,68.87000274658203
2017-12-12 16:30:00,68.88999938964844
2017-12-12 17:30:00,68.93000030517578
2017-12-12 18:30:00,68.9749984741211
2017-12-12 19:30:00,68.87000274658203
2017-12-12 20:30:00,68.7300033569336
2017-12-13 14:30:00,68.7300033569336
2017-12-13 15:30:00,68.73999786376953
2017-12-13 16:30:00,68.6449966430664
2017-12-13 17:30:00,68.79000091552734
2017-12-13 18:30:00,69.01000213623047
2017-12-13 19:30:00,68.94000244140625
2017-12-13 20:30:00,68.80999755859375
2017-12-14 14:30:00,68.6875991821289
2017-12-14 15:30:00,68.55500030517578
2017-12-14 16:30:00,68.49009704589844
2017-12-14 17:30:00,68.50250244140625
2017-12-14 18:30:00,68.4000015258789
2017-12-14 19:30:00,68.51000213623047
2017-12-14 20:30:00,68.33999633789062
2017-12-15 14:30:00,69.1050033569336
2017-12-15 15:30:00,69.58000183105469
2017-12-15 16:30:00,69.77999877929688
2017-12-15 17:30:00,69.80999755859375
2017-12-15 18:30:00,70.02999877929688
2017-12-15 19:30:00,70.06999969482422
2017-12-15 20:30:00,69.7699966430664
2017-12-18 14:30:00,69.74500274658203
2017-12-18 15:30:00,69.9000015258789
2017-12-18 16:30:00,70.0999984741211
