Datetime,EXPE
2017-11-06 14:30:00,122.69999694824219
2017-11-06 15:30:00,123.20999908447266
2017-11-06 16:30:00,122.68000030517578
2017-11-06 17:30:00,122.61000061035156
2017-11-06 18:30:00,122.77999877929688
2017-11-06 19:30:00,122.69999694824219
2017-11-06 20:30:00,123.0
2017-11-07 14:30:00,120.58999633789062
2017-11-07 15:30:00,120.79000091552734
2017-11-07 16:30:00,120.44999694824219
2017-11-07 17:30:00,120.91000366210938
2017-11-07 18:30:00,120.61000061035156
2017-11-07 19:30:00,119.98999786376953
2017-11-07 20:30:00,119.5999984741211
2017-11-08 14:30:00,118.05999755859375
2017-11-08 15:30:00,118.08280181884766
2017-11-08 16:30:00,118.11000061035156
2017-11-08 17:30:00,118.40010070800781
2017-11-08 18:30:00,118.58000183105469
2017-11-08 19:30:00,118.37999725341797
2017-11-08 20:30:00,118.55999755859375
2017-11-09 14:30:00,117.37000274658203
2017-11-09 15:30:00,117.43000030517578
2017-11-09 16:30:00,116.55999755859375
2017-11-09 17:30:00,117.08999633789062
2017-11-09 18:30:00,117.37000274658203
2017-11-09 19:30:00,117.41000366210938
2017-11-09 20:30:00,117.30000305175781
2017-11-10 14:30:00,117.11000061035156
2017-11-10 15:30:00,118.2750015258789
2017-11-10 16:30:00,120.2699966430664
2017-11-10 17:30:00,119.49810028076172
2017-11-10 18:30:00,120.80999755859375
2017-11-10 19:30:00,120.47000122070312
2017-11-10 20:30:00,120.72000122070312
2017-11-13 14:30:00,120.16999816894531
2017-11-13 15:30:00,120.66999816894531
2017-11-13 16:30:00,120.4800033569336
2017-11-13 17:30:00,120.22000122070312
2017-11-13 18:30:00,119.79000091552734
2017-11-13 19:30:00,120.12999725341797
2017-11-13 20:30:00,120.29010009765625
2017-11-14 14:30:00,120.94999694824219
2017-11-14 15:30:00,120.87000274658203
2017-11-14 16:30:00,121.08000183105469
2017-11-14 17:30:00,121.44499969482422
2017-11-14 18:30:00,122.31500244140625
2017-11-14 19:30:00,122.43000030517578
2017-11-14 20:30:00,122.11000061035156
2017-11-15 14:30:00,120.88999938964844
2017-11-15 15:30:00,120.98999786376953
2017-11-15 16:30:00,120.55999755859375
2017-11-15 17:30:00,120.83499908447266
2017-11-15 18:30:00,121.375
2017-11-15 19:30:00,120.8499984741211
2017-11-15 20:30:00,121.16000366210938
2017-11-16 14:30:00,121.51499938964844
2017-11-16 15:30:00,121.81999969482422
2017-11-16 16:30:00,122.22000122070312
2017-11-16 17:30:00,122.30699920654297
2017-11-16 18:30:00,122.0999984741211
2017-11-16 19:30:00,122.54000091552734
2017-11-16 20:30:00,121.98999786376953
2017-11-17 14:30:00,123.05000305175781
2017-11-17 15:30:00,123.8499984741211
2017-11-17 16:30:00,124.06999969482422
2017-11-17 17:30:00,123.20999908447266
2017-11-17 18:30:00,123.37999725341797
2017-11-17 19:30:00,123.77999877929688
2017-11-17 20:30:00,123.95999908447266
2017-11-20 14:30:00,124.2300033569336
