Datetime,ROST
2017-12-05 18:30:00,77.45999908447266
2017-12-05 19:30:00,77.44999694824219
2017-12-05 20:30:00,77.0199966430664
2017-12-06 14:30:00,76.66000366210938
2017-12-06 15:30:00,76.83000183105469
2017-12-06 16:30:00,76.73999786376953
2017-12-06 17:30:00,76.81999969482422
2017-12-06 18:30:00,77.08999633789062
2017-12-06 19:30:00,76.93000030517578
2017-12-06 20:30:00,76.80000305175781
2017-12-07 14:30:00,77.22000122070312
2017-12-07 15:30:00,76.9000015258789
2017-12-07 16:30:00,77.02999877929688
2017-12-07 17:30:00,76.69999694824219
2017-12-07 18:30:00,76.72000122070312
2017-12-07 19:30:00,76.75
2017-12-07 20:30:00,76.69999694824219
2017-12-08 14:30:00,76.29000091552734
2017-12-08 15:30:00,76.62999725341797
2017-12-08 16:30:00,76.98999786376953
2017-12-08 17:30:00,76.76000213623047
2017-12-08 18:30:00,76.73999786376953
2017-12-08 19:30:00,76.6500015258789
2017-12-08 20:30:00,76.88999938964844
2017-12-11 14:30:00,76.58999633789062
2017-12-11 15:30:00,76.16999816894531
2017-12-11 16:30:00,76.41999816894531
2017-12-11 17:30:00,76.7699966430664
2017-12-11 18:30:00,76.69000244140625
2017-12-11 19:30:00,76.72000122070312
2017-12-11 20:30:00,76.75
2017-12-12 14:30:00,76.7699966430664
2017-12-12 15:30:00,76.29000091552734
2017-12-12 16:30:00,76.37000274658203
2017-12-12 17:30:00,76.51499938964844
2017-12-12 18:30:00,76.45999908447266
2017-12-12 19:30:00,76.46499633789062
2017-12-12 20:30:00,76.41000366210938
2017-12-13 14:30:00,77.19000244140625
2017-12-13 15:30:00,77.03500366210938
2017-12-13 16:30:00,77.13999938964844
2017-12-13 17:30:00,76.91000366210938
2017-12-13 18:30:00,77.22000122070312
2017-12-13 19:30:00,77.19000244140625
2017-12-13 20:30:00,76.97000122070312
2017-12-14 14:30:00,76.5999984741211
2017-12-14 15:30:00,76.06999969482422
2017-12-14 16:30:00,76.12999725341797
2017-12-14 17:30:00,76.02999877929688
2017-12-14 18:30:00,75.2300033569336
2017-12-14 19:30:00,75.55999755859375
2017-12-14 20:30:00,75.52999877929688
2017-12-15 14:30:00,75.9800033569336
2017-12-15 15:30:00,76.26000213623047
2017-12-15 16:30:00,76.3301010131836
2017-12-15 17:30:00,76.36000061035156
2017-12-15 18:30:00,76.55999755859375
2017-12-15 19:30:00,76.43000030517578
2017-12-15 20:30:00,75.95999908447266
2017-12-18 14:30:00,76.9000015258789
2017-12-18 15:30:00,77.30000305175781
2017-12-18 16:30:00,77.4000015258789
