Datetime,LRCX
2017-11-06 14:30:00,206.75999450683594
2017-11-06 15:30:00,205.4499969482422
2017-11-06 16:30:00,205.27000427246094
2017-11-06 17:30:00,204.99000549316406
2017-11-06 18:30:00,205.38999938964844
2017-11-06 19:30:00,205.9499969482422
2017-11-06 20:30:00,206.6699981689453
2017-11-07 14:30:00,208.3699951171875
2017-11-07 15:30:00,207.49000549316406
2017-11-07 16:30:00,208.02999877929688
2017-11-07 17:30:00,209.01510620117188
2017-11-07 18:30:00,209.49000549316406
2017-11-07 19:30:00,208.52000427246094
2017-11-07 20:30:00,209.18499755859375
2017-11-08 14:30:00,208.69000244140625
2017-11-08 15:30:00,208.61500549316406
2017-11-08 16:30:00,208.63999938964844
2017-11-08 17:30:00,209.47900390625
2017-11-08 18:30:00,210.47999572753906
2017-11-08 19:30:00,211.1300048828125
2017-11-08 20:30:00,211.25
2017-11-09 14:30:00,206.61000061035156
2017-11-09 15:30:00,206.44000244140625
2017-11-09 16:30:00,204.0800018310547
2017-11-09 17:30:00,204.9600067138672
2017-11-09 18:30:00,204.5
2017-11-09 19:30:00,205.4600067138672
2017-11-09 20:30:00,206.27999877929688
2017-11-10 14:30:00,205.61500549316406
2017-11-10 15:30:00,205.1199951171875
2017-11-10 16:30:00,205.61000061035156
2017-11-10 17:30:00,205.83999633789062
2017-11-10 18:30:00,207.14999389648438
2017-11-10 19:30:00,207.3000030517578
2017-11-10 20:30:00,207.4199981689453
2017-11-13 14:30:00,207.19000244140625
2017-11-13 15:30:00,207.8800048828125
2017-11-13 16:30:00,208.42999267578125
2017-11-13 17:30:00,208.17999267578125
2017-11-13 18:30:00,208.69000244140625
2017-11-13 19:30:00,208.67999267578125
2017-11-13 20:30:00,209.19000244140625
2017-11-14 14:30:00,207.6999969482422
2017-11-14 15:30:00,208.24000549316406
2017-11-14 16:30:00,208.3800048828125
2017-11-14 17:30:00,207.60000610351562
2017-11-14 18:30:00,208.2899932861328
2017-11-14 19:30:00,207.86279296875
2017-11-14 20:30:00,208.63999938964844
2017-11-15 14:30:00,209.47000122070312
2017-11-15 15:30:00,210.1199951171875
2017-11-15 16:30:00,209.55999755859375
2017-11-15 17:30:00,209.14999389648438
2017-11-15 18:30:00,209.36000061035156
2017-11-15 19:30:00,208.14999389648438
2017-11-15 20:30:00,207.86000061035156
2017-11-16 14:30:00,211.9499969482422
2017-11-16 15:30:00,212.0800018310547
2017-11-16 16:30:00,212.83999633789062
2017-11-16 17:30:00,213.50840759277344
2017-11-16 18:30:00,213.8699951171875
2017-11-16 19:30:00,214.07000732421875
2017-11-16 20:30:00,213.17999267578125
2017-11-17 14:30:00,210.4530029296875
2017-11-17 15:30:00,210.58999633789062
2017-11-17 16:30:00,211.14280700683594
2017-11-17 17:30:00,210.97000122070312
2017-11-17 18:30:00,210.85000610351562
2017-11-17 19:30:00,210.15370178222656
2017-11-17 20:30:00,210.4199981689453
2017-11-20 14:30:00,215.17999267578125
2017-11-20 15:30:00,215.31680297851562
2017-11-20 16:30:00,214.80999755859375
2017-11-20 17:30:00,216.02000427246094
2017-11-20 18:30:00,214.58999633789062
2017-11-20 19:30:00,214.55999755859375
2017-11-20 20:30:00,215.10000610351562
2017-11-21 14:30:00,219.14999389648438
2017-11-21 15:30:00,218.64700317382812
2017-11-21 16:30:00,218.8513946533203
2017-11-21 17:30:00,218.66200256347656
2017-11-21 18:30:00,218.85000610351562
2017-11-21 19:30:00,218.36000061035156
2017-11-21 20:30:00,218.9600067138672
2017-11-22 14:30:00,216.97999572753906
2017-11-22 15:30:00,216.3800048828125
2017-11-22 16:30:00,216.11500549316406
2017-11-22 17:30:00,215.48989868164062
2017-11-22 18:30:00,215.36000061035156
2017-11-22 19:30:00,215.08999633789062
2017-11-22 20:30:00,215.22000122070312
2017-11-24 14:30:00,216.6300048828125
2017-11-24 15:30:00,216.5399932861328
2017-11-24 16:30:00,216.57000732421875
2017-11-24 18:00:00,216.64259338378906
2017-11-27 14:30:00,211.50999450683594
2017-11-27 15:30:00,211.47000122070312
2017-11-27 16:30:00,211.860107421875
2017-11-27 17:30:00,211.5800018310547
2017-11-27 18:30:00,212.3300018310547
2017-11-27 19:30:00,211.75
2017-11-27 20:30:00,210.91000366210938
2017-11-28 14:30:00,214.1446990966797
2017-11-28 15:30:00,214.0
2017-11-28 16:30:00,215.06500244140625
2017-11-28 17:30:00,213.6999969482422
2017-11-28 18:30:00,213.53250122070312
2017-11-28 19:30:00,213.38999938964844
2017-11-28 20:30:00,213.16000366210938
2017-11-29 14:30:00,197.4600067138672
2017-11-29 15:30:00,194.52999877929688
2017-11-29 16:30:00,195.47999572753906
2017-11-29 17:30:00,197.27999877929688
2017-11-29 18:30:00,193.85000610351562
2017-11-29 19:30:00,193.7899932861328
2017-11-29 20:30:00,194.63999938964844
2017-11-30 14:30:00,197.7310028076172
2017-11-30 15:30:00,195.44000244140625
2017-11-30 16:30:00,195.7100067138672
2017-11-30 17:30:00,194.97000122070312
2017-11-30 18:30:00,194.75999450683594
2017-11-30 19:30:00,192.52499389648438
2017-11-30 20:30:00,192.27999877929688
2017-12-01 14:30:00,188.75
2017-12-01 15:30:00,183.2100067138672
2017-12-01 16:30:00,184.9550018310547
2017-12-01 17:30:00,186.24899291992188
2017-12-01 18:30:00,187.8699951171875
2017-12-01 19:30:00,187.17999267578125
2017-12-01 20:30:00,187.75999450683594
2017-12-04 14:30:00,183.24000549316406
2017-12-04 15:30:00,181.7100067138672
2017-12-04 16:30:00,182.3000030517578
