Datetime,LBTYK
2017-11-08 14:30:00,29.558500289916992
2017-11-08 15:30:00,29.719999313354492
2017-11-08 16:30:00,29.69499969482422
2017-11-08 17:30:00,29.514999389648438
2017-11-08 18:30:00,29.299999237060547
2017-11-08 19:30:00,29.059999465942383
2017-11-08 20:30:00,28.790000915527344
2017-11-09 14:30:00,28.75
2017-11-09 15:30:00,28.709999084472656
2017-11-09 16:30:00,28.649999618530273
2017-11-09 17:30:00,28.700000762939453
2017-11-09 18:30:00,28.690000534057617
2017-11-09 19:30:00,28.65999984741211
2017-11-09 20:30:00,28.520000457763672
2017-11-10 14:30:00,28.459999084472656
2017-11-10 15:30:00,28.614999771118164
2017-11-10 16:30:00,28.59000015258789
2017-11-10 17:30:00,28.760000228881836
2017-11-10 18:30:00,28.790000915527344
2017-11-10 19:30:00,28.780000686645508
2017-11-10 20:30:00,28.68000030517578
2017-11-13 14:30:00,28.614999771118164
2017-11-13 15:30:00,28.479999542236328
2017-11-13 16:30:00,28.440000534057617
2017-11-13 17:30:00,28.559999465942383
2017-11-13 18:30:00,28.440000534057617
2017-11-13 19:30:00,28.520000457763672
2017-11-13 20:30:00,28.799999237060547
2017-11-14 14:30:00,28.5
2017-11-14 15:30:00,28.469999313354492
2017-11-14 16:30:00,28.229999542236328
2017-11-14 17:30:00,28.440000534057617
2017-11-14 18:30:00,28.43000030517578
2017-11-14 19:30:00,28.43000030517578
2017-11-14 20:30:00,28.329999923706055
2017-11-15 14:30:00,28.280000686645508
2017-11-15 15:30:00,28.540000915527344
2017-11-15 16:30:00,28.729999542236328
2017-11-15 17:30:00,28.649999618530273
2017-11-15 18:30:00,28.81999969482422
2017-11-15 19:30:00,28.93000030517578
2017-11-15 20:30:00,29.059999465942383
2017-11-16 14:30:00,29.05500030517578
2017-11-16 15:30:00,28.950000762939453
2017-11-16 16:30:00,29.0
2017-11-16 17:30:00,28.940000534057617
2017-11-16 18:30:00,28.989999771118164
2017-11-16 19:30:00,28.829999923706055
2017-11-16 20:30:00,28.770000457763672
2017-11-17 14:30:00,29.09000015258789
2017-11-17 15:30:00,29.20009994506836
2017-11-17 16:30:00,29.219999313354492
2017-11-17 17:30:00,29.183799743652344
2017-11-17 18:30:00,29.270000457763672
2017-11-17 19:30:00,29.25
2017-11-17 20:30:00,29.100000381469727
2017-11-20 14:30:00,29.200000762939453
2017-11-20 15:30:00,29.459999084472656
2017-11-20 16:30:00,29.360000610351562
2017-11-20 17:30:00,29.395000457763672
2017-11-20 18:30:00,29.5
2017-11-20 19:30:00,29.49250030517578
2017-11-20 20:30:00,29.3700008392334
2017-11-21 14:30:00,29.5
2017-11-21 15:30:00,29.459999084472656
2017-11-21 16:30:00,29.5
2017-11-21 17:30:00,29.399999618530273
2017-11-21 18:30:00,29.399999618530273
2017-11-21 19:30:00,29.5049991607666
2017-11-21 20:30:00,29.510000228881836
2017-11-22 14:30:00,29.559999465942383
2017-11-22 15:30:00,29.674999237060547
2017-11-22 16:30:00,29.700000762939453
2017-11-22 17:30:00,29.65999984741211
2017-11-22 18:30:00,29.59000015258789
2017-11-22 19:30:00,29.739999771118164
2017-11-22 20:30:00,29.639999389648438
2017-11-24 14:30:00,29.094999313354492
2017-11-24 15:30:00,29.170000076293945
2017-11-24 16:30:00,29.44499969482422
2017-11-24 18:00:00,29.36669921875
2017-11-27 14:30:00,29.100000381469727
2017-11-27 15:30:00,28.850000381469727
2017-11-27 16:30:00,28.920000076293945
2017-11-27 17:30:00,29.0
2017-11-27 18:30:00,29.010000228881836
2017-11-27 19:30:00,28.989999771118164
2017-11-27 20:30:00,29.0
2017-11-28 14:30:00,29.040000915527344
2017-11-28 15:30:00,28.920000076293945
2017-11-28 16:30:00,28.979999542236328
2017-11-28 17:30:00,29.010000228881836
2017-11-28 18:30:00,28.9950008392334
2017-11-28 19:30:00,29.094999313354492
2017-11-28 20:30:00,29.170000076293945
2017-11-29 14:30:00,31.1299991607666
2017-11-29 15:30:00,31.399999618530273
2017-11-29 16:30:00,31.200000762939453
2017-11-29 17:30:00,31.299999237060547
2017-11-29 18:30:00,31.440000534057617
2017-11-29 19:30:00,31.43000030517578
2017-11-29 20:30:00,31.280000686645508
2017-11-30 14:30:00,30.770000457763672
2017-11-30 15:30:00,30.850000381469727
2017-11-30 16:30:00,30.815000534057617
2017-11-30 17:30:00,30.8700008392334
2017-11-30 18:30:00,30.8700008392334
2017-11-30 19:30:00,30.809999465942383
2017-11-30 20:30:00,30.829999923706055
2017-12-01 14:30:00,30.68000030517578
2017-12-01 15:30:00,30.540000915527344
2017-12-01 16:30:00,30.670000076293945
2017-12-01 17:30:00,30.850000381469727
2017-12-01 18:30:00,30.780000686645508
2017-12-01 19:30:00,30.81999969482422
2017-12-01 20:30:00,30.780000686645508
2017-12-04 14:30:00,30.979999542236328
2017-12-04 15:30:00,31.09000015258789
2017-12-04 16:30:00,31.040000915527344
2017-12-04 17:30:00,31.139999389648438
2017-12-04 18:30:00,31.229999542236328
2017-12-04 19:30:00,31.375
2017-12-04 20:30:00,31.31999969482422
2017-12-05 14:30:00,31.174999237060547
2017-12-05 15:30:00,31.139999389648438
2017-12-05 16:30:00,31.184999465942383
2017-12-05 17:30:00,31.170000076293945
2017-12-05 18:30:00,31.046899795532227
2017-12-05 19:30:00,30.950000762939453
2017-12-05 20:30:00,30.875
2017-12-06 14:30:00,30.582500457763672
2017-12-06 15:30:00,30.6200008392334
2017-12-06 16:30:00,30.479999542236328
2017-12-06 17:30:00,30.53179931640625
