Datetime,TMUS
2017-11-08 14:30:00,55.68000030517578
2017-11-08 15:30:00,56.150001525878906
2017-11-08 16:30:00,55.95240020751953
2017-11-08 17:30:00,56.1150016784668
2017-11-08 18:30:00,56.244998931884766
2017-11-08 19:30:00,56.16999816894531
2017-11-08 20:30:00,56.220001220703125
2017-11-09 14:30:00,56.470001220703125
2017-11-09 15:30:00,56.209999084472656
2017-11-09 16:30:00,55.90999984741211
2017-11-09 17:30:00,55.84000015258789
2017-11-09 18:30:00,55.81999969482422
2017-11-09 19:30:00,55.810001373291016
2017-11-09 20:30:00,56.0
2017-11-10 14:30:00,56.08000183105469
2017-11-10 15:30:00,56.060001373291016
2017-11-10 16:30:00,56.31999969482422
2017-11-10 17:30:00,56.459999084472656
2017-11-10 18:30:00,56.55500030517578
2017-11-10 19:30:00,56.7599983215332
2017-11-10 20:30:00,56.77000045776367
2017-11-13 14:30:00,56.150001525878906
2017-11-13 15:30:00,56.150001525878906
2017-11-13 16:30:00,56.154998779296875
2017-11-13 17:30:00,56.119998931884766
2017-11-13 18:30:00,56.01499938964844
2017-11-13 19:30:00,56.224998474121094
2017-11-13 20:30:00,56.45000076293945
2017-11-14 14:30:00,56.185001373291016
2017-11-14 15:30:00,56.5
2017-11-14 16:30:00,56.709999084472656
2017-11-14 17:30:00,56.67499923706055
2017-11-14 18:30:00,56.779998779296875
2017-11-14 19:30:00,56.7599983215332
2017-11-14 20:30:00,56.540000915527344
2017-11-15 14:30:00,56.459999084472656
2017-11-15 15:30:00,56.41999816894531
2017-11-15 16:30:00,56.5525016784668
2017-11-15 17:30:00,56.70500183105469
2017-11-15 18:30:00,56.784400939941406
2017-11-15 19:30:00,56.86000061035156
2017-11-15 20:30:00,56.70000076293945
2017-11-16 14:30:00,58.70000076293945
2017-11-16 15:30:00,58.83879852294922
2017-11-16 16:30:00,59.5099983215332
2017-11-16 17:30:00,59.599998474121094
2017-11-16 18:30:00,59.665000915527344
2017-11-16 19:30:00,59.810001373291016
2017-11-16 20:30:00,59.790000915527344
2017-11-17 14:30:00,59.31999969482422
2017-11-17 15:30:00,59.38999938964844
2017-11-17 16:30:00,59.720001220703125
2017-11-17 17:30:00,59.9900016784668
2017-11-17 18:30:00,60.0099983215332
2017-11-17 19:30:00,59.97999954223633
2017-11-17 20:30:00,60.04999923706055
2017-11-20 14:30:00,59.90999984741211
2017-11-20 15:30:00,59.91999816894531
2017-11-20 16:30:00,59.66999816894531
2017-11-20 17:30:00,59.9900016784668
2017-11-20 18:30:00,60.0099983215332
2017-11-20 19:30:00,60.209999084472656
2017-11-20 20:30:00,60.29999923706055
2017-11-21 14:30:00,60.5099983215332
2017-11-21 15:30:00,60.3849983215332
2017-11-21 16:30:00,60.64950180053711
2017-11-21 17:30:00,60.685001373291016
2017-11-21 18:30:00,60.525001525878906
2017-11-21 19:30:00,60.404998779296875
2017-11-21 20:30:00,60.439998626708984
2017-11-22 14:30:00,60.75
2017-11-22 15:30:00,61.060001373291016
2017-11-22 16:30:00,61.060001373291016
2017-11-22 17:30:00,61.03499984741211
2017-11-22 18:30:00,61.189998626708984
2017-11-22 19:30:00,61.15999984741211
2017-11-22 20:30:00,61.345001220703125
2017-11-24 14:30:00,61.310001373291016
2017-11-24 15:30:00,61.970001220703125
2017-11-24 16:30:00,61.83000183105469
2017-11-24 18:00:00,61.72999954223633
2017-11-27 14:30:00,61.83000183105469
2017-11-27 15:30:00,61.439998626708984
2017-11-27 16:30:00,61.630001068115234
2017-11-27 17:30:00,61.540000915527344
2017-11-27 18:30:00,61.9900016784668
2017-11-27 19:30:00,62.099998474121094
2017-11-27 20:30:00,62.810001373291016
2017-11-28 14:30:00,62.060001373291016
2017-11-28 15:30:00,61.90999984741211
2017-11-28 16:30:00,61.570098876953125
2017-11-28 17:30:00,61.34000015258789
2017-11-28 18:30:00,61.494998931884766
2017-11-28 19:30:00,61.349998474121094
2017-11-28 20:30:00,61.380001068115234
2017-11-29 14:30:00,62.349998474121094
2017-11-29 15:30:00,61.77000045776367
2017-11-29 16:30:00,61.910099029541016
2017-11-29 17:30:00,61.720001220703125
2017-11-29 18:30:00,61.810001373291016
2017-11-29 19:30:00,61.76499938964844
2017-11-29 20:30:00,61.83000183105469
2017-11-30 14:30:00,61.279998779296875
2017-11-30 15:30:00,61.880001068115234
2017-11-30 16:30:00,61.85499954223633
2017-11-30 17:30:00,61.099998474121094
2017-11-30 18:30:00,60.84000015258789
2017-11-30 19:30:00,60.886199951171875
2017-11-30 20:30:00,61.09000015258789
2017-12-01 14:30:00,60.9900016784668
2017-12-01 15:30:00,60.439998626708984
2017-12-01 16:30:00,60.630001068115234
2017-12-01 17:30:00,61.0099983215332
2017-12-01 18:30:00,60.88999938964844
2017-12-01 19:30:00,61.029998779296875
2017-12-01 20:30:00,60.90999984741211
2017-12-04 14:30:00,60.81999969482422
2017-12-04 15:30:00,60.790000915527344
2017-12-04 16:30:00,60.70000076293945
2017-12-04 17:30:00,60.4900016784668
2017-12-04 18:30:00,60.66999816894531
2017-12-04 19:30:00,60.47100067138672
2017-12-04 20:30:00,60.20000076293945
2017-12-05 14:30:00,60.5
2017-12-05 15:30:00,61.130001068115234
2017-12-05 16:30:00,60.75
2017-12-05 17:30:00,61.029998779296875
2017-12-05 18:30:00,61.150001525878906
2017-12-05 19:30:00,60.689998626708984
2017-12-05 20:30:00,60.95000076293945
2017-12-06 14:30:00,61.77000045776367
2017-12-06 15:30:00,62.04999923706055
2017-12-06 16:30:00,61.689998626708984
