Datetime,LBTYA
2017-11-06 14:30:00,30.670000076293945
2017-11-06 15:30:00,30.5
2017-11-06 16:30:00,30.420000076293945
2017-11-06 17:30:00,30.31999969482422
2017-11-06 18:30:00,30.6200008392334
2017-11-06 19:30:00,30.729999542236328
2017-11-06 20:30:00,30.665000915527344
2017-11-07 14:30:00,30.6200008392334
2017-11-07 15:30:00,30.760000228881836
2017-11-07 16:30:00,30.829999923706055
2017-11-07 17:30:00,30.75
2017-11-07 18:30:00,30.68000030517578
2017-11-07 19:30:00,30.5
2017-11-07 20:30:00,30.540000915527344
2017-11-08 14:30:00,30.459999084472656
2017-11-08 15:30:00,30.6200008392334
2017-11-08 16:30:00,30.600000381469727
2017-11-08 17:30:00,30.399999618530273
2017-11-08 18:30:00,30.239999771118164
2017-11-08 19:30:00,29.989999771118164
2017-11-08 20:30:00,29.799999237060547
2017-11-09 14:30:00,29.739999771118164
2017-11-09 15:30:00,29.700000762939453
2017-11-09 16:30:00,29.6825008392334
2017-11-09 17:30:00,29.729999542236328
2017-11-09 18:30:00,29.719999313354492
2017-11-09 19:30:00,29.700000762939453
2017-11-09 20:30:00,29.600000381469727
2017-11-10 14:30:00,29.55500030517578
2017-11-10 15:30:00,29.649999618530273
2017-11-10 16:30:00,29.6299991607666
2017-11-10 17:30:00,29.790000915527344
2017-11-10 18:30:00,29.844999313354492
2017-11-10 19:30:00,29.799999237060547
2017-11-10 20:30:00,29.719999313354492
2017-11-13 14:30:00,29.6299991607666
2017-11-13 15:30:00,29.4950008392334
2017-11-13 16:30:00,29.489999771118164
2017-11-13 17:30:00,29.579999923706055
2017-11-13 18:30:00,29.4950008392334
2017-11-13 19:30:00,29.549999237060547
2017-11-13 20:30:00,29.770000457763672
2017-11-14 14:30:00,29.489999771118164
2017-11-14 15:30:00,29.440000534057617
2017-11-14 16:30:00,29.219999313354492
2017-11-14 17:30:00,29.399999618530273
2017-11-14 18:30:00,29.40999984741211
2017-11-14 19:30:00,29.399999618530273
2017-11-14 20:30:00,29.350000381469727
2017-11-15 14:30:00,29.270000457763672
2017-11-15 15:30:00,29.510000228881836
2017-11-15 16:30:00,29.770000457763672
2017-11-15 17:30:00,29.69499969482422
2017-11-15 18:30:00,29.8700008392334
2017-11-15 19:30:00,29.979999542236328
2017-11-15 20:30:00,30.110000610351562
2017-11-16 14:30:00,30.059999465942383
2017-11-16 15:30:00,29.950000762939453
2017-11-16 16:30:00,30.010000228881836
2017-11-16 17:30:00,29.979999542236328
2017-11-16 18:30:00,30.027999877929688
2017-11-16 19:30:00,29.860000610351562
2017-11-16 20:30:00,29.80500030517578
2017-11-17 14:30:00,30.15999984741211
2017-11-17 15:30:00,30.299999237060547
2017-11-17 16:30:00,30.31999969482422
2017-11-17 17:30:00,30.280000686645508
2017-11-17 18:30:00,30.360000610351562
2017-11-17 19:30:00,30.34000015258789
2017-11-17 20:30:00,30.149999618530273
2017-11-20 14:30:00,30.219999313354492
2017-11-20 15:30:00,30.469999313354492
2017-11-20 16:30:00,30.3799991607666
2017-11-20 17:30:00,30.420000076293945
2017-11-20 18:30:00,30.5
2017-11-20 19:30:00,30.510000228881836
2017-11-20 20:30:00,30.389999389648438
2017-11-21 14:30:00,30.450000762939453
2017-11-21 15:30:00,30.450000762939453
2017-11-21 16:30:00,30.479999542236328
2017-11-21 17:30:00,30.350000381469727
2017-11-21 18:30:00,30.3700008392334
2017-11-21 19:30:00,30.479999542236328
2017-11-21 20:30:00,30.53499984741211
2017-11-22 14:30:00,30.579999923706055
2017-11-22 15:30:00,30.65999984741211
2017-11-22 16:30:00,30.690000534057617
2017-11-22 17:30:00,30.65999984741211
2017-11-22 18:30:00,30.59000015258789
2017-11-22 19:30:00,30.729999542236328
2017-11-22 20:30:00,30.6299991607666
2017-11-24 14:30:00,30.1200008392334
2017-11-24 15:30:00,30.209999084472656
2017-11-24 16:30:00,30.469999313354492
2017-11-24 18:00:00,30.700000762939453
2017-11-27 14:30:00,30.05769920349121
2017-11-27 15:30:00,29.790000915527344
2017-11-27 16:30:00,29.860000610351562
2017-11-27 17:30:00,29.950000762939453
2017-11-27 18:30:00,29.979999542236328
2017-11-27 19:30:00,29.93000030517578
2017-11-27 20:30:00,29.940000534057617
2017-11-28 14:30:00,30.030000686645508
2017-11-28 15:30:00,29.8700008392334
2017-11-28 16:30:00,29.959999084472656
2017-11-28 17:30:00,29.969999313354492
2017-11-28 18:30:00,29.950000762939453
2017-11-28 19:30:00,30.040000915527344
2017-11-28 20:30:00,30.1299991607666
2017-11-29 14:30:00,32.1150016784668
2017-11-29 15:30:00,32.41999816894531
2017-11-29 16:30:00,32.18000030517578
2017-11-29 17:30:00,32.279998779296875
2017-11-29 18:30:00,32.45000076293945
2017-11-29 19:30:00,32.45000076293945
2017-11-29 20:30:00,32.29999923706055
2017-11-30 14:30:00,31.780000686645508
2017-11-30 15:30:00,31.860000610351562
2017-11-30 16:30:00,31.799999237060547
2017-11-30 17:30:00,31.878999710083008
2017-11-30 18:30:00,31.8700008392334
2017-11-30 19:30:00,31.7549991607666
2017-11-30 20:30:00,31.739999771118164
2017-12-01 14:30:00,31.639999389648438
2017-12-01 15:30:00,31.469999313354492
2017-12-01 16:30:00,31.6200008392334
2017-12-01 17:30:00,31.809999465942383
2017-12-01 18:30:00,31.75
2017-12-01 19:30:00,31.739999771118164
2017-12-01 20:30:00,31.700000762939453
2017-12-04 14:30:00,31.90999984741211
2017-12-04 15:30:00,31.979999542236328
2017-12-04 16:30:00,31.940000534057617
