Datetime,MXIM
2017-11-06 14:30:00,54.220001220703125
2017-11-06 15:30:00,54.30500030517578
2017-11-06 16:30:00,54.45500183105469
2017-11-06 17:30:00,54.720001220703125
2017-11-06 18:30:00,54.65999984741211
2017-11-06 19:30:00,54.650001525878906
2017-11-06 20:30:00,54.790000915527344
2017-11-07 14:30:00,54.18000030517578
2017-11-07 15:30:00,54.43000030517578
2017-11-07 16:30:00,54.119998931884766
2017-11-07 17:30:00,54.22999954223633
2017-11-07 18:30:00,54.33000183105469
2017-11-07 19:30:00,54.64500045776367
2017-11-07 20:30:00,54.70000076293945
2017-11-08 14:30:00,54.79999923706055
2017-11-08 15:30:00,54.9900016784668
2017-11-08 16:30:00,55.060001373291016
2017-11-08 17:30:00,55.349998474121094
2017-11-08 18:30:00,55.22999954223633
2017-11-08 19:30:00,55.275001525878906
2017-11-08 20:30:00,55.310001373291016
2017-11-09 14:30:00,54.40999984741211
2017-11-09 15:30:00,54.060001373291016
2017-11-09 16:30:00,53.58000183105469
2017-11-09 17:30:00,53.467498779296875
2017-11-09 18:30:00,53.529998779296875
2017-11-09 19:30:00,53.56999969482422
2017-11-09 20:30:00,53.79999923706055
2017-11-10 14:30:00,53.70000076293945
2017-11-10 15:30:00,53.54999923706055
2017-11-10 16:30:00,53.63999938964844
2017-11-10 17:30:00,53.630001068115234
2017-11-10 18:30:00,53.685001373291016
2017-11-10 19:30:00,53.70000076293945
2017-11-10 20:30:00,53.540000915527344
2017-11-13 14:30:00,53.540000915527344
2017-11-13 15:30:00,53.59000015258789
2017-11-13 16:30:00,53.59000015258789
2017-11-13 17:30:00,53.43000030517578
2017-11-13 18:30:00,53.5099983215332
2017-11-13 19:30:00,53.3650016784668
2017-11-13 20:30:00,53.45000076293945
2017-11-14 14:30:00,53.68000030517578
2017-11-14 15:30:00,53.57500076293945
2017-11-14 16:30:00,53.56999969482422
2017-11-14 17:30:00,53.43000030517578
2017-11-14 18:30:00,53.599998474121094
2017-11-14 19:30:00,53.64500045776367
2017-11-14 20:30:00,53.650001525878906
2017-11-15 14:30:00,53.160099029541016
2017-11-15 15:30:00,53.43000030517578
2017-11-15 16:30:00,53.38999938964844
2017-11-15 17:30:00,53.11000061035156
2017-11-15 18:30:00,53.279998779296875
2017-11-15 19:30:00,53.20000076293945
2017-11-15 20:30:00,53.22999954223633
2017-11-16 14:30:00,53.47999954223633
2017-11-16 15:30:00,53.470001220703125
2017-11-16 16:30:00,53.560001373291016
2017-11-16 17:30:00,53.52000045776367
2017-11-16 18:30:00,53.65999984741211
2017-11-16 19:30:00,53.58000183105469
2017-11-16 20:30:00,53.529998779296875
2017-11-17 14:30:00,53.66999816894531
2017-11-17 15:30:00,53.43000030517578
2017-11-17 16:30:00,53.529998779296875
2017-11-17 17:30:00,53.47999954223633
2017-11-17 18:30:00,53.470001220703125
2017-11-17 19:30:00,53.40999984741211
2017-11-17 20:30:00,53.5
2017-11-20 14:30:00,53.73500061035156
2017-11-20 15:30:00,53.7400016784668
2017-11-20 16:30:00,53.668800354003906
2017-11-20 17:30:00,53.849998474121094
2017-11-20 18:30:00,53.83000183105469
2017-11-20 19:30:00,53.81999969482422
2017-11-20 20:30:00,53.869998931884766
2017-11-21 14:30:00,54.26559829711914
2017-11-21 15:30:00,54.16999816894531
2017-11-21 16:30:00,54.130001068115234
2017-11-21 17:30:00,54.19900131225586
2017-11-21 18:30:00,54.27000045776367
2017-11-21 19:30:00,54.25
2017-11-21 20:30:00,54.220001220703125
2017-11-22 14:30:00,54.13999938964844
2017-11-22 15:30:00,54.08000183105469
2017-11-22 16:30:00,54.04899978637695
2017-11-22 17:30:00,53.900001525878906
2017-11-22 18:30:00,53.78499984741211
2017-11-22 19:30:00,53.58000183105469
2017-11-22 20:30:00,53.529998779296875
2017-11-24 14:30:00,53.77000045776367
2017-11-24 15:30:00,53.849998474121094
2017-11-24 16:30:00,53.91999816894531
2017-11-24 18:00:00,53.849998474121094
2017-11-27 14:30:00,53.66600036621094
2017-11-27 15:30:00,53.540000915527344
2017-11-27 16:30:00,53.560001373291016
2017-11-27 17:30:00,53.529998779296875
2017-11-27 18:30:00,53.470001220703125
2017-11-27 19:30:00,53.439998626708984
2017-11-27 20:30:00,53.29999923706055
2017-11-28 14:30:00,53.380001068115234
2017-11-28 15:30:00,53.43000030517578
2017-11-28 16:30:00,53.439998626708984
2017-11-28 17:30:00,53.72999954223633
2017-11-28 18:30:00,53.540000915527344
2017-11-28 19:30:00,53.709999084472656
2017-11-28 20:30:00,53.85499954223633
2017-11-29 14:30:00,52.5
2017-11-29 15:30:00,52.22999954223633
2017-11-29 16:30:00,52.369998931884766
2017-11-29 17:30:00,52.540000915527344
2017-11-29 18:30:00,52.16999816894531
2017-11-29 19:30:00,52.18000030517578
2017-11-29 20:30:00,52.119998931884766
2017-11-30 14:30:00,52.60499954223633
2017-11-30 15:30:00,52.560001373291016
2017-11-30 16:30:00,52.97999954223633
2017-11-30 17:30:00,52.779998779296875
2017-11-30 18:30:00,52.58000183105469
2017-11-30 19:30:00,52.459999084472656
2017-11-30 20:30:00,52.33000183105469
2017-12-01 14:30:00,52.119998931884766
2017-12-01 15:30:00,51.22999954223633
2017-12-01 16:30:00,51.45000076293945
2017-12-01 17:30:00,51.77000045776367
2017-12-01 18:30:00,51.7599983215332
2017-12-01 19:30:00,51.880001068115234
2017-12-01 20:30:00,51.90999984741211
2017-12-04 14:30:00,51.59000015258789
2017-12-04 15:30:00,51.43000030517578
2017-12-04 16:30:00,51.689998626708984
