AAL,VRTX,ADI,NFLX,NCLH,MAR,AVGO,PAYX,PCLN,LVNTA,ESRX,EXPE,MCHP,REGN,BIDU,LRCX,MDLZ,EA,FISV,ALXN,MYL,ADSK,GILD,DISCK,QVCA,CTRP,INTC,NTAP,DISH,TSLA,CA,CSX,TSCO,KHC,ILMN,ADP,SBUX,SWKS,VIAB,TXN,JD,ATVI,MAT,STX,GOOGL,QCOM,MU,NVDA,ROST,FAST,SYMC,NXPI,AAPL,SRCL,PYPL,DISCA,BMRN,XLNX,EBAY,FOX,WDC,FOXA,CTSH,AMAT,HSIC,WBA,ULTA,TRIP,NTES,VOD,ADBE,CSCO,SIRI,ORLY,AMGN,ISRG,AMZN,TMUS,CERN,VRSK,SBAC,BIIB,BBBY,PCAR,DLTR,CELG,INCY,CHTR,COST,LBTYA,MXIM,XRAY,INTU,MNST,MSFT,FB,CMCSA,LBTYK,AKAM,CHKP,NDX,CTXS
47.98500061035156,149.08279418945312,92.54000091552734,201.2949981689453,56.06999969482422,121.6999969482422,275.16000366210943,63.72999954223633,1896.4599609375,59.31999969482422,60.43000030517578,122.6999969482422,95.3499984741211,410.8500061035156,242.42999267578125,206.75999450683597,40.64500045776367,113.19000244140624,63.47999954223633,116.44000244140624,35.939998626708984,123.98999786376952,72.77999877929688,15.579999923706055,22.46999931335449,46.5099983215332,46.47999954223633,44.18999862670898,50.790000915527344,299.239990234375,32.689998626708984,50.6500015258789,59.45000076293945,77.54000091552734,211.4600067138672,111.18000030517578,55.72000122070313,116.23500061035156,23.459999084472656,98.61000061035156,38.86999893188477,63.06000137329102,13.619999885559082,36.47999954223633,1047.3134765625,63.72999954223633,43.27999877929688,208.97999572753903,64.27999877929689,48.0,29.5,116.3499984741211,173.64999389648438,66.41999816894531,74.11000061035156,16.559999465942386,82.97000122070312,74.0250015258789,37.43000030517578,24.5,86.83999633789062,25.040000915527344,74.80999755859375,56.04999923706055,70.8499984741211,68.13999938964844,199.2700042724609,39.02999877929688,302.4800109863281,29.06999969482422,181.18499755859372,34.389999389648445,5.3400001525878915,211.63999938964844,171.77000427246094,385.1000061035156,1120.0389404296877,55.68000030517578,65.27999877929689,91.08999633789062,165.27999877929688,317.95001220703125,19.530000686645508,70.87000274658203,93.0199966430664,100.16000366210938,104.29000091552734,356.2900085449219,165.57000732421875,30.670000076293945,54.22000122070313,64.22000122070311,153.0399932861328,57.56000137329102,84.62999725341797,179.14999389648438,35.88999938964844,29.55850028991699,53.02000045776367,105.4499969482422,6312.5,85.55999755859375
47.790000915527344,148.03900146484375,91.9800033569336,201.6000061035156,55.43999862670898,122.06999969482422,271.92498779296875,63.88999938964844,1881.7099609375,58.9000015258789,60.63000106811523,123.20999908447266,94.5500030517578,411.1300048828125,244.41439819335938,205.4499969482422,40.52000045776367,112.08999633789062,63.40999984741211,116.47000122070312,37.040000915527344,124.05999755859376,72.95999908447266,15.539999961853027,22.38500022888184,46.14500045776367,46.115501403808594,44.77999877929688,50.83000183105469,301.5799865722656,32.560001373291016,51.00500106811523,59.53499984741211,77.33000183105469,210.9199981689453,110.91999816894531,56.02999877929688,115.4000015258789,23.479999542236328,97.9499969482422,38.83000183105469,61.81499862670898,13.260000228881836,36.560001373291016,1047.43994140625,62.70000076293945,42.82329940795898,208.7100067138672,64.16500091552734,48.1500015258789,29.165000915527344,116.52780151367188,174.3800048828125,67.01000213623047,74.54000091552734,16.540000915527347,82.80000305175781,73.80999755859375,37.52999877929688,24.45499992370605,86.9000015258789,24.95000076293945,75.13999938964844,55.79499816894531,70.72000122070312,68.45999908447266,200.7400054931641,39.0,305.2900085449219,29.18000030517578,181.06500244140625,34.50149917602539,5.335000038146973,210.44000244140625,171.8300018310547,383.3999938964844,1121.219970703125,56.1500015258789,65.49500274658203,91.38999938964844,165.19000244140625,318.7200012207031,19.780000686645508,70.87999725341797,93.1999969482422,101.41999816894531,105.20999908447266,353.4800109863281,165.6199951171875,30.5,54.30500030517578,63.66999816894531,152.89999389648438,57.75,84.25,179.25999450683594,35.76530075073242,29.71999931335449,53.2400016784668,106.02999877929688,6307.2900390625,84.69499969482422
47.43000030517578,147.94000244140625,91.87999725341795,200.96499633789062,55.38000106811523,122.3000030517578,272.67999267578125,63.81000137329102,1887.3699951171875,58.77000045776367,60.58000183105469,122.68000030517578,94.54000091552734,408.4649963378906,246.2779998779297,205.2700042724609,40.310001373291016,111.29000091552734,63.34000015258789,115.97000122070312,37.29999923706055,123.58000183105469,72.81999969482422,15.630000114440918,22.399999618530273,46.0099983215332,46.31000137329102,44.45000076293945,50.43999862670898,301.20001220703125,32.549999237060554,50.9000015258789,59.584999084472656,77.04000091552734,210.1199951171875,110.98999786376952,56.2666015625,115.94000244140624,23.479999542236328,97.9800033569336,38.81999969482422,61.63999938964844,13.140000343322756,36.61999893188477,1046.4747314453123,62.40999984741211,42.9900016784668,208.7100067138672,64.27999877929689,47.86999893188477,29.209999084472656,116.5,174.7100067138672,67.06999969482422,74.31999969482422,16.629999160766598,82.87000274658203,73.87999725341797,37.459999084472656,24.40999984741211,86.7396011352539,24.90999984741211,74.79000091552734,55.95000076293945,70.44999694824219,68.55999755859375,200.97999572753903,39.06999969482422,306.9700012207031,29.190099716186523,180.82000732421875,34.49570083618164,5.3400001525878915,210.2899932861328,171.74000549316406,385.4049987792969,1120.9000244140623,55.95240020751953,65.55000305175781,91.47000122070312,164.55999755859375,317.9700012207031,19.934999465942386,70.66000366210938,93.24430084228516,101.25980377197266,104.6500015258789,351.05999755859375,165.27999877929688,30.420000076293945,54.45500183105469,63.70000076293945,152.6300048828125,57.40999984741211,84.31999969482422,179.5399932861328,35.70000076293945,29.69499969482422,53.44919967651367,105.58000183105469,6306.9404296875,84.48999786376953
47.34000015258789,148.3000030517578,92.1947021484375,201.5399932861328,55.2599983215332,122.73999786376952,272.44180297851557,63.83480072021485,1883.1400146484373,58.36000061035156,60.5,122.61000061035156,95.3000030517578,409.7300109863281,245.7100067138672,204.9900054931641,40.290000915527344,111.1500015258789,63.3849983215332,115.7699966430664,37.31999969482422,123.48999786376952,72.43340301513672,15.470000267028807,22.31999969482422,45.97000122070313,46.52000045776367,44.79499816894531,50.47000122070313,300.30999755859375,32.59000015258789,50.91999816894531,59.64500045776367,76.95999908447266,209.9499969482422,110.9499969482422,56.36999893188477,115.98999786376952,23.665000915527344,98.1500015258789,38.900001525878906,61.11000061035156,13.100000381469727,36.810001373291016,1047.1800537109377,63.099998474121094,42.959999084472656,209.2899932861328,64.18000030517578,47.90999984741211,29.1200008392334,116.44000244140624,174.67100524902344,67.03500366210939,74.16000366210938,16.520000457763672,83.04000091552734,74.16999816894531,37.49499893188477,24.40999984741211,87.23999786376953,24.915000915527344,74.97899627685547,56.02000045776367,70.15000152587889,68.70999908447266,201.25999450683597,39.18000030517578,307.4800109863281,29.184999465942386,180.7700042724609,34.509998321533196,5.3400001525878915,210.375,171.27000427246094,385.2200012207031,1124.1400146484377,56.1150016784668,65.69999694824219,91.61000061035156,164.86000061035156,315.5400085449219,20.041000366210934,70.83999633789062,93.43000030517578,101.16999816894531,104.6500015258789,348.0899963378906,165.88999938964844,30.31999969482422,54.72000122070313,63.47999954223633,152.47999572753906,57.459999084472656,84.4749984741211,179.53500366210938,35.540000915527344,29.51499938964844,53.57009887695313,105.4810028076172,6309.11572265625,84.7699966430664
47.36000061035156,148.99000549316406,92.19499969482422,199.32000732421875,55.290000915527344,122.45999908447266,274.42001342773443,63.83000183105469,1886.7049560546875,58.52000045776367,60.68000030517578,122.77999877929688,94.85310363769531,409.63360595703125,244.5399932861328,205.38999938964844,40.32310104370117,111.25,63.40499877929688,116.54000091552734,37.790000915527344,123.63999938964844,72.4749984741211,15.880000114440918,22.270000457763672,45.88999938964844,46.61000061035156,44.97000122070313,51.53499984741211,300.1000061035156,32.47999954223633,51.0250015258789,59.6500015258789,76.66999816894531,209.8500061035156,111.2300033569336,56.40999984741211,116.97000122070312,24.38999938964844,98.05999755859376,38.8650016784668,61.11999893188477,13.104999542236328,37.2400016784668,1045.8199462890623,63.07009887695313,43.08000183105469,209.4738006591797,64.16000366210939,48.02000045776367,29.06999969482422,116.5999984741211,174.66000366210938,67.12999725341797,74.41000366210938,16.979999542236328,83.44000244140625,74.29000091552734,37.52000045776367,26.56999969482422,87.44000244140625,27.1299991607666,74.7300033569336,56.06399917602539,70.23000335693361,68.84999847412111,201.3999938964844,39.35499954223633,308.25,29.2052001953125,180.75999450683597,34.451499938964844,5.3400001525878915,210.1000061035156,171.4199981689453,384.9800109863281,1123.3499755859377,56.24499893188477,65.62000274658203,91.19000244140624,164.55999755859375,316.07000732421875,19.905000686645508,70.7750015258789,93.31999969482422,101.5500030517578,106.16000366210938,349.5299987792969,165.4600067138672,30.6200008392334,54.65999984741211,63.27999877929688,152.24000549316406,57.48030090332031,84.2699966430664,179.9600067138672,35.66999816894531,29.29999923706055,53.599998474121094,105.0500030517578,6313.30322265625,84.43000030517578
47.58000183105469,148.7899932861328,92.0500030517578,199.72999572753903,55.28499984741211,121.98999786376952,276.45001220703125,64.0,1889.739990234375,58.43999862670898,60.70000076293945,122.6999969482422,94.98999786376952,408.5249938964844,244.83999633789062,205.9499969482422,40.42499923706055,111.22000122070312,63.599998474121094,116.38500213623048,37.290000915527344,123.99500274658205,72.44000244140625,16.069999694824222,22.28499984741211,45.81999969482422,46.625,45.00500106811523,50.77000045776367,302.17059326171875,32.49499893188477,51.209999084472656,59.7599983215332,77.04000091552734,209.1499938964844,111.3499984741211,56.58000183105469,116.52999877929688,24.420000076293945,98.4000015258789,38.86000061035156,60.97000122070313,13.100000381469727,37.440101623535156,1045.22998046875,62.69499969482422,43.27999877929688,209.2550048828125,64.14499664306639,48.12099838256836,29.09000015258789,116.66000366210938,174.52999877929688,67.26000213623047,74.55899810791016,17.180000305175778,83.3499984741211,74.2750015258789,37.44660186767578,26.6200008392334,87.8499984741211,27.25,74.84249877929688,56.04499816894531,69.84500122070311,69.0,201.5200042724609,39.56999969482422,308.3999938964844,29.21999931335449,180.78880310058597,34.450000762939446,5.329999923706055,209.69000244140625,171.30999755859375,385.4100036621094,1123.6099853515623,56.16999816894531,65.66000366210939,91.12999725341795,164.82000732421875,316.2300109863281,20.208499908447266,70.70999908447266,93.54000091552734,102.16999816894531,106.01000213623048,348.68499755859375,165.2899932861328,30.729999542236328,54.6500015258789,63.75,152.72999572753906,57.52999877929688,84.4000015258789,180.38009643554688,35.47999954223633,29.059999465942386,53.63999938964844,105.44000244140624,6316.39404296875,84.5884017944336
47.4900016784668,149.0,92.3000030517578,200.1100006103516,55.25,121.98999786376952,277.45001220703125,64.01000213623047,1904.97998046875,58.38999938964844,60.61999893188477,123.0,95.3000030517578,406.6099853515625,244.6000061035156,206.6699981689453,40.41999816894531,112.47000122070312,63.86999893188477,115.93000030517578,37.36999893188477,123.77999877929688,72.36000061035156,16.0,22.225000381469727,45.88999938964844,46.70500183105469,45.0099983215332,50.83000183105469,302.7200012207031,32.450000762939446,51.1500015258789,59.61000061035156,77.01000213623047,209.2700042724609,111.33999633789062,56.56999969482422,116.65149688720705,24.170000076293945,98.56999969482422,39.0099983215332,60.88000106811523,13.079999923706055,37.459999084472656,1042.43994140625,62.540000915527344,43.20000076293945,209.63999938964844,64.16000366210939,48.06499862670898,28.899999618530273,116.6500015258789,174.25,67.25,74.7300033569336,17.094999313354492,82.97000122070312,74.5,37.375,26.649999618530273,87.83999633789062,27.459999084472656,74.77999877929688,56.33000183105469,70.02999877929689,68.87000274658203,201.32000732421875,39.52999877929688,309.760009765625,29.209999084472656,180.77999877929688,34.40999984741211,5.349999904632568,208.8600006103516,170.74000549316406,384.760009765625,1120.4599609375,56.22000122070313,65.70999908447266,91.12000274658205,164.42999267578125,315.3999938964844,19.989999771118164,70.59500122070312,93.44000244140624,101.66999816894531,105.43000030517578,348.3999938964844,165.07000732421875,30.665000915527344,54.790000915527344,63.9000015258789,152.6699981689453,57.52000045776367,84.4800033569336,180.1699981689453,35.540000915527344,28.790000915527344,53.75,105.20999908447266,6314.33447265625,84.33999633789062
47.08000183105469,150.00999450683594,92.11499786376952,195.52999877929688,55.459999084472656,121.1999969482422,272.1099853515625,64.04000091552734,1640.4986572265625,58.04999923706055,60.6500015258789,120.58999633789062,91.29499816894531,407.125,244.6499938964844,208.3699951171875,41.0,113.66000366210938,63.57500076293945,114.20999908447266,37.45000076293945,123.7699966430664,73.05699920654297,16.620000839233402,21.981199264526367,45.6500015258789,46.7400016784668,44.650001525878906,50.72999954223633,301.4179992675781,32.49499893188477,52.02000045776367,59.290000915527344,77.81999969482422,208.91000366210938,110.98999786376952,57.0,109.2699966430664,24.70000076293945,98.5,39.36999893188477,63.4900016784668,13.170000076293945,37.38999938964844,1046.0120849609377,63.099998474121094,43.775001525878906,209.41000366210938,64.16000366210939,48.04999923706055,28.84000015258789,116.79000091552734,175.13999938964844,66.83000183105469,74.68000030517578,17.799999237060547,83.62000274658203,74.70999908447266,37.400001525878906,27.18000030517578,86.38999938964844,28.440000534057614,74.6500015258789,56.959999084472656,70.13999938964844,68.98999786376953,200.5200042724609,32.259998321533196,314.75,28.9950008392334,180.92999267578125,34.415599822998054,5.369999885559082,208.6499938964844,171.3300018310547,387.3934020996094,1124.6099853515623,56.47000122070313,65.88999938964844,91.9499969482422,164.85000610351562,312.489990234375,19.479999542236328,70.16999816894531,93.2699966430664,102.1449966430664,108.9000015258789,348.4599914550781,165.75,30.6200008392334,54.18000030517578,63.95000076293945,152.02999877929688,57.665000915527344,84.20999908447266,180.02330017089844,36.08000183105469,28.75,53.70000076293945,105.9000015258789,6313.75927734375,84.41000366210938
46.90999984741211,148.77749633789062,92.43000030517578,196.0,55.29999923706055,120.79000091552734,271.5,64.30000305175781,1643.81494140625,57.709999084472656,60.68999862670898,120.79000091552734,92.13999938964844,409.3900146484375,243.0050048828125,207.4900054931641,41.150001525878906,115.45999908447266,63.70000076293945,116.03500366210938,37.08000183105469,122.93000030517578,72.91000366210938,16.5,21.790000915527344,46.09000015258789,46.709999084472656,44.61999893188477,50.31999969482422,300.6700134277344,32.575000762939446,52.06000137329102,59.1500015258789,78.38999938964844,211.94000244140625,112.16999816894531,56.90560150146485,108.8750991821289,24.92499923706055,98.66000366210938,39.459999084472656,64.04000091552734,13.109999656677244,37.25,1043.8095703125,63.290000915527344,43.85499954223633,209.4824981689453,64.36440277099611,48.11999893188477,28.88999938964844,116.18000030517578,175.22320556640625,66.91999816894531,74.41000366210938,17.639999389648438,83.76490020751953,74.16000366210938,37.1349983215332,26.90500068664551,86.18000030517578,28.26000022888184,74.83000183105469,56.86999893188477,70.04000091552734,68.76000213623047,199.6100006103516,32.360000610351555,316.489990234375,28.88999938964844,180.25999450683597,34.455001831054695,5.385499954223633,208.1699981689453,172.5500030517578,387.95001220703125,1118.9200439453123,56.209999084472656,66.04000091552734,92.01000213623048,164.85000610351562,312.79998779296875,19.405000686645508,70.19000244140625,93.11000061035156,102.1449966430664,109.5199966430664,345.7200012207031,165.4499969482422,30.76000022888184,54.43000030517578,63.97000122070313,151.83999633789062,57.58000183105469,84.11000061035156,179.11000061035156,36.69499969482422,28.709999084472656,53.86000061035156,105.4499969482422,6308.99462890625,83.98999786376953
46.7400016784668,149.6999969482422,91.93000030517578,195.8300018310547,55.31000137329102,120.08000183105469,268.64999389648443,64.19000244140625,1661.8299560546875,57.4900016784668,60.29999923706055,120.4499969482422,90.52999877929688,407.7699890136719,243.1100006103516,208.02999877929688,41.18519973754883,114.3000030517578,63.35499954223633,116.2300033569336,36.7599983215332,122.83999633789062,72.94999694824219,16.380500793457028,21.690000534057614,46.0250015258789,46.52000045776367,44.60499954223633,49.95000076293945,301.1400146484375,32.529998779296875,52.27000045776367,58.90999984741211,78.28500366210938,211.0249938964844,112.2300033569336,56.75,108.22000122070312,24.95000076293945,98.4800033569336,39.42499923706055,64.41999816894531,13.109999656677244,37.77000045776367,1048.3199462890623,63.61000061035156,43.72999954223633,208.60369873046875,64.08499908447266,48.04560089111328,28.61000061035156,116.38999938964844,175.60000610351562,67.04000091552734,74.28500366210938,17.514999389648438,83.37999725341797,73.69000244140625,37.22000122070313,27.10000038146973,86.7699966430664,28.270000457763672,74.9800033569336,56.66999816894531,69.02999877929689,68.61000061035156,199.9900054931641,31.52989959716797,317.1099853515625,28.90999984741211,180.47000122070312,34.345001220703125,5.289999961853027,207.3000030517578,174.02000427246094,389.239990234375,1119.762451171875,55.90999984741211,66.0,92.12000274658205,164.55999755859375,313.6400146484375,19.295900344848636,70.55000305175781,92.79000091552734,101.94000244140624,107.31999969482422,346.69500732421875,165.5800018310547,30.82999992370605,54.11999893188477,63.88000106811523,151.6750030517578,57.70000076293945,84.04000091552734,179.83900451660156,36.79999923706055,28.649999618530273,53.70000076293945,104.81999969482422,6309.12890625,83.91999816894531
