CHTR
319.6
319.6
319.6
320.96
320.96
320.96
321.98
322.19
322.31
322.31
322.31
322.31
322.31
322.31
323.74
323.74
323.74
323.74
324.605
324.605
324.36
323.99
323.995
323.995
322.89
323.16
323.16
323.16
323.16
323.14
323.5
323.5
323.5
323.5
322.74
322.74
322.74
322.74
322.74
322.25
322.25
322.56
322.65
322.65
322.985
322.985
322.985
322.985
322.55
322.55
322.55
323.045
322.88
322.88
322.88
322.88
322.91
322.71
322.71
322.71
322.71
322.71
322.48
322.255
322.255
322.255
322.255
322.255
322.255
322.635
322.635
322.75
322.635
322.71
322.71
323.04
323.07
323.005
322.99
323.135
323.04
323.065
323.19
323.07
323.105
323.405
323.375
323.425
323.47
323.47
323.575
323.5
323.5
323.5
323.5
323.89
323.89
324.0
324.0
324.0
323.96
323.96
323.96
324.14
324.14
324.58
324.58
324.3
324.3
324.3
324.48
324.55
324.56
324.5
324.2
324.2
324.1
324.1
324.1
324.365
324.03
324.115
323.88
324.21
324.4
324.48
324.355
324.415
324.13
324.16
324.16
324.205
324.41
324.915
324.83
324.83
325.01
325.08
324.74
324.74
324.74
324.74
325.02
325.02
324.82
324.82
324.82
325.015
325.0
325.23
325.23
325.145
325.085
325.125
325.125
325.55
325.55
325.55
325.965
326.06
326.63
326.21
326.18
325.96
325.96
325.96
326.28
326.14
326.055
326.055
325.65
325.455
325.71
325.5
325.75
325.75
325.75
325.75
325.75
325.88
325.795
325.795
325.795
326.21
326.0
325.86
325.86
325.92
325.885
325.86
325.86
325.57
325.395
325.29
325.22
325.01
324.63
324.95
324.62
324.5
324.5
324.25
324.25
324.365
324.39
324.4
324.4
324.25
324.25
324.25
324.25
324.25
324.25
324.66
324.95
324.95
324.95
324.95
324.95
324.95
324.95
324.95
325.32
325.655
325.36
325.405
325.405
325.285
325.285
325.24
325.17
325.17
325.24
325.555
325.42
325.42
325.42
325.42
325.42
325.68
325.69
325.63
325.54
325.54
325.39
325.57
325.57
325.54
325.66
325.595
325.595
325.595
325.61
325.51
325.47
325.05
325.05
325.48
325.22
325.08
325.08
325.08
325.16
325.16
325.6
325.625
325.625
325.625
325.62
325.535
325.585
325.51
325.54
325.64
325.64
325.665
325.59
325.59
325.505
325.5
325.5
325.5
325.52
325.52
325.19
325.19
325.19
325.19
325.19
325.63
325.56
325.83
325.84
325.84
325.84
325.84
325.84
326.47
326.32
326.1
326.02
326.02
326.03
326.055
325.31
325.31
325.31
325.05
325.09
325.08
325.08
325.08
325.08
325.225
325.35
325.47
325.525
325.31
325.31
325.31
325.31
325.46
325.46
325.46
325.46
325.945
325.85
325.85
325.85
325.38
325.38
325.38
325.38
325.38
325.38
325.38
325.46
325.36
325.51
