GOOGL
1210.34
1212.305
1207.345
1207.57
1207.645
1204.62
1206.54
1206.71
1205.045
1203.99
1201.05
1201.05
1203.7
1205.08
1205.08
1205.385
1205.385
1206.63
1208.69
1208.69
1210.59
1210.245
1209.74
1209.77
1209.17
1209.17
1210.885
1210.06
1210.845
1211.895
1212.11
1212.735
1215.0
1214.605
1214.585
1214.585
1212.46
1212.46
1212.0
1212.0
1211.625
1212.07
1212.715
1212.59
1211.78
1211.81
1211.81
1211.9
1212.18
1212.3
1213.48
1213.965
1213.48
1214.0
1214.775
1214.755
1214.36
1214.36
1214.36
1216.0
1217.58
1217.81
1217.45
1217.03
1217.09
1218.25
1218.25
1218.25
1217.07
1216.86
1217.3
1217.3
1216.24
1214.86
1214.86
1214.61
1215.33
1216.1
1216.37
1217.43
1218.45
1218.09
1218.915
1218.835
1218.975
1219.805
1219.3
1218.08
1218.26
1218.0
1217.74
1218.47
1218.49
1218.7
1218.65
1219.01
1218.76
1218.67
1219.65
1219.66
1219.66
1220.55
1221.29
1221.44
1222.58
1222.29
1222.71
1222.71
1224.25
1222.58
1222.28
1222.28
1220.77
1220.15
1221.38
1221.38
1221.38
1219.89
1219.89
1220.25
1220.25
1220.545
1220.96
1221.345
1221.06
1221.09
1221.42
1221.48
1220.58
1220.835
1220.96
1221.6
1221.82
1221.62
1221.91
1221.55
1221.1
1221.3
1221.15
1220.93
1220.95
1220.95
1220.4
1219.97
1220.53
1220.74
1220.54
1220.1
1220.7
1221.06
1222.07
1221.64
1221.86
1221.86
1221.82
1220.91
1220.91
1220.91
1220.77
1220.54
1220.54
1220.54
1220.3
1219.82
1219.63
1219.27
1219.15
1219.15
1219.15
1219.475
1219.475
1220.19
1219.2
1218.625
1218.6
1218.225
1217.33
1216.9
1217.275
1216.03
1216.48
1216.68
1216.71
1217.67
1217.63
1217.3
1217.94
1217.95
1217.81
1217.81
1217.81
1219.035
1219.02
1218.755
1218.06
1218.12
1217.54
1217.19
1216.0
1214.905
1214.875
1214.72
1214.03
1213.47
1213.565
1214.32
1214.4
1213.67
1213.54
1213.89
1214.12
1214.12
1214.12
1214.12
1215.08
1215.08
1215.08
1214.29
1214.53
1214.58
1214.8
1214.785
1214.785
1214.54
1214.76
1214.555
1214.4
