CHKP
""
116.6
116.58
116.58
116.58
116.93
116.64
116.64
116.44
116.44
116.51
116.51
116.51
116.37
116.37
116.49
116.45
116.45
116.45
116.63
116.63
116.63
116.63
116.805
116.805
116.805
116.8
116.8
116.815
116.82
116.82
116.79
116.75
116.79
116.89
116.89
117.17
117.17
117.17
117.1
116.99
116.99
116.89
116.89
116.89
116.67
116.67
116.67
116.42
116.575
116.575
116.575
116.575
116.76
116.76
116.76
116.76
116.76
116.76
116.76
116.98
116.97
116.97
117.1
117.175
117.175
117.175
117.255
117.315
117.4
117.4
117.21
117.19
117.19
117.19
117.23
117.23
117.23
117.11
117.11
117.13
117.13
117.17
117.17
117.17
117.29
117.29
117.29
117.29
117.29
117.165
117.14
117.14
116.99
117.03
117.08
117.055
117.035
117.035
117.08
117.12
117.1
117.1
117.1
117.07
117.08
117.08
117.04
117.04
117.065
117.065
117.065
117.16
117.21
117.21
117.21
117.03
116.92
116.96
116.96
117.0
117.0
117.0
117.0
117.0
117.0
117.0
117.0
117.0
116.815
116.815
116.8
116.91
116.91
116.91
116.855
116.81
116.91
116.91
116.91
116.91
116.91
116.825
116.825
116.815
116.815
116.815
116.94
116.94
116.85
116.85
116.85
116.85
116.85
116.85
116.96
116.94
116.94
116.94
116.92
116.925
116.925
116.925
116.825
116.835
116.87
116.88
116.88
116.88
116.81
116.81
116.765
116.765
116.765
116.765
116.7
116.7
116.675
116.675
116.675
116.66
116.66
116.63
116.63
116.63
116.63
116.57
116.57
116.57
116.62
116.62
116.62
116.62
116.62
116.56
116.54
116.54
116.395
116.395
116.395
116.395
116.25
116.25
116.25
116.25
116.25
116.2
116.19
116.19
116.19
116.37
116.37
116.35
116.34
116.34
116.34
116.34
116.29
116.29
116.29
116.29
116.29
116.29
116.27
116.27
116.27
116.27
116.27
116.27
116.27
116.26
116.26
116.26
116.26
116.26
116.23
116.23
116.23
116.23
116.23
116.135
116.135
116.135
116.135
116.135
116.19
116.18
116.18
116.21
116.21
116.21
116.21
116.21
116.32
116.34
116.34
116.3
116.3
116.3
116.3
116.3
116.3
116.3
116.25
116.25
116.16
116.16
116.1
116.1
116.11
116.16
116.16
116.16
116.16
116.16
116.16
116.16
116.16
116.19
116.19
116.19
116.2
116.2
116.2
116.14
116.14
116.12
116.12
116.12
116.12
116.12
116.12
116.12
116.12
116.12
116.12
116.07
116.05
116.05
116.08
116.08
116.025
116.015
115.96
115.96
