BMRN
""
""
98.79
98.79
98.72
98.72
98.79
98.79
99.18
99.415
99.415
99.415
99.415
99.415
99.415
99.415
99.37
99.37
99.37
98.975
98.96
98.99
98.95
98.95
98.8
98.84
98.84
98.84
98.84
98.84
98.84
98.84
98.84
98.84
98.84
98.84
98.835
98.835
98.715
98.645
98.645
98.65
98.64
98.64
98.88
98.89
98.86
98.78
98.78
98.875
98.875
98.875
98.875
98.875
98.875
98.88
98.88
98.88
98.875
98.89
98.89
98.89
98.89
98.985
98.95
98.95
98.95
98.93
98.93
98.93
98.685
98.74
98.81
98.82
98.82
98.95
98.985
98.985
99.01
99.18
99.23
99.29
99.31
99.27
99.27
99.14
99.14
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.95
98.95
98.95
98.85
98.85
98.85
98.85
98.775
98.775
98.775
98.775
98.775
98.775
98.775
98.58
98.58
98.635
98.635
98.635
98.73
98.73
98.63
98.63
98.6
98.605
98.62
98.66
98.66
98.66
98.85
98.88
98.88
98.95
99.01
99.18
99.125
99.125
99.11
99.11
99.11
99.02
99.02
99.02
99.02
99.02
99.02
98.99
98.99
98.99
98.99
98.99
98.99
99.02
99.02
99.02
99.02
98.97
98.97
98.92
98.95
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.93
98.93
98.93
98.93
98.93
98.93
98.81
98.81
98.81
98.87
98.83
98.83
98.81
98.81
98.81
98.81
98.81
98.81
98.81
98.81
98.95
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.97
98.935
98.935
98.935
98.935
98.935
98.935
98.935
99.03
99.03
98.98
99.0
99.0
98.97
98.98
98.98
98.98
98.98
98.98
98.98
98.98
98.98
98.98
99.02
98.975
98.975
98.975
99.02
99.02
99.02
99.02
98.99
98.99
98.99
98.99
98.92
98.98
98.98
99.03
98.98
98.97
98.97
98.97
98.97
98.97
99.025
98.99
98.99
99.01
99.01
99.01
99.01
99.0
99.0
98.995
98.995
98.995
99.02
99.02
99.01
99.01
99.01
98.97
98.99
98.99
98.99
98.95
98.95
98.95
98.95
98.95
98.95
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.015
99.04
98.995
99.01
98.975
98.975
98.975
99.01
98.99
98.99
98.99
98.99
98.985
98.95
98.95
98.99
98.98
98.95
98.95
98.95
98.97
98.97
99.01
99.01
99.01
99.01
99.01
99.01
99.01
98.94
98.94
98.935
98.95
98.95
98.92
98.79
98.71
98.71
98.86
98.86
98.86
98.845
98.75
98.76
98.79
98.79
98.77
98.77
98.77
98.77
98.81
98.83
98.83
98.83
98.83
98.83
98.82
98.81
98.81
98.81
98.81
98.81
98.71
98.71
98.6
98.67
98.67
98.67
98.67
98.67
98.67
98.71
98.81
98.81
98.81
98.79
98.815
98.815
98.89
98.89
98.98
98.98
98.98
99.02
99.04
99.05
99.04
99.04
99.04
99.04
99.01
99.03
98.96
99.04
99.04
99.03
99.05
99.05
99.05
99.01
98.64
98.85
98.85
98.85
98.985
98.99
98.98
99.04
99.28
98.975
98.975
98.92
